pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,stn_pres,week_of_year
None, -2.065, 82.8, -0.4, 13.8, 25.19, 5.253, 346.8, -4.0, 5.3, -2.1, -3.2, -4.0, 0.0, 347.0, 0.0, 83.0,2021-01-01 00:00:00, -6999.0, -6999.0,1
None, -2.287, 84.5, -0.4, 7.9, 22.14, 3.553, 320.7, -4.0, 3.6, -2.3, -3.2, -4.0, 0.0, 321.0, 0.0, 85.0,2021-01-01 01:00:00, -6999.0, -6999.0,1
None, -1.652, 79.79, -0.4, 13.6, 15.65, 5.234, 330.2, -4.0, 5.2, -1.7, -3.2, -4.0, 0.0, 330.0, 0.0, 80.0,2021-01-01 02:00:00, -6999.0, -6999.0,1
None, -2.085, 82.4, -0.4, 13.4, 18.92, 6.095, 336.3, -5.0, 6.1, -2.1, -3.2, -5.0, 0.0, 336.0, 0.0, 82.0,2021-01-01 03:00:00, -6999.0, -6999.0,1
None, -3.549, 88.3, -0.4, 9.8, 71.73, 3.616, 288.2, -5.0, 3.6, -3.5, -3.5, -5.0, 0.0, 288.0, 0.0, 88.0,2021-01-01 04:00:00, -6999.0, -6999.0,1
None, -4.041, 91.0, -0.4, 8.6, 38.59, 3.351, 179.6, -5.0, 3.4, -4.0, -4.3, -5.0, 0.0, 180.0, 0.0, 91.0,2021-01-01 05:00:00, -6999.0, -6999.0,1
None, -4.346, 91.4, -0.4, 7.8, 67.24, 1.262, 267.0, -6.0, 1.3, -4.3, -4.6, -6.0, 0.0, 267.0, 0.0, 91.0,2021-01-01 06:00:00, -6999.0, -6999.0,1
None, -4.112, 91.4, -3.8, 8.4, 30.36, 2.818, 336.1, -5.0, 2.8, -4.1, -4.5, -5.0, 0.0, 336.0, 0.0, 91.0,2021-01-01 07:00:00, -6999.0, -6999.0,1
None, -3.874, 91.6, -3.6, 10.3, 68.14, 4.114, 186.2, -5.0, 4.1, -3.9, -4.5, -5.0, 0.0, 186.0, 0.0, 92.0,2021-01-01 08:00:00, -6999.0, -6999.0,1
None, 0.621, 73.28, 0.5, 24.3, 40.67, 5.046, 333.9, -4.0, 5.0, 0.6, -4.5, -4.0, 0.0, 334.0, 0.0, 73.0,2021-01-01 09:00:00, -6999.0, -6999.0,1
None, 1.264, 71.48, 2.1, 21.2, 33.88, 6.592, 341.7, -3.0, 6.6, 1.3, -4.5, -3.0, 0.0, 342.0, 0.0, 71.0,2021-01-01 10:00:00, -6999.0, -6999.0,1
None, 2.004, 69.5, 2.2, 27.3, 32.58, 10.36, 352.0, -3.0, 10.4, 2.0, -4.5, -3.0, 0.0, 352.0, 0.0, 70.0,2021-01-01 11:00:00, -6999.0, -6999.0,1
None, 2.74, 63.28, 2.7, 31.5, 23.82, 15.18, 347.1, -4.0, 15.2, 2.7, -4.5, -4.0, 0.0, 347.0, 0.0, 63.0,2021-01-01 12:00:00, -6999.0, -6999.0,1
None, 3.073, 62.9, 3.2, 27.8, 29.6, 9.9, 3.106, -3.0, 9.9, 3.1, -4.5, -3.0, 0.0, 3.0, 0.0, 63.0,2021-01-01 13:00:00, -6999.0, -6999.0,1
None, 3.208, 63.76, 3.3, 26.2, 26.66, 11.19, 350.9, -2.0, 11.2, 3.2, -4.5, -2.0, 0.0, 351.0, 0.0, 64.0,2021-01-01 14:00:00, -6999.0, -6999.0,1
None, 3.382, 61.32, 3.6, 26.3, 28.16, 10.81, 341.1, -3.0, 10.8, 3.4, -4.5, -3.0, 0.0, 341.0, 0.0, 61.0,2021-01-01 15:00:00, -6999.0, -6999.0,1
None, 1.923, 74.14, 3.7, 24.4, 48.94, 9.66, 335.5, -1.0, 9.7, 1.9, -4.5, -1.0, 0.0, 336.0, 0.0, 74.0,2021-01-01 16:00:00, -6999.0, -6999.0,1
None, 0.717, 82.4, 3.7, 16.0, 52.52, 4.692, 183.5, -2.0, 4.7, 0.7, -4.5, -2.0, 0.0, 184.0, 0.0, 82.0,2021-01-01 17:00:00, -6999.0, -6999.0,1
None, 3.12, 75.48, 3.7, 25.5, 38.24, 11.35, 342.7, -1.0, 11.4, 3.1, -4.5, -1.0, 0.0, 343.0, 0.0, 75.0,2021-01-01 18:00:00, -6999.0, -6999.0,1
None, 2.585, 82.0, 3.3, 26.8, 31.57, 12.39, 331.9, 0.0, 12.4, 2.6, 2.5, 0.0, 0.0, 332.0, 0.0, 82.0,2021-01-01 19:00:00, -6999.0, -6999.0,1
None, 0.836, 90.7, 3.3, 20.7, 65.79, 5.689, 180.6, -1.0, 5.7, 0.8, 0.6, -1.0, 0.0, 181.0, 0.0, 91.0,2021-01-01 20:00:00, -6999.0, -6999.0,1
None, 0.34, 94.1, 3.3, 6.6, 46.29, 2.309, 161.8, 0.0, 2.3, 0.3, 0.1, 0.0, 0.0, 162.0, 0.0, 94.0,2021-01-01 21:00:00, -6999.0, -6999.0,1
None, 0.446, 95.4, 3.3, 5.6, 64.18, 1.507, 207.0, 0.0, 1.5, 0.4, 0.1, 0.0, 0.0, 207.0, 1.0, 95.0,2021-01-01 22:00:00, -6999.0, -6999.0,1
None, 0.846, 94.7, 3.3, 15.4, 26.01, 5.977, 343.8, 1.0, 6.0, 0.8, 0.1, 1.0, 0.0, 344.0, 0.0, 95.0,2021-01-01 23:00:00, -6999.0, -6999.0,1
