station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
0.0, 0.0, 12.1, 0.0, 2014-07-07 00:00:00, 0.0, 28.1
0.0, 0.0, 10.6, 0.0, 2014-07-08 00:00:00, 0.0, 29.6
0.0, 0.0, 11.1, 0.0, 2014-07-09 00:00:00, 0.0, 28.1
0.0, 0.0, 9.7, 0.0, 2014-07-10 00:00:00, 0.0, 29.2
0.0, 0.0, 10.4, 0.0, 2014-07-11 00:00:00, 0.0, 32.8
0.0, 0.0, 10.5, 0.0, 2014-07-12 00:00:00, 0.0, 34.6
0.0, 0.0, 11.7, 0.0, 2014-07-13 00:00:00, 0.0, 35.7
0.0, 0.0, 17.7, 0.0, 2014-07-14 00:00:00, 0.0, 35.1
0.0, 0.0, 14.1, 0.0, 2014-07-15 00:00:00, 0.0, 32.9
0.0, 0.0, 13.1, 0.0, 2014-07-16 00:00:00, 0.0, 32.2
0.0, 0.0, 12.8, 0.0, 2014-07-17 00:00:00, 0.0, 25.7
2.3, 2.3, 10.3, 0.0, 2014-07-18 00:00:00, 0.0, 22.1
1.3, 1.3, 13.7, 0.0, 2014-07-19 00:00:00, 0.0, 20.4
0.2, 0.2, 13.4, 0.0, 2014-07-20 00:00:00, 0.0, 16.8
0.0, 0.0, 11.6, 0.0, 2014-07-21 00:00:00, 0.0, 19.5
0.0, 0.0, 6.7, 0.0, 2014-07-22 00:00:00, 0.0, 24.1
27.2, 27.2, 9.7, 0.0, 2014-07-23 00:00:00, 0.0, 16.0
0.0, 0.0, 8.1, 0.0, 2014-07-24 00:00:00, 0.0, 14.4
0.0, 0.0, 8.4, 0.0, 2014-07-25 00:00:00, 0.0, 20.9
0.0, 0.0, 7.2, 0.0, 2014-07-26 00:00:00, 0.0, 24.3
0.0, 0.0, 8.1, 0.0, 2014-07-27 00:00:00, 0.0, 27.9
0.0, 0.0, 9.1, 0.0, 2014-07-28 00:00:00, 0.0, 30.5
0.0, 0.0, 10.2, 0.0, 2014-07-29 00:00:00, 0.0, 30.8
0.0, 0.0, 10.1, 0.0, 2014-07-30 00:00:00, 0.0, 29.9
0.0, 0.0, 11.0, 0.0, 2014-07-31 00:00:00, 0.0, 31.0
0.0, 0.0, 10.5, 0.0, 2014-08-01 00:00:00, 0.0, 32.6
0.0, 0.0, 15.9, 0.0, 2014-08-02 00:00:00, 0.0, 33.1
0.0, 0.0, 12.4, 0.0, 2014-08-03 00:00:00, 0.0, 32.2
0.0, 0.0, 12.5, 0.0, 2014-08-04 00:00:00, 0.0, 32.8
0.0, 0.0, 12.3, 0.0, 2014-08-05 00:00:00, 0.0, 27.0
0.0, 0.0, 11.6, 0.0, 2014-08-06 00:00:00, 0.0, 25.3
0.0, 0.0, 13.5, 0.0, 2014-08-07 00:00:00, 0.0, 25.8
0.0, 0.0, 10.3, 0.0, 2014-08-08 00:00:00, 0.0, 23.7
0.0, 0.0, 9.4, 0.0, 2014-08-09 00:00:00, 0.0, 27.0
0.0, 0.0, 10.1, 0.0, 2014-08-10 00:00:00, 0.0, 32.6
0.0, 0.0, 11.5, 0.0, 2014-08-11 00:00:00, 0.0, 35.7
0.0, 0.0, 16.5, 0.0, 2014-08-12 00:00:00, 0.0, 21.8
0.0, 0.0, 13.8, 0.0, 2014-08-13 00:00:00, 0.0, 18.2
2.0, 2.0, 13.8, 0.0, 2014-08-14 00:00:00, 0.0, 26.0
0.6, 0.6, 15.9, 0.0, 2014-08-15 00:00:00, 0.0, 21.6
0.0, 0.0, 15.4, 0.0, 2014-08-16 00:00:00, 0.0, 22.9
0.0, 0.0, 15.8, 0.0, 2014-08-17 00:00:00, 0.0, 27.7
0.0, 0.0, 12.1, 0.0, 2014-08-18 00:00:00, 0.0, 27.7
0.0, 0.0, 12.1, 0.0, 2014-08-19 00:00:00, 0.0, 25.8
0.0, 0.0, 12.3, 0.0, 2014-08-20 00:00:00, 0.0, 23.3
0.0, 0.0, 12.6, 0.0, 2014-08-21 00:00:00, 0.0, 23.0
0.0, 0.0, 7.3, 0.0, 2014-08-22 00:00:00, 0.0, 24.9
0.0, 0.0, 6.7, 0.0, 2014-08-23 00:00:00, 0.0, 27.2
0.0, 0.0, 12.2, 0.0, 2014-08-24 00:00:00, 0.0, 26.5
0.0, 0.0, 8.5, 0.0, 2014-08-25 00:00:00, 0.0, 24.9
0.0, 0.0, 9.7, 0.0, 2014-08-26 00:00:00, 0.0, 28.7
0.0, 0.0, 11.4, 0.0, 2014-08-27 00:00:00, 0.0, 27.7
0.0, 0.0, 13.5, 0.0, 2014-08-28 00:00:00, 0.0, 23.6
1.4, 1.4, 12.8, 0.0, 2014-08-29 00:00:00, 0.0, 17.5
1.6, 1.6, 10.8, 0.0, 2014-08-30 00:00:00, 0.0, 18.7
0.0, 0.0, 10.7, 0.0, 2014-08-31 00:00:00, 0.0, 18.2
0.0, 0.0, 10.7, 0.0, 2014-09-01 00:00:00, 0.0, 18.0
6.8, 6.8, 11.4, 0.0, 2014-09-02 00:00:00, 0.0, 14.6
0.0, 0.0, 5.2, 0.0, 2014-09-03 00:00:00, 0.0, 21.3
0.0, 0.0, 6.8, 0.0, 2014-09-04 00:00:00, 0.0, 23.6
0.0, 0.0, 6.2, 0.0, 2014-09-05 00:00:00, 0.0, 27.4
0.0, 0.0, 7.5, 0.0, 2014-09-06 00:00:00, 0.0, 30.0
0.0, 0.0, 7.8, 0.0, 2014-09-07 00:00:00, 0.0, 27.9
1.6, 1.6, 8.9, 0.0, 2014-09-08 00:00:00, 0.0, 21.4
0.2, 0.2, 7.8, 0.0, 2014-09-09 00:00:00, 0.0, 20.7
0.0, 0.0, 5.4, 0.0, 2014-09-10 00:00:00, 0.0, 19.7
0.0, 0.0, 0.7, 0.0, 2014-09-11 00:00:00, 0.0, 20.9
0.0, 0.0, 2.3, 0.0, 2014-09-12 00:00:00, 0.0, 24.3
0.0, 0.0, 4.5, 0.0, 2014-09-13 00:00:00, 0.0, 25.8
0.0, 0.0, 4.4, 0.0, 2014-09-14 00:00:00, 0.0, 27.8
0.0, 0.0, 5.1, 0.0, 2014-09-15 00:00:00, 0.0, 28.6
0.0, 0.0, 5.1, 0.0, 2014-09-16 00:00:00, 0.0, 29.0
0.0, 0.0, 6.0, 0.0, 2014-09-20 00:00:00, 0.0, 26.5
0.0, 0.0, 6.5, 0.0, 2014-09-21 00:00:00, 0.0, 28.5
0.0, 0.0, 6.8, 0.0, 2014-09-22 00:00:00, 0.0, 21.0
0.0, 0.0, 9.5, 0.0, 2014-09-27 00:00:00, 0.0, 19.0
0.0, 0.0, 4.5, 0.0, 2014-09-28 00:00:00, 0.0, 22.0
3.0, 3.0, 4.8, 0.0, 2014-09-29 00:00:00, 0.0, 14.1
0.0, 0.0, 5.7, 0.0, 2014-09-30 00:00:00, 0.0, 15.3
1.6, 1.6, 9.5, 0.0, 2014-10-04 00:00:00, 0.0, 16.0
0.0, 0.0, 10.0, 0.0, 2014-10-05 00:00:00, 0.0, 17.0
0.0, 0.0, 10.8, 0.0, 2014-10-06 00:00:00, 0.0, 17.7
0.0, 0.0, 11.7, 0.0, 2014-10-07 00:00:00, 0.0, 20.5
0.0, 0.0, 10.9, 0.0, 2014-10-08 00:00:00, 0.0, 20.5
0.0, 0.0, 5.5, 0.0, 2014-10-09 00:00:00, 0.0, 17.9
2.0, 2.0, 4.6, 0.0, 2014-10-10 00:00:00, 0.0, 15.7
5.6, 5.6, 6.5, 0.0, 2014-10-11 00:00:00, 0.0, 13.5
3.0, 3.0, 7.0, 0.0, 2014-10-12 00:00:00, 0.0, 10.5
31.1, 31.1, 7.5, 0.0, 2014-10-13 00:00:00, 0.0, 10.0
2.3, 2.3, 5.3, 0.0, 2014-10-14 00:00:00, 0.0, 11.2
5.6, 5.6, 4.4, 0.0, 2014-10-15 00:00:00, 0.0, 8.2
2.6, 2.6, 4.6, 0.0, 2014-10-16 00:00:00, 0.0, 9.5
16.8, 16.8, 4.6, 0.0, 2014-10-17 00:00:00, 0.0, 10.5
2.0, 2.0, 7.5, 0.0, 2014-10-18 00:00:00, 0.0, 15.5
24.9, 24.9, 7.0, 0.0, 2014-10-19 00:00:00, 0.0, 14.5
20.9, 20.9, 6.8, 0.0, 2014-10-20 00:00:00, 0.0, 12.6
20.1, 20.1, 6.5, 0.0, 2014-10-21 00:00:00, 0.0, 12.6
24.0, 24.0, 6.5, 0.0, 2014-10-22 00:00:00, 0.0, 10.8
7.3, 7.3, 4.0, 0.0, 2014-10-23 00:00:00, 0.0, 6.6
4.2, 4.2, 3.4, 0.0, 2014-10-24 00:00:00, 0.0, 8.2
22.4, 22.4, 2.0, 0.0, 2014-10-25 00:00:00, 0.0, 5.0
0.0, 0.0, 3.0, 0.0, 2014-10-26 00:00:00, 0.0, 8.5
9.2, 9.2, 0.1, 0.0, 2014-10-27 00:00:00, 0.0, 7.1
33.4, 33.4, 0.8, 0.0, 2014-10-28 00:00:00, 0.0, 6.7
1.6, 1.6, 2.1, 0.0, 2014-10-29 00:00:00, 0.0, 10.7
38.2, 38.2, 4.3, 0.0, 2014-10-30 00:00:00, 0.0, 7.4
22.4, 22.4, 5.3, 0.0, 2014-10-31 00:00:00, 0.0, 7.4
0.0, 0.0, 2.0, 0.0, 2014-11-01 00:00:00, 0.0, 7.0
3.1, 3.1, 1.5, 0.0, 2014-11-02 00:00:00, 0.0, 6.0
27.4, 27.4, 2.7, 0.0, 2014-11-03 00:00:00, 0.0, 7.8
17.4, 17.4, 4.4, 0.0, 2014-11-04 00:00:00, 0.0, 10.6
37.9, 37.9, 2.5, 0.0, 2014-11-05 00:00:00, 0.0, 7.5
58.5, 58.5, 3.5, 0.0, 2014-11-06 00:00:00, 0.0, 8.9
0.0, 0.0, 4.3, 0.0, 2014-11-07 00:00:00, 0.0, 8.6
10.0, 10.0, 3.5, 0.0, 2014-11-08 00:00:00, 0.0, 7.5
0.6, 0.6, 2.5, 0.0, 2014-11-09 00:00:00, 0.0, 6.0
0.0, 0.0, -3.0, 0.0, 2014-11-10 00:00:00, 0.0, 5.3
0.0, 0.0, -5.1, 0.0, 2014-11-13 00:00:00, 0.0, 1.5
0.0, 0.0, -9.8, 0.0, 2014-11-14 00:00:00, 0.0, 0.4
0.0, 0.0, -10.5, 0.0, 2014-11-15 00:00:00, 0.0, -0.5
0.0, 0.0, -9.0, 0.0, 2014-11-16 00:00:00, 0.0, 1.0
0.0, 0.0, -8.6, 0.0, 2014-11-17 00:00:00, 0.0, 1.2
0.0, 0.0, -7.9, 0.0, 2014-11-18 00:00:00, 0.0, 3.6
0.4, 0.4, -2.2, 0.0, 2014-11-19 00:00:00, 0.0, 3.6
3.8, 3.8, -1.8, 0.0, 2014-11-20 00:00:00, 0.0, 5.4
11.4, 11.4, 0.0, 0.0, 2014-11-21 00:00:00, 0.0, 3.7
4.4, 4.4, 0.0, 0.0, 2014-11-22 00:00:00, 0.0, 5.0
5.5, 5.5, 0.5, 0.0, 2014-11-23 00:00:00, 0.0, 4.2
14.4, 3.0, -0.4, 5.0, 2014-11-24 00:00:00, 0.0, 2.2
32.1, 2.9, -0.1, 11.0, 2014-11-25 00:00:00, 5.0, 0.7
28.0, 28.0, -0.1, 0.0, 2014-11-26 00:00:00, 22.0, 6.4
0.0, 0.0, -13.5, 0.0, 2014-11-29 00:00:00, 6.0, -8.5
0.0, 0.0, -13.5, 0.0, 2014-11-30 00:00:00, 6.0, 8.1
0.0, 0.0, -13.3, 0.0, 2014-12-01 00:00:00, 6.0, -5.3
0.0, 0.0, -13.0, 0.0, 2014-12-02 00:00:00, 5.0, -4.1
0.0, 0.0, -11.5, 0.0, 2014-12-03 00:00:00, 5.0, -1.6
4.4, 0.0, -9.5, 6.0, 2014-12-04 00:00:00, 5.0, -3.1
12.0, 6.0, -9.4, 0.0, 2014-12-05 00:00:00, 8.0, 0.0
12.0, 6.0, -3.5, 0.0, 2014-12-06 00:00:00, 8.0, 1.0
2.8, 2.8, 0.0, 0.0, 2014-12-07 00:00:00, 8.0, 2.7
30.5, 30.5, 0.1, 0.0, 2014-12-08 00:00:00, 7.0, 3.7
89.6, 89.6, 0.2, 0.0, 2014-12-09 00:00:00, 3.0, 7.7
74.4, 74.4, 1.8, 0.0, 2014-12-10 00:00:00, 0.0, 5.0
19.2, 19.2, 2.2, 0.0, 2014-12-11 00:00:00, 0.0, 4.1
3.6, 1.8, 0.7, 0.0, 2014-12-12 00:00:00, 0.0, 6.2
0.0, 0.0, 0.0, 0.0, 2014-12-13 00:00:00, 0.0, 3.0
0.0, 0.0, -3.5, 0.0, 2014-12-14 00:00:00, 0.0, 1.0
0.0, 0.0, -3.0, 0.0, 2014-12-15 00:00:00, 0.0, -0.2
1.1, 0.0, -2.8, 1.1, 2014-12-16 00:00:00, 0.0, -0.3
2.6, 0.0, -2.4, 2.4, 2014-12-17 00:00:00, 1.0, 0.4
6.6, 1.4, -2.3, 5.2, 2014-12-18 00:00:00, 3.0, 1.4
4.0, 4.0, -0.2, 0.0, 2014-12-19 00:00:00, 4.0, 3.0
34.6, 10.8, 0.0, 13.0, 2014-12-20 00:00:00, 0.0, 2.0
0.0, 0.0, -1.9, 0.0, 2014-12-25 00:00:00, 12.0, 0.3
3.4, 0.0, -7.5, 4.2, 2014-12-26 00:00:00, 12.0, -2.0
4.4, 0.0, -2.5, 5.0, 2014-12-27 00:00:00, 15.0, -0.5
0.0, 0.0, -7.5, 0.0, 2014-12-28 00:00:00, 17.0, -1.8
0.0, 0.0, -7.4, 0.0, 2014-12-29 00:00:00, 17.0, -3.7
0.0, 0.0, -12.4, 0.0, 2014-12-30 00:00:00, 17.0, -7.5
0.0, 0.0, -13.8, 0.0, 2014-12-31 00:00:00, 17.0, -5.1
