station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, time, SNOW_ON_THE_GROUND, MAX_TEMP
0.0, None, -14.1, 2012-02-14 00:00:00, 18.0, -1.8
0.0, None, -13.3, 2012-02-15 00:00:00, 18.0, -0.7
1.2, 0.0, -6.0, 2012-02-16 00:00:00, 18.0, 0.1
0.0, None, -9.0, 2012-02-17 00:00:00, 19.0, 3.0
4.8, 0.0, -2.3, 2012-02-18 00:00:00, 24.0, 1.0
0.0, None, -5.4, 2012-02-19 00:00:00, 24.0, 0.9
0.0, None, -9.2, 2012-02-20 00:00:00, 24.0, 0.3
2.2, 0.0, -1.3, 2012-02-21 00:00:00, 29.0, 2.0
0.0, None, -3.7, 2012-02-22 00:00:00, 29.0, 3.7
0.0, None, -9.2, 2012-02-23 00:00:00, 28.0, 2.1
6.1, 0.0, -10.7, 2012-02-24 00:00:00, 28.0, -2.9
0.0, None, -10.4, 2012-02-25 00:00:00, 37.0, -3.8
0.0, None, -21.7, 2012-02-26 00:00:00, 35.0, -8.1
0.0, None, -17.9, 2012-02-27 00:00:00, 35.0, -6.0
0.0, None, -9.8, 2012-02-28 00:00:00, 34.0, 0.9
0.3, 0.0, -7.7, 2012-02-29 00:00:00, 34.0, -0.7
None, None, -8.8, 2012-03-01 00:00:00, 36.0, -1.3
1.3, None, -4.4, 2012-03-02 00:00:00, 35.0, 0.9
3.8, 0.0, -0.3, 2012-03-03 00:00:00, 42.0, 5.1
9.4, 0.0, -4.7, 2012-03-04 00:00:00, 38.0, 1.4
0.0, None, -15.3, 2012-03-05 00:00:00, 43.0, -2.7
0.0, None, -18.7, 2012-03-06 00:00:00, 43.0, -2.2
0.0, None, -4.0, 2012-03-07 00:00:00, 42.0, 2.8
0.4, None, -0.7, 2012-03-08 00:00:00, 42.0, 5.2
0.0, None, -0.4, 2012-03-09 00:00:00, 41.0, 7.0
0.0, None, -4.1, 2012-03-10 00:00:00, 36.0, 4.4
0.7, None, -4.6, 2012-03-11 00:00:00, 35.0, 5.1
0.8, None, -9.1, 2012-03-12 00:00:00, 35.0, 5.1
0.0, None, -4.5, 2012-03-13 00:00:00, 35.0, 2.0
0.0, None, -7.3, 2012-03-14 00:00:00, 34.0, 2.2
0.0, None, -1.6, 2012-03-15 00:00:00, 34.0, 10.0
0.0, None, -1.6, 2012-03-16 00:00:00, 29.0, 6.5
0.0, None, -7.7, 2012-03-17 00:00:00, 27.0, 5.6
5.9, 0.0, -2.6, 2012-03-18 00:00:00, 38.0, 1.8
0.0, None, -7.2, 2012-03-19 00:00:00, 32.0, 1.2
0.7, 0.0, -7.2, 2012-03-20 00:00:00, 32.0, 5.7
0.0, None, -3.1, 2012-03-21 00:00:00, 32.0, 4.3
0.0, None, -11.9, 2012-03-22 00:00:00, 31.0, 6.1
0.0, None, -9.7, 2012-03-23 00:00:00, 29.0, 6.5
0.0, None, -10.3, 2012-03-24 00:00:00, 29.0, 6.2
0.0, None, -10.8, 2012-03-25 00:00:00, 29.0, 7.2
0.0, None, -6.8, 2012-03-26 00:00:00, 28.0, 9.9
0.0, None, -2.4, 2012-03-27 00:00:00, 26.0, 10.1
0.0, None, 0.6, 2012-03-28 00:00:00, 23.0, 9.5
0.6, None, -0.6, 2012-03-29 00:00:00, 18.0, 8.5
0.0, None, -3.1, 2012-03-30 00:00:00, 16.0, 6.0
0.0, None, -5.3, 2012-03-31 00:00:00, 15.0, 5.3
0.0, None, -4.1, 2012-04-01 00:00:00, 14.0, 7.2
1.7, None, -3.9, 2012-04-02 00:00:00, 11.0, 9.7
2.6, 0.0, -2.3, 2012-04-03 00:00:00, 5.0, 7.7
0.8, None, -5.0, 2012-04-04 00:00:00, 7.0, 5.8
0.0, None, -5.8, 2012-04-05 00:00:00, 4.0, 6.7
0.0, None, -5.4, 2012-04-06 00:00:00, 4.0, 8.0
0.0, None, -3.6, 2012-04-07 00:00:00, 4.0, 9.9
0.0, None, -5.4, 2012-04-08 00:00:00, 3.0, 12.8
0.0, None, -0.2, 2012-04-09 00:00:00, 3.0, 13.2
0.0, None, -1.2, 2012-04-10 00:00:00, 3.0, 14.6
0.0, None, 0.0, 2012-04-11 00:00:00, None, 15.8
4.4, None, 3.3, 2012-04-12 00:00:00, None, 8.5
5.7, None, 0.3, 2012-04-13 00:00:00, None, 6.0
0.0, None, -0.9, 2012-04-14 00:00:00, None, 5.5
0.0, None, -5.1, 2012-04-15 00:00:00, None, 9.2
3.4, None, -3.8, 2012-04-16 00:00:00, None, 10.7
0.6, None, 2.2, 2012-04-17 00:00:00, None, 11.0
0.0, None, 0.8, 2012-04-18 00:00:00, None, 11.5
0.0, None, -2.7, 2012-04-19 00:00:00, None, 13.6
0.0, None, 0.6, 2012-04-20 00:00:00, None, 11.9
0.0, None, -4.8, 2012-04-21 00:00:00, None, 12.1
3.0, None, 2.8, 2012-04-22 00:00:00, None, 7.1
3.8, None, 2.6, 2012-04-23 00:00:00, None, 10.1
0.0, None, 0.3, 2012-04-24 00:00:00, None, 13.2
0.8, None, 5.0, 2012-04-25 00:00:00, None, 18.4
15.2, None, 4.7, 2012-04-26 00:00:00, None, 12.0
0.0, None, 1.1, 2012-04-27 00:00:00, None, 11.7
2.0, None, 1.7, 2012-04-28 00:00:00, None, 9.7
0.0, None, 1.9, 2012-04-29 00:00:00, None, 11.9
10.5, None, 2.8, 2012-04-30 00:00:00, None, 9.9
2.3, None, 2.5, 2012-05-01 00:00:00, None, 11.7
0.0, None, -1.1, 2012-05-02 00:00:00, None, 12.9
0.9, None, 0.7, 2012-05-03 00:00:00, None, 12.3
0.0, None, 1.7, 2012-05-04 00:00:00, None, 12.2
0.0, None, -0.3, 2012-05-05 00:00:00, None, 11.8
0.0, None, -1.7, 2012-05-06 00:00:00, None, 16.0
0.0, None, 6.0, 2012-05-07 00:00:00, None, 19.1
0.0, None, 5.1, 2012-05-08 00:00:00, None, 15.9
0.0, None, -0.4, 2012-05-09 00:00:00, None, 8.8
0.0, None, -2.0, 2012-05-10 00:00:00, None, 11.5
0.0, None, -1.2, 2012-05-11 00:00:00, None, 15.0
0.0, None, -0.2, 2012-05-12 00:00:00, None, 21.5
0.0, None, 0.9, 2012-05-13 00:00:00, None, 21.6
0.0, None, -2.0, 2012-05-14 00:00:00, None, 21.0
0.0, None, 6.8, 2012-05-15 00:00:00, None, 16.7
0.0, None, -0.5, 2012-05-16 00:00:00, None, 12.3
4.2, None, -0.5, 2012-05-17 00:00:00, None, 10.1
1.1, None, 0.3, 2012-05-18 00:00:00, None, 9.5
0.0, None, -3.2, 2012-05-19 00:00:00, None, 15.8
0.0, None, 5.4, 2012-05-20 00:00:00, None, 20.0
9.6, None, 7.3, 2012-05-21 00:00:00, None, 14.6
2.3, None, 6.6, 2012-05-22 00:00:00, None, 15.1
0.0, None, -0.4, 2012-05-23 00:00:00, None, 17.1
0.0, None, 2.7, 2012-05-24 00:00:00, None, 17.0
0.0, None, 3.7, 2012-05-25 00:00:00, None, 20.2
0.0, None, 0.5, 2012-05-26 00:00:00, None, 23.0
0.0, None, 2.8, 2012-05-27 00:00:00, None, 22.2
2.0, None, 5.9, 2012-05-28 00:00:00, None, 20.4
2.4, None, 5.0, 2012-05-29 00:00:00, None, 16.5
0.0, None, 6.5, 2012-05-30 00:00:00, None, 16.8
0.0, None, 6.5, 2012-05-31 00:00:00, None, 20.7
1.5, None, 2.4, 2012-06-01 00:00:00, None, 20.4
0.0, None, 2.4, 2012-06-02 00:00:00, None, 16.1
0.0, None, 2.4, 2012-06-03 00:00:00, None, 15.3
0.0, None, 3.6, 2012-06-04 00:00:00, None, 17.7
0.0, None, 8.3, 2012-06-05 00:00:00, None, 15.3
20.3, None, 6.3, 2012-06-06 00:00:00, None, 10.0
8.4, None, 5.1, 2012-06-07 00:00:00, 1.0, 17.5
2.6, None, 7.9, 2012-06-08 00:00:00, None, 16.2
0.0, None, 6.4, 2012-06-09 00:00:00, None, 20.4
0.0, None, 8.9, 2012-06-10 00:00:00, None, 23.0
17.5, None, 9.2, 2012-06-11 00:00:00, None, 19.8
8.5, None, 11.2, 2012-06-12 00:00:00, None, 16.3
0.3, None, 8.6, 2012-06-13 00:00:00, None, 17.6
0.4, None, 5.6, 2012-06-14 00:00:00, None, 13.4
2.0, None, 6.3, 2012-06-15 00:00:00, None, 18.8
25.1, None, 9.5, 2012-06-16 00:00:00, None, 19.1
4.8, None, 9.7, 2012-06-17 00:00:00, None, 16.0
4.8, None, 8.6, 2012-06-18 00:00:00, None, 16.2
0.0, None, 9.5, 2012-06-19 00:00:00, None, 20.4
0.0, None, 9.5, 2012-06-20 00:00:00, None, 21.2
0.3, None, 9.5, 2012-06-21 00:00:00, None, 23.0
6.1, None, 12.2, 2012-06-22 00:00:00, None, 27.2
4.9, None, 13.3, 2012-06-23 00:00:00, None, 24.6
1.7, None, 10.3, 2012-06-24 00:00:00, None, 22.6
1.8, None, 8.6, 2012-06-25 00:00:00, None, 20.1
1.2, None, 2.4, 2012-06-26 00:00:00, None, 14.6
0.4, None, 7.3, 2012-06-27 00:00:00, None, 16.5
0.0, None, 7.2, 2012-06-28 00:00:00, None, 19.4
1.9, None, 9.5, 2012-06-29 00:00:00, None, 19.9
8.2, None, 10.2, 2012-06-30 00:00:00, None, 15.4
5.2, None, 8.0, 2012-07-01 00:00:00, None, 18.0
11.7, None, 8.1, 2012-07-02 00:00:00, None, 15.9
0.9, None, 8.7, 2012-07-03 00:00:00, None, 16.0
0.0, None, 6.7, 2012-07-04 00:00:00, None, 16.2
0.0, None, 5.1, 2012-07-05 00:00:00, None, 20.3
0.0, None, 4.4, 2012-07-06 00:00:00, None, 24.6
0.0, None, 7.7, 2012-07-07 00:00:00, None, 24.7
0.0, None, 8.4, 2012-07-08 00:00:00, None, 27.8
0.0, None, 8.5, 2012-07-09 00:00:00, None, 28.5
0.0, None, 9.0, 2012-07-10 00:00:00, None, 25.8
0.0, None, 6.7, 2012-07-11 00:00:00, None, 25.0
0.0, None, 6.8, 2012-07-12 00:00:00, None, 25.3
0.0, None, 5.5, 2012-07-13 00:00:00, None, 28.4
0.9, None, 9.5, 2012-07-14 00:00:00, None, 27.7
2.5, None, 12.9, 2012-07-15 00:00:00, None, 25.5
0.0, None, 10.1, 2012-07-16 00:00:00, None, 28.3
0.0, None, 12.0, 2012-07-17 00:00:00, None, 28.3
0.0, None, 12.9, 2012-07-18 00:00:00, None, 25.0
0.0, None, 9.8, 2012-07-19 00:00:00, None, 24.1
0.0, None, 10.4, 2012-07-20 00:00:00, None, 30.0
5.5, None, 13.8, 2012-07-21 00:00:00, None, 23.1
0.0, None, 7.9, 2012-07-22 00:00:00, None, 23.0
2.2, None, 9.0, 2012-07-23 00:00:00, None, 21.6
0.0, None, 9.9, 2012-07-24 00:00:00, None, 26.1
0.4, None, 13.4, 2012-07-27 00:00:00, None, 25.4
0.0, None, 10.8, 2012-07-28 00:00:00, None, 21.9
0.0, None, 12.1, 2012-07-29 00:00:00, None, 22.9
0.0, None, 9.6, 2012-07-30 00:00:00, None, 21.5
0.0, None, 9.0, 2012-07-31 00:00:00, None, 21.6
7.4, None, 7.9, 2012-08-01 00:00:00, None, 17.5
0.0, None, 8.6, 2012-08-02 00:00:00, None, 21.6
0.0, None, 10.2, 2012-08-03 00:00:00, None, 26.3
0.0, None, 13.1, 2012-08-04 00:00:00, None, 29.2
0.0, None, 10.4, 2012-08-05 00:00:00, None, 30.2
0.0, None, 9.6, 2012-08-06 00:00:00, None, 28.7
0.0, None, 10.9, 2012-08-07 00:00:00, None, 25.6
0.5, None, 10.4, 2012-08-08 00:00:00, None, 25.5
0.0, None, 9.1, 2012-08-09 00:00:00, None, 20.3
0.0, None, 4.0, 2012-08-10 00:00:00, None, 20.4
0.0, None, 6.2, 2012-08-11 00:00:00, None, 22.6
0.0, None, 9.8, 2012-08-12 00:00:00, None, 26.3
0.0, None, 11.5, 2012-08-13 00:00:00, None, 23.1
2.5, None, 8.4, 2012-08-14 00:00:00, None, 21.1
0.0, None, 1.9, 2012-08-15 00:00:00, None, 22.3
0.0, None, 3.0, 2012-08-16 00:00:00, None, 27.0
0.0, None, 4.5, 2012-08-17 00:00:00, None, 29.5
0.0, None, 7.6, 2012-08-18 00:00:00, None, 30.1
0.0, None, 12.4, 2012-08-19 00:00:00, None, 28.1
0.0, None, 9.4, 2012-08-20 00:00:00, None, 28.2
0.0, None, 11.9, 2012-08-21 00:00:00, None, 22.9
0.3, None, 12.2, 2012-08-22 00:00:00, None, 20.9
0.5, None, 5.9, 2012-08-23 00:00:00, None, 17.3
0.0, None, 6.6, 2012-08-24 00:00:00, None, 14.6
0.0, None, 9.8, 2012-08-25 00:00:00, None, 20.1
0.0, None, 1.6, 2012-08-26 00:00:00, None, 24.2
0.0, None, 9.5, 2012-08-27 00:00:00, None, 23.3
6.7, None, 4.9, 2012-08-28 00:00:00, None, 19.6
7.1, None, 8.8, 2012-08-29 00:00:00, None, 18.5
4.3, None, 6.7, 2012-08-30 00:00:00, None, 15.3
0.0, None, 5.6, 2012-08-31 00:00:00, None, 17.8
2.4, None, 6.7, 2012-09-01 00:00:00, None, 14.7
0.0, None, 6.5, 2012-09-02 00:00:00, None, 17.2
0.0, None, 4.3, 2012-09-03 00:00:00, None, 17.9
0.0, None, 3.5, 2012-09-04 00:00:00, None, 20.8
0.0, None, 7.3, 2012-09-05 00:00:00, None, 19.5
0.0, None, 4.8, 2012-09-06 00:00:00, None, 22.7
0.0, None, 6.0, 2012-09-07 00:00:00, None, 23.9
0.0, None, 2.7, 2012-09-08 00:00:00, None, 26.1
1.8, None, 7.6, 2012-09-09 00:00:00, None, 22.8
0.6, None, 4.0, 2012-09-10 00:00:00, None, 14.7
0.7, None, 2.9, 2012-09-11 00:00:00, None, 13.6
0.0, None, 1.3, 2012-09-12 00:00:00, None, 15.8
0.0, None, 4.0, 2012-09-13 00:00:00, None, 23.0
0.0, None, 3.1, 2012-09-14 00:00:00, None, 20.6
0.0, None, -2.4, 2012-09-15 00:00:00, None, 17.2
0.0, None, -2.8, 2012-09-16 00:00:00, None, 19.9
0.0, None, 0.8, 2012-09-17 00:00:00, None, 23.8
0.0, None, 6.1, 2012-09-18 00:00:00, None, 20.8
0.0, None, -0.8, 2012-09-19 00:00:00, None, 23.1
0.0, None, 1.3, 2012-09-20 00:00:00, None, 23.7
0.0, None, 1.5, 2012-09-21 00:00:00, None, 24.4
0.0, None, 1.3, 2012-09-22 00:00:00, None, 23.9
0.0, None, 1.8, 2012-09-23 00:00:00, None, 24.5
2.5, None, 6.9, 2012-09-24 00:00:00, None, 15.6
0.0, None, 1.6, 2012-09-25 00:00:00, None, 15.7
0.0, None, -1.5, 2012-09-26 00:00:00, None, 18.9
0.3, None, 2.8, 2012-09-27 00:00:00, None, 22.4
6.4, None, 1.5, 2012-09-28 00:00:00, None, 17.0
0.0, None, 1.5, 2012-09-29 00:00:00, None, 15.3
7.7, None, 5.3, 2012-09-30 00:00:00, None, 12.8
7.9, None, 8.4, 2012-10-01 00:00:00, None, 16.8
4.9, None, -1.2, 2012-10-02 00:00:00, None, 9.2
0.0, None, -5.8, 2012-10-03 00:00:00, None, 8.9
0.0, None, -5.4, 2012-10-04 00:00:00, None, 10.3
0.0, None, -5.3, 2012-10-05 00:00:00, None, 13.2
0.0, None, -3.0, 2012-10-06 00:00:00, None, 16.7
0.0, None, 1.9, 2012-10-07 00:00:00, None, 16.3
0.0, None, -0.6, 2012-10-08 00:00:00, None, 16.5
0.3, None, 0.7, 2012-10-09 00:00:00, None, 18.7
0.3, None, -1.8, 2012-10-10 00:00:00, None, 6.8
0.0, None, -7.1, 2012-10-11 00:00:00, None, 3.4
16.4, None, 1.4, 2012-10-12 00:00:00, None, 13.5
1.5, None, 2.4, 2012-10-13 00:00:00, None, 15.2
4.3, None, 2.4, 2012-10-14 00:00:00, None, 16.8
0.0, None, 2.2, 2012-10-15 00:00:00, None, 13.5
1.9, None, 2.2, 2012-10-16 00:00:00, None, 11.0
0.0, None, -3.5, 2012-10-17 00:00:00, None, 8.6
5.9, None, 3.5, 2012-10-18 00:00:00, None, 8.1
6.5, None, -2.9, 2012-10-19 00:00:00, None, 6.4
None, None, -6.9, 2012-10-20 00:00:00, None, 1.8
0.0, None, -6.5, 2012-10-21 00:00:00, None, 1.2
0.0, None, -9.9, 2012-10-22 00:00:00, None, 1.2
0.0, None, -9.5, 2012-10-23 00:00:00, None, 2.4
0.0, None, -5.1, 2012-10-24 00:00:00, None, 1.3
0.0, None, -3.9, 2012-10-25 00:00:00, None, -0.8
0.0, None, -5.6, 2012-10-26 00:00:00, None, -0.4
1.4, 0.0, -3.7, 2012-10-27 00:00:00, None, -2.4
5.1, 0.0, -7.7, 2012-10-28 00:00:00, 7.0, -3.4
19.0, 0.0, -9.2, 2012-10-29 00:00:00, 14.0, -6.3
0.7, None, -20.7, 2012-10-30 00:00:00, 26.0, -8.8
0.0, None, -17.1, 2012-10-31 00:00:00, 23.0, -7.5
1.6, None, -7.5, 2012-11-01 00:00:00, 20.0, -3.1
None, None, -3.3, 2012-11-02 00:00:00, 19.0, 0.7
3.2, None, -2.0, 2012-11-03 00:00:00, 14.0, 4.9
3.4, None, -1.2, 2012-11-04 00:00:00, 11.0, 9.5
0.0, None, -2.6, 2012-11-05 00:00:00, 1.0, 8.0
0.0, None, -4.3, 2012-11-06 00:00:00, None, 0.3
1.9, 0.0, -1.1, 2012-11-07 00:00:00, 1.0, 1.5
0.0, None, -8.6, 2012-11-08 00:00:00, 3.0, -0.3
0.0, None, -20.5, 2012-11-10 00:00:00, 3.0, -8.0
0.0, None, -17.0, 2012-11-11 00:00:00, 6.0, -1.3
0.0, None, -1.7, 2012-11-12 00:00:00, 6.0, 1.7
0.0, None, 0.0, 2012-11-13 00:00:00, 6.0, 2.1
0.0, None, -1.4, 2012-11-14 00:00:00, 3.0, 3.7
None, None, 0.9, 2012-11-15 00:00:00, 2.0, 2.7
0.0, None, -4.2, 2012-11-16 00:00:00, 1.0, 5.1
1.8, None, 0.6, 2012-11-17 00:00:00, 1.0, 10.5
0.0, None, -2.5, 2012-11-18 00:00:00, 1.0, 5.0
5.2, 0.0, -8.5, 2012-11-19 00:00:00, 1.0, 5.3
0.0, None, -11.5, 2012-11-20 00:00:00, 4.0, -8.5
0.0, None, -17.2, 2012-11-21 00:00:00, 2.0, -7.9
1.9, 0.0, -19.9, 2012-11-22 00:00:00, 2.0, 1.1
0.0, None, -5.3, 2012-11-23 00:00:00, 4.0, 4.5
0.0, None, -5.3, 2012-11-24 00:00:00, 2.0, 1.6
0.0, None, -3.0, 2012-11-25 00:00:00, 2.0, 1.4
0.0, None, -12.0, 2012-11-26 00:00:00, 2.0, -0.1
0.0, None, -12.0, 2012-11-27 00:00:00, 2.0, -4.6
0.0, None, -8.4, 2012-11-28 00:00:00, 2.0, -2.4
3.2, 0.0, -9.5, 2012-11-29 00:00:00, 6.0, -7.6
0.0, None, -9.3, 2012-11-30 00:00:00, 6.0, -7.1
1.3, 0.0, -11.9, 2012-12-01 00:00:00, 5.0, -9.3
1.7, 0.0, -13.3, 2012-12-02 00:00:00, 6.0, -8.2
0.0, None, -11.8, 2012-12-03 00:00:00, 8.0, -4.0
0.0, None, -5.4, 2012-12-04 00:00:00, 8.0, 6.8
1.7, 0.0, -5.4, 2012-12-05 00:00:00, 3.0, 1.0
0.0, None, -9.7, 2012-12-06 00:00:00, 4.0, 0.0
0.5, 0.0, -12.1, 2012-12-07 00:00:00, 5.0, -3.3
0.4, 0.0, -10.9, 2012-12-08 00:00:00, 7.0, -5.7
2.4, None, -14.5, 2012-12-09 00:00:00, 7.0, -2.8
4.3, None, -6.5, 2012-12-10 00:00:00, 7.0, 1.8
1.1, None, -0.3, 2012-12-11 00:00:00, 7.0, 1.7
1.1, 0.0, -7.3, 2012-12-12 00:00:00, 7.0, 0.0
4.0, 0.0, -5.8, 2012-12-13 00:00:00, 8.0, -1.4
0.0, None, -9.4, 2012-12-14 00:00:00, 13.0, -1.6
0.0, None, -8.5, 2012-12-15 00:00:00, 13.0, -1.3
0.0, None, -13.7, 2012-12-16 00:00:00, 13.0, -2.2
0.3, 0.0, -10.2, 2012-12-17 00:00:00, 13.0, -7.0
0.0, None, -15.5, 2012-12-18 00:00:00, 14.0, -8.4
0.0, None, -15.7, 2012-12-19 00:00:00, 14.0, -2.6
0.7, 0.0, -12.7, 2012-12-20 00:00:00, 14.0, -1.8
0.0, None, -16.2, 2012-12-21 00:00:00, 20.0, -12.7
0.6, 0.0, -17.5, 2012-12-22 00:00:00, 25.0, -15.0
1.3, 0.0, -17.0, 2012-12-23 00:00:00, 26.0, -14.6
0.0, None, -18.2, 2012-12-24 00:00:00, 25.0, -14.4
0.0, None, -21.2, 2012-12-25 00:00:00, 25.0, -16.6
1.3, 0.0, -18.1, 2012-12-26 00:00:00, 25.0, -14.2
0.0, None, -20.1, 2012-12-27 00:00:00, 28.0, -12.4
3.0, 0.0, -15.4, 2012-12-28 00:00:00, 30.0, -1.9
1.0, 0.0, -10.4, 2012-12-29 00:00:00, 32.0, -2.0
0.0, None, -13.0, 2012-12-30 00:00:00, 31.0, -6.5
0.0, None, -9.5, 2012-12-31 00:00:00, 30.0, -3.4
