pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,PRECIP_DETECTOR_RATIO,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,MAXIMUM_MEASURED_WIND_SPEED1,week_of_year
None, 0.427, 88.9, None, None, None, None, None, None, None, -1.0, 0.4, -0.3, 0.0, None, 5.0, None, 89.0, None,2021-11-06 04:00:00, None,45
None, -0.03, 90.4, None, None, None, None, None, None, None, -1.0, 0.0, -0.3, 0.0, None, 5.0, None, 90.0, None,2021-11-06 05:00:00, None,45
None, -0.347, 90.9, None, None, None, None, None, None, None, -2.0, -0.3, -0.3, 0.0, None, 5.0, None, 91.0, None,2021-11-06 06:00:00, None,45
None, -0.626, 91.9, None, None, None, None, None, None, None, -2.0, -0.6, -0.7, 0.0, None, -0.3, None, 92.0, None,2021-11-06 07:00:00, None,45
None, -0.192, 92.2, None, None, None, None, None, None, None, -1.0, -0.2, -0.7, 0.0, None, -0.2, None, 92.0, None,2021-11-06 08:00:00, None,45
None, -0.504, 90.9, None, None, None, None, None, None, None, -2.0, -0.5, -0.7, 0.0, None, 0.0, None, 91.0, None,2021-11-06 09:00:00, None,45
None, -0.192, 92.2, None, None, None, None, None, None, None, -1.0, -0.2, -0.7, 0.0, None, 0.0, None, 92.0, None,2021-11-06 10:00:00, None,45
None, 2.891, 88.9, None, None, None, None, None, None, None, 1.0, 2.9, -0.7, 0.0, None, 2.7, None, 89.0, None,2021-11-06 11:00:00, None,45
None, 6.233, 65.83, None, None, None, None, None, None, None, 0.0, 6.2, -0.7, 0.0, None, 6.2, None, 66.0, None,2021-11-06 12:00:00, None,45
None, 6.895, 62.21, None, None, None, None, None, None, None, 0.0, 6.9, -0.7, 0.0, None, 6.9, None, 62.0, None,2021-11-06 13:00:00, None,45
None, 6.529, 68.36, None, None, None, None, None, None, None, 1.0, 6.5, -0.7, 0.0, None, 6.9, None, 68.0, None,2021-11-06 14:00:00, None,45
None, 6.996, 65.97, None, None, None, None, None, None, None, 1.0, 7.0, -0.7, 0.0, None, 7.0, None, 66.0, None,2021-11-06 15:00:00, None,45
None, 6.705, 67.46, None, None, None, None, None, None, None, 1.0, 6.7, -0.7, 0.0, None, 7.0, None, 67.0, None,2021-11-06 16:00:00, None,45
None, 5.985, 72.65, None, None, None, None, None, None, None, 1.0, 6.0, -0.7, 0.0, None, 7.0, None, 73.0, None,2021-11-06 17:00:00, None,45
None, 4.99, 85.6, None, None, None, None, None, None, None, 3.0, 5.0, -0.7, 0.0, None, 7.0, None, 86.0, None,2021-11-06 18:00:00, None,45
None, 3.633, 91.6, None, None, None, None, None, None, None, 2.0, 3.6, 3.7, 0.0, None, 5.0, None, 92.0, None,2021-11-06 19:00:00, None,45
None, 2.354, 94.0, None, None, None, None, None, None, None, 1.0, 2.4, 2.2, 0.0, None, 5.0, None, 94.0, None,2021-11-06 20:00:00, None,45
None, 2.19, 94.7, None, None, None, None, None, None, None, 1.0, 2.2, 2.1, 0.0, None, 5.0, None, 95.0, None,2021-11-06 21:00:00, None,45
None, 2.041, 95.1, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2021-11-06 22:00:00, None,45
None, 1.993, 95.4, None, None, None, None, None, None, None, 1.0, 2.0, 1.8, 0.0, None, 5.0, None, 95.0, None,2021-11-06 23:00:00, None,45
None, 2.108, 95.7, None, None, None, None, None, None, None, 2.0, 2.1, 1.8, 0.0, None, 5.0, None, 96.0, None,2021-11-07 00:00:00, None,45
None, 2.252, 95.7, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2021-11-07 01:00:00, None,45
None, 2.089, 95.9, None, None, None, None, None, None, None, 2.0, 2.1, 1.8, 0.0, None, 5.0, None, 96.0, None,2021-11-07 02:00:00, None,45
None, 2.072, 96.0, None, None, None, None, None, None, None, 2.0, 2.1, 1.8, 0.0, None, 5.0, None, 96.0, None,2021-11-07 03:00:00, None,45
None, 2.24, 96.0, None, None, None, None, None, None, None, 2.0, 2.2, 1.8, 0.0, None, 5.0, None, 96.0, None,2021-11-07 04:00:00, None,45
None, 0.829, 96.2, None, None, None, None, None, None, None, 0.0, 0.8, 0.8, 0.0, None, 5.0, None, 96.0, None,2021-11-07 05:00:00, None,45
None, -0.091, 96.6, None, None, None, None, None, None, None, -1.0, -0.1, -0.1, 0.0, None, 5.0, None, 97.0, None,2021-11-07 06:00:00, None,45
None, -0.181, 96.7, None, None, None, None, None, None, None, -1.0, -0.2, -0.3, 0.0, None, 0.1, None, 97.0, None,2021-11-07 07:00:00, None,45
None, 0.221, 96.8, None, None, None, None, None, None, None, 0.0, 0.2, -0.3, 0.0, None, 0.2, None, 97.0, None,2021-11-07 08:00:00, None,45
None, 1.15, 96.6, None, None, None, None, None, None, None, 1.0, 1.2, -0.3, 0.0, None, 1.1, None, 97.0, None,2021-11-07 09:00:00, None,45
None, 3.503, 93.7, None, None, None, None, None, None, None, 3.0, 3.5, -0.3, 0.0, None, 3.4, None, 94.0, None,2021-11-07 10:00:00, None,45
None, 5.002, 78.62, None, None, None, None, None, None, None, 2.0, 5.0, -0.3, 0.0, None, 5.0, None, 79.0, None,2021-11-07 11:00:00, None,45
None, 5.45, 73.93, None, None, None, None, None, None, None, 1.0, 5.5, -0.3, 0.0, None, 5.4, None, 74.0, None,2021-11-07 12:00:00, None,45
None, 5.81, 74.28, None, None, None, None, None, None, None, 2.0, 5.8, -0.3, 0.0, None, 5.9, None, 74.0, None,2021-11-07 13:00:00, None,45
None, 5.425, 78.61, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2021-11-07 14:00:00, None,45
None, 5.392, 79.41, None, None, None, None, None, None, None, 2.0, 5.4, -0.3, 0.0, None, 5.9, None, 79.0, None,2021-11-07 15:00:00, None,45
None, 4.07, 85.3, None, None, None, None, None, None, None, 2.0, 4.1, -0.3, 0.0, None, 5.9, None, 85.0, None,2021-11-07 16:00:00, None,45
None, 3.455, 89.0, None, None, None, None, None, None, None, 2.0, 3.5, -0.3, 0.0, None, 5.9, None, 89.0, None,2021-11-07 17:00:00, None,45
None, 3.51, 86.3, None, None, None, None, None, None, None, 1.0, 3.5, -0.3, 0.0, None, 5.9, None, 86.0, None,2021-11-07 18:00:00, None,45
None, 3.303, 85.2, None, None, None, None, None, None, None, 1.0, 3.3, 2.5, 0.0, None, 3.6, None, 85.0, None,2021-11-07 19:00:00, None,45
None, 2.862, 89.0, None, None, None, None, None, None, None, 1.0, 2.9, 2.5, 0.0, None, 3.6, None, 89.0, None,2021-11-07 20:00:00, None,45
None, 2.977, 86.5, None, None, None, None, None, None, None, 1.0, 3.0, 2.5, 0.0, None, 3.7, None, 87.0, None,2021-11-07 21:00:00, None,45
None, 3.623, 76.05, None, None, None, None, None, None, None, 0.0, 3.6, 2.5, 0.0, None, 3.8, None, 76.0, None,2021-11-07 22:00:00, None,45
None, 1.243, 86.7, None, None, None, None, None, None, None, -1.0, 1.2, 1.3, 0.0, None, 3.8, None, 87.0, None,2021-11-07 23:00:00, None,45
None, 2.038, 89.7, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2021-11-08 00:00:00, None,45
None, 0.554, 91.3, None, None, None, None, None, None, None, -1.0, 0.6, 0.6, 0.0, None, 3.8, None, 91.0, None,2021-11-08 01:00:00, None,45
None, 0.493, 92.7, None, None, None, None, None, None, None, -1.0, 0.5, 0.2, 0.0, None, 3.8, None, 93.0, None,2021-11-08 02:00:00, None,45
None, 0.125, 93.5, None, None, None, None, None, None, None, -1.0, 0.1, 0.1, 0.0, None, 3.8, None, 94.0, None,2021-11-08 03:00:00, None,45
None, 0.513, 93.5, None, None, None, None, None, None, None, 0.0, 0.5, 0.0, 0.0, None, 3.8, None, 94.0, None,2021-11-08 04:00:00, None,45
None, None, None, None, None, None, None, None, None, None, -1.0, 0.1, 0.0, 0.0, None, 3.8, None, 93.0, None,2021-11-08 05:00:00, None,45
None, -0.799, 94.4, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2021-11-08 06:00:00, None,45
None, -0.865, 94.2, None, None, None, None, None, None, None, -2.0, -0.9, -0.9, 0.0, None, -0.7, None, 94.0, None,2021-11-08 07:00:00, None,45
None, -0.661, 93.8, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2021-11-08 08:00:00, None,45
None, 0.031, 94.4, None, None, None, None, None, None, None, -1.0, 0.0, -1.0, 0.0, None, 0.0, None, 94.0, None,2021-11-08 09:00:00, None,45
None, 0.565, 94.8, None, None, None, None, None, None, None, 0.0, 0.6, -1.0, 0.0, None, 0.6, None, 95.0, None,2021-11-08 10:00:00, None,45
None, 2.649, 93.6, None, None, None, None, None, None, None, 2.0, 2.6, -1.0, 0.0, None, 2.6, None, 94.0, None,2021-11-08 11:00:00, None,45
None, 6.197, 65.7, None, None, None, None, None, None, None, 0.0, 6.2, -1.0, 0.0, None, 6.2, None, 66.0, None,2021-11-08 12:00:00, None,45
None, 6.07, 63.92, None, None, None, None, None, None, None, 0.0, 6.1, -1.0, 0.0, None, 6.4, None, 64.0, None,2021-11-08 13:00:00, None,45
None, 3.551, 86.6, None, None, None, None, None, None, None, 2.0, 3.6, -1.0, 0.0, None, 6.4, None, 87.0, None,2021-11-08 14:00:00, None,45
None, 4.394, 82.7, None, None, None, None, None, None, None, 2.0, 4.4, -1.0, 0.0, None, 6.4, None, 83.0, None,2021-11-08 15:00:00, None,45
None, 3.312, 84.1, None, None, None, None, None, None, None, 1.0, 3.3, -1.0, 0.0, None, 6.4, None, 84.0, None,2021-11-08 16:00:00, None,45
None, 1.192, 87.7, None, None, None, None, None, None, None, -1.0, 1.2, -1.0, 0.0, None, 6.4, None, 88.0, None,2021-11-08 17:00:00, None,45
None, 0.315, 90.9, None, None, None, None, None, None, None, -1.0, 0.3, -1.0, 0.0, None, 6.4, None, 91.0, None,2021-11-08 18:00:00, None,45
None, -0.176, 91.7, None, None, None, None, None, None, None, -1.0, -0.2, -0.2, 0.0, None, 0.3, None, 92.0, None,2021-11-08 19:00:00, None,45
None, -0.289, 92.4, None, None, None, None, None, None, None, -1.0, -0.3, -0.3, 0.0, None, 0.3, None, 92.0, None,2021-11-08 20:00:00, None,45
None, -0.48, 93.3, None, None, None, None, None, None, None, -1.0, -0.5, -0.5, 0.0, None, 0.3, None, 93.0, None,2021-11-08 21:00:00, None,45
None, -0.79, 93.3, None, None, None, None, None, None, None, -2.0, -0.8, -0.8, 0.0, None, 0.3, None, 93.0, None,2021-11-08 22:00:00, None,45
None, -0.961, 93.0, None, None, None, None, None, None, None, -2.0, -1.0, -1.0, 0.0, None, 0.3, None, 93.0, None,2021-11-08 23:00:00, None,45
None, -1.105, 93.8, None, None, None, None, None, None, None, -2.0, -1.1, -1.2, 0.0, None, 0.3, None, 94.0, None,2021-11-09 00:00:00, None,45
None, -0.528, 94.2, None, None, None, None, None, None, None, -1.0, -0.5, -1.2, 0.0, None, 0.3, None, 94.0, None,2021-11-09 01:00:00, None,45
None, -0.192, 94.0, None, None, None, None, None, None, None, -1.0, -0.2, -1.2, 0.0, None, 0.3, None, 94.0, None,2021-11-09 02:00:00, None,45
None, 0.17, 94.3, None, None, None, None, None, None, None, -1.0, 0.2, -1.2, 0.0, None, 0.3, None, 94.0, None,2021-11-09 03:00:00, None,45
None, 0.518, 93.3, None, None, None, None, None, None, None, 0.0, 0.5, -1.2, 0.0, None, 0.5, None, 93.0, None,2021-11-09 04:00:00, None,45
None, 0.819, 93.3, None, None, None, None, None, None, None, 0.0, 0.8, -1.2, 0.0, None, 0.8, None, 93.0, None,2021-11-09 05:00:00, None,45
None, 1.029, 92.5, None, None, None, None, None, None, None, 0.0, 1.0, -1.2, 0.0, None, 1.0, None, 93.0, None,2021-11-09 06:00:00, None,45
None, 1.308, 90.9, None, None, None, None, None, None, None, 0.0, 1.3, 0.8, 0.0, None, 1.8, None, 91.0, None,2021-11-09 07:00:00, None,45
None, 1.307, 92.5, None, None, None, None, None, None, None, 0.0, 1.3, 0.8, 0.0, None, 1.8, None, 93.0, None,2021-11-09 08:00:00, None,45
None, 2.374, 92.2, None, None, None, None, None, None, None, 1.0, 2.4, 0.8, 0.0, None, 2.4, None, 92.0, None,2021-11-09 09:00:00, None,45
None, 4.293, 91.8, None, None, None, None, None, None, None, 3.0, 4.3, 0.8, 0.0, None, 4.2, None, 92.0, None,2021-11-09 10:00:00, None,45
