air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,HEIGHT_OF_SNOW,time,snw_dpth,dwpt_temp,stn_pres,week_of_year
None, 0.112, None, None, None, None, 123.16,2020-01-01 00:00:00, None, None, None,1
None, 0.075, None, None, None, None, 122.78,2020-01-01 01:00:00, None, None, None,1
None, -0.018, None, None, None, None, 120.23,2020-01-01 02:00:00, None, None, None,1
None, -0.065, None, None, None, None, 119.24,2020-01-01 03:00:00, None, None, None,1
None, -0.102, None, None, None, None, 123.39,2020-01-01 04:00:00, None, None, None,1
None, -0.195, None, None, None, None, 123.62,2020-01-01 05:00:00, None, None, None,1
None, -0.243, None, None, None, None, 130.03,2020-01-01 06:00:00, None, None, None,1
None, -0.13, None, None, None, None, 129.28,2020-01-01 07:00:00, None, None, None,1
None, -0.093, None, None, None, None, 129.28,2020-01-01 08:00:00, None, None, None,1
None, -0.168, None, None, None, None, 129.28,2020-01-01 09:00:00, None, None, None,1
None, -0.065, None, None, None, None, 130.15,2020-01-01 10:00:00, None, None, None,1
None, -0.428, None, None, None, None, 125.28,2020-01-01 11:00:00, None, None, None,1
None, -2.995, None, None, None, None, 130.0,2020-01-01 12:00:00, None, None, None,1
None, -3.371, None, None, None, None, 129.99,2020-01-01 13:00:00, None, None, None,1
None, -3.804, None, None, None, None, 133.91,2020-01-01 15:00:00, None, None, None,1
None, -4.445, None, None, None, None, 137.25,2020-01-01 16:00:00, None, None, None,1
None, -5.251, None, None, None, None, 136.49,2020-01-01 17:00:00, None, None, None,1
None, -5.497, None, None, None, None, 138.92,2020-01-01 18:00:00, None, None, None,1
None, -5.9, None, None, None, None, 139.12,2020-01-01 19:00:00, None, None, None,1
None, -6.09, None, None, None, None, 137.98,2020-01-01 20:00:00, None, None, None,1
None, -6.119, None, None, None, None, 138.14,2020-01-01 21:00:00, None, None, None,1
None, -6.188, None, None, None, None, 139.96,2020-01-01 23:00:00, None, None, None,1
None, -6.225, None, None, None, None, 145.49,2020-01-02 00:00:00, None, None, None,1
None, -6.686, None, None, None, None, 148.73,2020-01-02 01:00:00, None, None, None,1
None, -6.551, None, None, None, None, 148.61,2020-01-02 02:00:00, None, None, None,1
None, -7.32, None, None, None, None, 147.82,2020-01-02 07:00:00, None, None, None,1
None, -7.74, None, None, None, None, 147.51,2020-01-02 08:00:00, None, None, None,1
None, -8.3, None, None, None, None, 146.41,2020-01-02 09:00:00, None, None, None,1
None, -7.56, None, None, None, None, 145.07,2020-01-02 10:00:00, None, None, None,1
None, -6.86, None, None, None, None, 144.37,2020-01-02 11:00:00, None, None, None,1
None, -6.511, None, None, None, None, 144.97,2020-01-02 12:00:00, None, None, None,1
None, -6.456, None, None, None, None, 146.27,2020-01-02 13:00:00, None, None, None,1
None, -6.763, None, None, None, None, 146.81,2020-01-02 14:00:00, None, None, None,1
None, -7.06, None, None, None, None, 146.5,2020-01-02 15:00:00, None, None, None,1
None, -7.24, None, None, None, None, 146.57,2020-01-02 16:00:00, None, None, None,1
None, -7.21, None, None, None, None, 147.6,2020-01-02 17:00:00, None, None, None,1
None, -7.13, None, None, None, None, 148.41,2020-01-02 18:00:00, None, None, None,1
None, -7.09, None, None, None, None, 148.76,2020-01-02 19:00:00, None, None, None,1
None, -7.08, None, None, None, None, 151.88,2020-01-02 20:00:00, None, None, None,1
None, -7.11, None, None, None, None, 153.39,2020-01-02 21:00:00, None, None, None,1
None, -7.07, None, None, None, None, 155.42,2020-01-02 22:00:00, None, None, None,1
None, -6.957, None, None, None, None, 157.31,2020-01-02 23:00:00, None, None, None,1
None, -6.996, None, None, None, None, 161.55,2020-01-03 00:00:00, None, None, None,1
None, -7.07, None, None, None, None, 162.41,2020-01-03 01:00:00, None, None, None,1
None, -6.6, None, None, None, None, 163.91,2020-01-03 02:00:00, None, None, None,1
None, -5.347, None, None, None, None, 162.43,2020-01-03 03:00:00, None, None, None,1
