pcpn_amt_pst24hrs,air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,HEIGHT_OF_SNOW,time,snw_dpth,dwpt_temp,week_of_year
None, None, 2.672, None, None, None, None, None, None,2020-01-01 00:00:00, None, None,1
None, None, 2.695, None, None, None, None, None, None,2020-01-01 01:00:00, None, None,1
None, None, 2.695, None, None, None, None, None, None,2020-01-01 02:00:00, None, None,1
None, None, 2.715, None, None, None, None, None, None,2020-01-01 03:00:00, None, None,1
None, None, 2.736, None, None, None, None, None, None,2020-01-01 04:00:00, None, None,1
None, None, 2.736, None, None, None, None, None, None,2020-01-01 05:00:00, None, None,1
None, None, 2.736, None, None, None, None, None, None,2020-01-01 06:00:00, None, None,1
None, None, 2.736, None, None, None, None, None, None,2020-01-01 07:00:00, None, None,1
None, None, 2.758, None, None, None, None, None, None,2020-01-01 08:00:00, None, None,1
None, None, 2.822, None, None, None, None, None, None,2020-01-01 09:00:00, None, None,1
None, None, 2.93, None, None, None, None, None, None,2020-01-01 10:00:00, None, None,1
None, None, 3.12, None, None, None, None, None, None,2020-01-01 11:00:00, None, None,1
None, None, 3.249, None, None, None, None, None, None,2020-01-01 12:00:00, None, None,1
None, None, 3.383, None, None, None, None, None, None,2020-01-01 13:00:00, None, None,1
None, None, 3.486, None, None, None, None, None, None,2020-01-01 14:00:00, None, None,1
None, None, 3.486, None, None, None, None, None, None,2020-01-01 15:00:00, None, None,1
None, None, 3.249, None, None, None, None, None, None,2020-01-01 16:00:00, None, None,1
None, None, 3.057, None, None, None, None, None, None,2020-01-01 17:00:00, None, None,1
None, None, 3.014, None, None, None, None, None, None,2020-01-01 18:00:00, None, None,1
None, None, 2.997, None, None, None, None, None, None,2020-01-01 19:00:00, None, None,1
None, None, 3.036, None, None, None, None, None, None,2020-01-01 20:00:00, None, None,1
None, None, 3.048, None, None, None, None, None, None,2020-01-01 21:00:00, None, None,1
None, None, 3.057, None, None, None, None, None, None,2020-01-01 22:00:00, None, None,1
None, None, 3.057, None, None, None, None, None, None,2020-01-01 23:00:00, None, None,1
None, None, 3.014, None, None, None, None, None, None,2020-01-02 00:00:00, None, None,1
None, None, 2.947, None, None, None, None, None, None,2020-01-02 01:00:00, None, None,1
None, None, 2.974, None, None, None, None, None, None,2020-01-02 02:00:00, None, None,1
None, None, 0.266, None, None, None, None, None, None,2020-01-02 07:00:00, None, None,1
None, None, 0.037, None, None, None, None, None, None,2020-01-02 08:00:00, None, None,1
None, None, 0.223, None, None, None, None, None, None,2020-01-02 09:00:00, None, None,1
None, None, 1.366, None, None, None, None, None, None,2020-01-02 10:00:00, None, None,1
None, None, 3.233, None, None, None, None, None, None,2020-01-02 11:00:00, None, None,1
None, None, 4.747, None, None, None, None, None, None,2020-01-02 12:00:00, None, None,1
None, None, 6.209, None, None, None, None, None, None,2020-01-02 13:00:00, None, None,1
None, None, 6.177, None, None, None, None, None, None,2020-01-02 14:00:00, None, None,1
None, None, 4.959, None, None, None, None, None, None,2020-01-02 15:00:00, None, None,1
None, None, 3.569, None, None, None, None, None, None,2020-01-02 16:00:00, None, None,1
None, None, 2.604, None, None, None, None, None, None,2020-01-02 17:00:00, None, None,1
None, None, 2.096, None, None, None, None, None, None,2020-01-02 18:00:00, None, None,1
None, None, 1.712, None, None, None, None, None, None,2020-01-02 19:00:00, None, None,1
None, None, 1.5, None, None, None, None, None, None,2020-01-02 20:00:00, None, None,1
None, None, 1.523, None, None, None, None, None, None,2020-01-02 21:00:00, None, None,1
None, None, 1.692, None, None, None, None, None, None,2020-01-02 22:00:00, None, None,1
None, None, 1.712, None, None, None, None, None, None,2020-01-02 23:00:00, None, None,1
None, None, 1.606, None, None, None, None, None, None,2020-01-03 00:00:00, None, None,1
None, None, 1.606, None, None, None, None, None, None,2020-01-03 01:00:00, None, None,1
None, None, 1.606, None, None, None, None, None, None,2020-01-03 02:00:00, None, None,1
None, None, 1.586, None, None, None, None, None, None,2020-01-03 03:00:00, None, None,1
None, None, 1.565, None, None, None, None, None, None,2020-01-03 04:00:00, None, None,1
None, None, 1.523, None, None, None, None, None, None,2020-01-03 05:00:00, None, None,1
None, None, 1.538, None, None, None, None, None, None,2020-01-03 06:00:00, None, None,1
