Network ID,Network Name,Native ID,Station ID,Station Name,History ID,Province,Longitude,Latitude,Elevation (m),Record Start,Record End,Obs Freq,Variables
12,FLNRO-WMB,351,1896,ZZ SIMARD (NEC),2299,BC,-118.6467,50.6117,1768.0,1990-07-25,2000-11-01,Hourly,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
12,FLNRO-WMB,354,1899,ZZ YARD CREEK,2302,BC,-118.7,50.7,13.0,1979-06-04,2000-10-01,Daily,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
12,FLNRO-WMB,357,1902,ZZ KINGFISHER CK (NEC),2305,BC,-118.7583,50.6983,640.0,1990-07-09,2000-11-01,Hourly,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
17,ARDA,116124,5607,HUPEL,7289,BC,-118.766666666667,50.6175,497.0,1971-05-30,1972-09-29,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
17,ARDA,116125,5608,ELBOW,7290,BC,-118.756666666667,50.685,578.0,1971-05-30,1972-09-29,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
12,FLNRO-WMB,1255,12020,ZZ ICE BOX TS,14077,BC,-118.6408333,50.69195,756.0,2016-06-03,2016-10-12,Unspecified,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
