wind_direction,air_temperature,wind_gust_speed,tendency_amount,wind_speed,mean_sea_level,dew_point,snow_amount,air_temperature_yesterday_high,relative_humidity,time,air_temperature_yesterday_low,total_precipitation,week_of_year
None, -14.4, None, 0.24, 0.0, 103.4, -16.1, None, None, 87.0,2017-01-01 03:00:00, None, None,1
45.0, -15.7, None, 0.23, 5.0, 103.5, -17.3, None, None, 88.0,2017-01-01 04:00:00, None, None,1
45.0, -13.7, None, 0.25, 6.0, 103.6, -15.2, None, None, 88.0,2017-01-01 05:00:00, None, None,1
None, -13.8, None, 0.26, 1.0, 103.8, -15.8, None, None, 85.0,2017-01-01 06:00:00, None, None,1
None, -14.0, None, 0.2, 0.0, 103.7, -16.1, None, None, 84.0,2017-01-01 07:00:00, None, None,1
None, -13.9, None, 0.13, 0.0, 103.7, -15.9, None, None, 85.0,2017-01-01 08:00:00, None, None,1
22.5, -14.1, None, 0.04, 8.0, 103.7, -16.2, None, None, 84.0,2017-01-01 09:00:00, None, None,1
22.5, -14.2, None, 0.06, 2.0, 103.8, -16.4, None, None, 83.0,2017-01-01 10:00:00, None, None,1
22.5, -17.7, None, 0.06, 2.0, 103.8, -20.0, None, None, 83.0,2017-01-01 11:00:00, None, None,1
None, -17.2, None, 0.04, 0.0, 103.8, -19.1, None, None, 85.0,2017-01-01 12:00:00, None, None,1
45.0, -17.7, None, 0.0, 6.0, 103.8, -19.8, None, None, 84.0,2017-01-01 13:00:00, None, None,1
45.0, -17.3, None, -0.07, 4.0, 103.8, -19.7, None, None, 82.0,2017-01-01 14:00:00, None, None,1
45.0, -17.5, None, -0.05, 8.0, 103.8, -19.7, None, None, 83.0,2017-01-01 15:00:00, None, None,1
337.5, -16.5, None, -0.1, 1.0, 103.7, -18.6, None, None, 84.0,2017-01-01 16:00:00, None, None,1
67.5, -16.8, None, -0.05, 10.0, 103.7, -18.9, None, None, 84.0,2017-01-01 17:00:00, None, None,1
22.5, -15.5, None, -0.12, 5.0, 103.6, -17.4, None, None, 85.0,2017-01-01 18:00:00, None, None,1
315.0, -15.1, None, -0.06, 1.0, 103.6, -17.1, None, None, 85.0,2017-01-01 19:00:00, None, None,1
