WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, None,0.917999, None,88.5,2016-01-01 00:00:00,-15.72,1
None, None,1.548, None,88.0,2016-01-01 01:00:00,-16.4,1
None, None,1.555, None,87.4,2016-01-01 02:00:00,-16.9,1
None, None,0.875, None,86.4,2016-01-01 03:00:00,-17.12,1
None, None,0.824998, None,85.8,2016-01-01 04:00:00,-17.53,1
None, None,0.683, None,85.7,2016-01-01 05:00:00,-17.65,1
None, None,0.987999, None,84.8,2016-01-01 06:00:00,-18.39,1
None, None,0.796, None,84.3,2016-01-01 07:00:00,-19.19,1
None, None,0.666, None,84.1,2016-01-01 08:00:00,-19.47,1
None, None,0.573, None,83.7,2016-01-01 09:00:00,-19.7,1
None, None,0.423, None,83.8,2016-01-01 10:00:00,-19.58,1
None, None,0.241999, None,84.2,2016-01-01 11:00:00,-18.77,1
None, None,0.216, None,84.7,2016-01-01 12:00:00,-17.76,1
None, None,0.412, None,84.3,2016-01-01 13:00:00,-16.31,1
None, None,0.866998, None,84.8,2016-01-01 14:00:00,-15.23,1
None, None,1.003, None,85.6,2016-01-01 15:00:00,-14.4,1
None, None,0.499, None,86.5,2016-01-01 16:00:00,-14.16,1
None, None,0.495, None,87.8,2016-01-01 17:00:00,-14.16,1
None, None,0.474999, None,87.9,2016-01-01 18:00:00,-14.06,1
None, None,0.377999, None,86.9,2016-01-01 19:00:00,-14.81,1
None, None,0.331, None,86.8,2016-01-01 20:00:00,-15.47,1
None, None,0.749, None,86.6,2016-01-01 21:00:00,-15.98,1
None, None,0.298, None,86.4,2016-01-01 22:00:00,-16.31,1
None, None,0.607999, None,86.4,2016-01-01 23:00:00,-16.93,1
None, None,0.671, None,85.9,2016-01-02 00:00:00,-17.25,1
None, None,0.684, None,85.3,2016-01-02 01:00:00,-17.77,1
None, None,0.654999, None,85.6,2016-01-02 02:00:00,-18.15,1
None, None,0.825999, None,85.8,2016-01-02 03:00:00,-18.58,1
None, None,0.801998, None,85.0,2016-01-02 04:00:00,-19.18,1
None, None,0.760999, None,84.2,2016-01-02 05:00:00,-19.94,1
None, None,0.907, None,83.4,2016-01-02 06:00:00,-20.28,1
None, None,0.771, None,83.8,2016-01-02 07:00:00,-20.52,1
None, None,0.717, None,84.1,2016-01-02 08:00:00,-20.4,1
None, None,0.716, None,83.6,2016-01-02 09:00:00,-20.38,1
None, None,0.787998, None,82.8,2016-01-02 10:00:00,-20.71,1
None, None,0.625998, None,83.1,2016-01-02 11:00:00,-20.18,1
None, None,0.582, None,84.1,2016-01-02 12:00:00,-18.7,1
None, None,0.832, None,84.6,2016-01-02 13:00:00,-17.23,1
None, None,0.830999, None,84.8,2016-01-02 14:00:00,-16.72,1
None, None,0.72, None,85.4,2016-01-02 15:00:00,-16.06,1
None, None,0.779999, None,85.9,2016-01-02 16:00:00,-16.24,1
None, None,0.716, None,86.5,2016-01-02 17:00:00,-15.99,1
None, None,0.435, None,86.1,2016-01-02 18:00:00,-16.3,1
None, None,0.925998, None,86.3,2016-01-02 19:00:00,-16.66,1
None, None,0.686999, None,85.7,2016-01-02 20:00:00,-17.27,1
None, None,0.961, None,86.1,2016-01-02 21:00:00,-17.52,1
None, None,0.962, None,85.3,2016-01-02 22:00:00,-17.44,1
None, None,1.169, None,86.3,2016-01-02 23:00:00,-17.48,1
None, None,0.871999, None,86.5,2016-01-03 00:00:00,-17.14,1
None, None,0.714999, None,87.0,2016-01-03 01:00:00,-17.01,1
None, None,0.560998, None,86.9,2016-01-03 02:00:00,-16.95,1
None, None,0.519999, None,86.5,2016-01-03 03:00:00,-16.83,1
None, None,0.37, None,86.2,2016-01-03 04:00:00,-16.83,1
None, None,0.345999, None,86.5,2016-01-03 05:00:00,-16.6,1
None, None,0.573, None,86.0,2016-01-03 06:00:00,-17.15,1
None, None,0.74, None,85.9,2016-01-03 07:00:00,-17.33,1
None, None,0.739, None,86.1,2016-01-03 08:00:00,-17.35,1
None, None,0.893, None,86.0,2016-01-03 09:00:00,-17.4,1
