WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,time,avg_air_temp_pst1hr,week_of_year
None, -17.1, 1.964, None,2018-01-01 00:00:00, -17.12,1
None, -17.2, 1.524, None,2018-01-01 01:00:00, -17.22,1
None, -17.6, 1.387, None,2018-01-01 02:00:00, -17.63,1
None, -17.8, 0.981, None,2018-01-01 03:00:00, -17.84,1
None, -17.6, 0.612999, None,2018-01-01 04:00:00, -17.62,1
None, -17.5, 1.414, None,2018-01-01 05:00:00, -17.46,1
None, -17.1, 1.686, None,2018-01-01 06:00:00, -17.13,1
None, -16.5, 1.666, None,2018-01-01 07:00:00, -16.49,1
None, -16.0, 2.278, None,2018-01-01 08:00:00, -16.0,1
None, -15.4, 2.983, None,2018-01-01 09:00:00, -15.43,1
None, -14.5, 2.818, None,2018-01-01 10:00:00, -14.49,1
None, -13.2, 2.255, None,2018-01-01 11:00:00, -13.22,1
None, -11.9, 1.541, None,2018-01-01 12:00:00, -11.86,1
None, -9.5, 1.187, None,2018-01-01 13:00:00, -9.53,1
None, -8.8, 1.739, None,2018-01-01 14:00:00, -8.84,1
None, -8.5, 2.092, None,2018-01-01 15:00:00, -8.53,1
None, -8.9, 2.697, None,2018-01-01 16:00:00, -8.94,1
None, -8.9, 2.986, None,2018-01-01 17:00:00, -8.95,1
None, -8.8, 1.765, None,2018-01-01 18:00:00, -8.84,1
None, -8.4, 1.099, None,2018-01-01 19:00:00, -8.37,1
None, -8.0, 1.02, None,2018-01-01 20:00:00, -7.98,1
None, -8.1, 2.094, None,2018-01-01 21:00:00, -8.14,1
None, -8.1, 1.553, None,2018-01-01 22:00:00, -8.1,1
None, -7.3, 2.076, None,2018-01-01 23:00:00, -7.3,1
None, -7.2, 2.681, None,2018-01-02 00:00:00, -7.23,1
None, -7.5, 0.883, None,2018-01-02 01:00:00, -7.49,1
None, -7.8, 1.575, None,2018-01-02 02:00:00, -7.76,1
None, -9.4, 2.019, None,2018-01-02 03:00:00, -9.35,1
None, -10.2, 0.883, None,2018-01-02 04:00:00, -10.21,1
None, -10.7, 1.366, None,2018-01-02 05:00:00, -10.7,1
None, -11.0, 2.214, None,2018-01-02 06:00:00, -10.98,1
None, -11.8, 1.995, None,2018-01-02 07:00:00, -11.79,1
None, -12.4, 1.084, None,2018-01-02 08:00:00, -12.38,1
None, -12.8, 0.902, None,2018-01-02 09:00:00, -12.84,1
None, -12.3, 1.66, None,2018-01-02 10:00:00, -12.33,1
None, -11.2, 1.03, None,2018-01-02 11:00:00, -11.17,1
None, -10.2, 1.23, None,2018-01-02 12:00:00, -10.16,1
None, -10.3, 1.416, None,2018-01-02 13:00:00, -10.32,1
None, -9.6, 1.084, None,2018-01-02 14:00:00, -9.55,1
None, -8.9, 2.238, None,2018-01-02 15:00:00, -8.89,1
None, -9.4, 2.001, None,2018-01-02 16:00:00, -9.42,1
None, -9.4, 2.04, None,2018-01-02 17:00:00, -9.37,1
None, -9.2, 1.263, None,2018-01-02 18:00:00, -9.21,1
None, -9.0, 1.271, None,2018-01-02 19:00:00, -8.99,1
None, -9.6, 1.105, None,2018-01-02 20:00:00, -9.56,1
None, -10.7, 2.099, None,2018-01-02 21:00:00, -10.73,1
None, -10.7, 1.076, None,2018-01-02 22:00:00, -10.71,1
None, -11.3, 0.944, None,2018-01-02 23:00:00, -11.25,1
None, -11.6, 1.175, None,2018-01-03 00:00:00, -11.6,1
None, -11.8, 0.828, None,2018-01-03 01:00:00, -11.78,1
None, -12.2, 0.878, None,2018-01-03 02:00:00, -12.16,1
None, -12.3, 0.485, None,2018-01-03 03:00:00, -12.32,1
None, -12.6, 1.209, None,2018-01-03 04:00:00, -12.61,1
None, -13.2, 1.553, None,2018-01-03 05:00:00, -13.19,1
None, -13.6, 0.884, None,2018-01-03 06:00:00, -13.64,1
None, -13.3, 1.871, None,2018-01-03 07:00:00, -13.33,1
None, -13.1, 1.517, None,2018-01-03 08:00:00, -13.1,1
None, -12.8, 1.514, None,2018-01-03 09:00:00, -12.78,1
None, -12.0, 1.688, None,2018-01-03 10:00:00, -12.03,1
None, -11.5, 1.623, None,2018-01-03 11:00:00, -11.45,1
None, -10.5, 1.482, None,2018-01-03 12:00:00, -10.46,1
None, -9.3, 1.924, None,2018-01-03 13:00:00, -9.3,1
None, -8.3, 1.978, None,2018-01-03 14:00:00, -8.31,1
None, -7.6, 1.625, None,2018-01-03 15:00:00, -7.59,1
None, -7.1, 2.211, None,2018-01-03 16:00:00, -7.1,1
None, -6.8, 1.487, None,2018-01-03 17:00:00, -6.799,1
None, -7.2, 1.655, None,2018-01-03 18:00:00, -7.24,1
None, -7.7, 1.173, None,2018-01-03 19:00:00, -7.69,1
None, -8.4, 1.449, None,2018-01-03 20:00:00, -8.44,1
None, -9.1, 1.378, None,2018-01-03 21:00:00, -9.07,1
None, -9.6, 1.08, None,2018-01-03 22:00:00, -9.65,1
None, -10.2, 1.449, None,2018-01-03 23:00:00, -10.2,1
None, -10.4, 0.607999, None,2018-01-04 00:00:00, -10.41,1
None, -10.9, 1.566, None,2018-01-04 01:00:00, -10.85,1
None, -11.1, 1.4, None,2018-01-04 02:00:00, -11.06,1
None, -11.2, 1.112, None,2018-01-04 03:00:00, -11.17,1
None, -11.3, 0.777, None,2018-01-04 04:00:00, -11.26,1
None, -11.4, 0.723999, None,2018-01-04 05:00:00, -11.41,1
None, -11.9, 0.944, None,2018-01-04 06:00:00, -11.88,1
None, -11.4, 0.282, None,2018-01-04 07:00:00, -11.44,1
None, -11.8, 1.214, None,2018-01-04 08:00:00, -11.8,1
None, -12.1, 1.339, None,2018-01-04 09:00:00, -12.11,1
None, -12.1, 0.462998, None,2018-01-04 10:00:00, -12.08,1
None, -11.1, 0.150998, None,2018-01-04 11:00:00, -11.1,1
None, -10.5, 1.023, None,2018-01-04 12:00:00, -10.52,1
None, -9.4, 1.231, None,2018-01-04 13:00:00, -9.45,1
None, -8.4, 0.419999, None,2018-01-04 14:00:00, -8.43,1
None, -7.7, 1.082, None,2018-01-04 15:00:00, -7.71,1
None, -7.3, 0.736, None,2018-01-04 16:00:00, -7.35,1
None, -7.4, 1.241, None,2018-01-04 17:00:00, -7.4,1
None, -7.2, 0.794, None,2018-01-04 18:00:00, -7.2,1
None, -7.5, 1.008, None,2018-01-04 19:00:00, -7.5,1
None, -7.7, 1.231, None,2018-01-04 20:00:00, -7.66,1
None, -7.6, 0.834999, None,2018-01-04 21:00:00, -7.58,1
