CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, -10.9, None, None, None, None, None,5.607, None,0.0,276.7, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 00:00:00, None, None, 162.3,1
None, -10.91, None, None, None, None, None,4.243, None,0.0,272.7, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 01:00:00, None, None, 162.5,1
None, -10.21, None, None, None, None, None,5.129, None,0.0,283.4, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 02:00:00, None, None, 162.4,1
None, -9.42, None, None, None, None, None,5.108, None,0.0,287.5, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 03:00:00, None, None, 161.9,1
None, -8.91, None, None, None, None, None,8.63, None,0.0,286.9, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 04:00:00, None, None, 161.9,1
None, -9.1, None, None, None, None, None,5.269, None,0.0,287.9, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 05:00:00, None, None, 162.6,1
None, -9.92, None, None, None, None, None,9.75, None,0.0,273.8, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 06:00:00, None, None, 162.6,1
None, -10.01, None, None, None, None, None,7.82, None,0.0,238.7, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 07:00:00, None, None, 163.0,1
None, -9.02, None, None, None, None, None,15.08, None,0.0,206.0, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 08:00:00, None, None, 162.3,1
None, -7.43, None, None, None, None, None,23.38, None,0.0,232.4, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 09:00:00, None, None, 161.8,1
None, -6.28, None, None, None, None, None,6.91, None,0.0,252.5, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 10:00:00, None, None, 162.2,1
None, -4.88, None, None, None, None, None,3.434, None,0.0,259.0, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 11:00:00, None, None, 161.9,1
None, -3.099, None, None, None, None, None,3.819, None,0.005,261.1, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 12:00:00, None, None, 161.7,1
None, 0.027, None, None, None, None, None,0.028, None,0.404,269.6, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 13:00:00, None, None, 161.2,1
None, 1.543, None, None, None, None, None,0.063, None,0.263,267.4, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 14:00:00, None, None, 159.7,1
None, 0.142, None, None, None, None, None,0.183, None,1.171,267.4, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 15:00:00, None, None, 161.1,1
None, -1.886, None, None, None, None, None,0.0, None,1.462,267.7, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 16:00:00, None, None, 161.4,1
None, -4.02, None, None, None, None, None,0.414, None,0.989,268.2, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 17:00:00, None, None, 161.6,1
None, -3.896, None, None, None, None, None,9.81, None,0.888,298.0, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 20:00:00, None, None, 160.8,1
None, -3.717, None, None, None, None, None,11.95, None,0.599,309.9, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 21:00:00, None, None, 161.8,1
None, -2.868, None, None, None, None, None,32.55, None,1.796,274.7, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 22:00:00, None, None, 160.9,1
None, -1.914, None, None, None, None, None,40.03, None,0.455,273.9, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 23:00:00, None, None, 160.2,1
None, -3.292, None, None, None, None, None,10.37, None,4.091,217.0, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 00:00:00, None, None, 160.5,1
None, -4.278, None, None, None, None, None,23.75, None,2.485,204.6, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 01:00:00, None, None, 160.1,1
None, -3.529, None, None, None, None, None,17.03, None,11.1,112.4, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 02:00:00, None, None, 159.3,1
None, -4.01, None, None, None, None, None,15.07, None,14.1,111.7, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 04:00:00, None, None, 159.4,1
None, -3.612, None, None, None, None, None,11.97, None,17.37,111.6, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 05:00:00, None, None, 159.0,1
None, -3.442, None, None, None, None, None,14.31, None,13.98,116.3, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 06:00:00, None, None, 159.2,1
None, -3.833, None, None, None, None, None,16.48, None,11.51,119.8, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 07:00:00, None, None, 158.9,1
None, 0.992, None, None, None, None, None,29.29, None,5.374,132.8, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 11:00:00, None, None, 158.9,1
None, 2.005, None, None, None, None, None,34.07, None,3.697,130.8, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 12:00:00, None, None, 158.1,1
None, 0.625, None, None, None, None, None,25.1, None,6.076,126.3, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 13:00:00, None, None, 158.1,1
None, -4.01, None, None, None, None, None,48.79, None,2.776,82.1, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 18:00:00, None, None, 158.5,1
None, -5.154, None, None, None, None, None,32.81, None,5.345,113.2, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 19:00:00, None, None, 158.0,1
None, -5.741, None, None, None, None, None,29.54, None,4.766,117.9, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 20:00:00, None, None, 158.2,1
None, -6.261, None, None, None, None, None,27.3, None,3.158,133.1, None, None, None, None, None, None, None, None, None, None, None, None,2016-01-02 21:00:00, None, None, 158.2,1
