CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,rel_hum,time,stn_pres,week_of_year
-16.71, 82.4, None, None,35.31, 0.036,65.34, None, None, None, None, None, None, -19.0, None, None, None,2016-01-01 00:00:00, None,1
-16.59, 82.6, None, None,38.47, 0.157,66.73, None, None, None, None, None, None, -19.0, None, None, None,2016-01-01 01:00:00, None,1
-16.64, 83.7, None, None,44.36, 0.135,82.1, None, None, None, None, None, None, -19.0, None, None, None,2016-01-01 02:00:00, None,1
-16.73, 82.9, None, None,39.31, 0.284,94.5, None, None, None, None, None, None, -19.0, None, None, None,2016-01-01 03:00:00, None,1
-16.82, 83.2, None, None,39.51, 0.043,61.02, None, None, None, None, None, None, -19.0, None, None, None,2016-01-01 04:00:00, None,1
-17.11, 83.3, None, None,32.31, 0.001,48.87, None, None, None, None, None, None, -19.0, None, None, None,2016-01-01 05:00:00, None,1
-17.23, 82.9, None, None,44.35, 0.089,79.01, None, None, None, None, None, None, -19.0, None, None, None,2016-01-01 06:00:00, None,1
-17.48, 83.1, None, None,42.51, 0.188,98.0, None, None, None, None, None, None, -19.0, None, None, None,2016-01-01 07:00:00, None,1
-17.38, 83.5, None, None,36.43, 0.031,59.28, None, None, None, None, None, None, -19.0, None, None, None,2016-01-01 08:00:00, None,1
-17.43, 82.9, None, None,33.76, 0.035,58.45, None, None, None, None, None, None, -19.0, None, None, None,2016-01-01 09:00:00, None,1
-16.94, 82.7, None, None,41.99, 0.008,24.1, None, None, None, None, None, None, -19.0, None, None, None,2016-01-01 10:00:00, None,1
-15.61, 77.02, None, None,51.04, 0.046,337.7, None, None, None, None, None, None, -19.0, None, None, None,2016-01-01 11:00:00, None,1
-15.91, 81.0, None, None,54.74, 0.202,0.192, None, None, None, None, None, None, -18.0, None, None, None,2016-01-01 12:00:00, None,1
-15.95, 83.1, None, None,25.43, 0.148,345.9, None, None, None, None, None, None, -18.0, None, None, None,2016-01-01 13:00:00, None,1
-16.08, 83.8, None, None,27.62, 0.036,323.9, None, None, None, None, None, None, -18.0, None, None, None,2016-01-01 14:00:00, None,1
-16.48, 84.6, None, None,14.66, 0.0,334.5, None, None, None, None, None, None, -18.0, None, None, None,2016-01-01 15:00:00, None,1
-18.02, 82.9, None, None,19.78, 0.0,37.94, None, None, None, None, None, None, -20.0, None, None, None,2016-01-01 16:00:00, None,1
-19.1, 82.8, None, None,27.29, 0.0,80.4, None, None, None, None, None, None, -21.0, None, None, None,2016-01-01 17:00:00, None,1
-19.85, 82.8, None, None,21.43, 0.0,89.7, None, None, None, None, None, None, -22.0, None, None, None,2016-01-01 18:00:00, None,1
-20.37, 82.4, None, None,12.02, 0.001,106.5, None, None, None, None, None, None, -22.0, None, None, None,2016-01-01 19:00:00, None,1
-20.95, 82.2, None, None,15.6, 0.0,99.6, None, None, None, None, None, None, -23.0, None, None, None,2016-01-01 20:00:00, None,1
-21.38, 82.0, None, None,20.41, 0.0,97.7, None, None, None, None, None, None, -23.0, None, None, None,2016-01-01 21:00:00, None,1
-21.75, 81.8, None, None,24.87, 0.0,95.8, None, None, None, None, None, None, -24.0, None, None, None,2016-01-01 22:00:00, None,1
-22.13, 81.9, None, None,26.33, 0.0,89.8, None, None, None, None, None, None, -24.0, None, None, None,2016-01-01 23:00:00, None,1
-22.47, 81.3, None, None,23.99, 0.0,79.15, None, None, None, None, None, None, -25.0, None, None, None,2016-01-02 00:00:00, None,1
-22.56, 80.9, None, None,37.48, 0.0,63.43, None, None, None, None, None, None, -25.0, None, None, None,2016-01-02 01:00:00, None,1
-22.7, 80.6, None, None,23.47, 0.0,68.3, None, None, None, None, None, None, -25.0, None, None, None,2016-01-02 02:00:00, None,1
-23.09, 80.9, None, None,31.27, 0.0,79.72, None, None, None, None, None, None, -25.0, None, None, None,2016-01-02 03:00:00, None,1
-23.48, 80.5, None, None,26.16, 0.0,98.5, None, None, None, None, None, None, -26.0, None, None, None,2016-01-02 04:00:00, None,1
-23.69, 80.2, None, None,27.72, 0.0,82.8, None, None, None, None, None, None, -26.0, None, None, None,2016-01-02 05:00:00, None,1
-23.85, 80.3, None, None,20.48, 0.0,87.1, None, None, None, None, None, None, -26.0, None, None, None,2016-01-02 06:00:00, None,1
-23.92, 79.82, None, None,10.48, 0.0,106.9, None, None, None, None, None, None, -26.0, None, None, None,2016-01-02 07:00:00, None,1
-24.08, 79.59, None, None,10.81, 0.0,90.9, None, None, None, None, None, None, -26.0, None, None, None,2016-01-02 08:00:00, None,1
