pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
None,-13.44, None, None, None, None,45.6, None,0.489,315.5, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 00:00:00, None, None, 149.0, None,1
None,-12.92, None, None, None, None,33.56, None,0.75,335.0, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 01:00:00, None, None, None, None,1
None,-12.79, None, None, None, None,39.83, None,0.594,341.9, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 02:00:00, None, None, 149.1, None,1
None,-12.17, None, None, None, None,40.74, None,0.602,310.1, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 03:00:00, None, None, 149.0, None,1
None,-11.95, None, None, None, None,35.2, None,0.696,323.3, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 04:00:00, None, None, 148.6, None,1
None,-11.35, None, None, None, None,13.55, None,0.769,340.7, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 05:00:00, None, None, 148.7, None,1
None,-11.1, None, None, None, None,20.62, None,0.726,335.6, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 06:00:00, None, None, 149.0, None,1
None,-12.03, None, None, None, None,28.57, None,0.475,334.6, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 07:00:00, None, None, 148.3, None,1
None,-11.46, None, None, None, None,20.89, None,0.692,331.6, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 08:00:00, None, None, 148.8, None,1
None,-12.02, None, None, None, None,36.36, None,0.744,340.2, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 09:00:00, None, None, 148.4, None,1
None,-10.91, None, None, None, None,36.26, None,0.918,329.0, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 10:00:00, None, None, 148.1, None,1
None,-8.23, None, None, None, None,64.48, None,0.481,55.53, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 11:00:00, None, None, None, None,1
None,-7.11, None, None, None, None,63.93, None,0.471,113.6, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 12:00:00, None, None, None, None,1
None,-7.47, None, None, None, None,61.9, None,0.514,100.3, None, None, None, None, None, None, None, None, None, None, None,2016-01-01 13:00:00, None, None, 93.6, None,1
