ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,snw_dpth,MAX_TEMP,week_of_year
None,654.0, 363.0, None, None,2016-01-01 00:00:00,-13.2, None, 149.0, None,1
None,654.0, 363.0, None, None,2016-01-01 01:00:00,-13.2, None, 150.0, None,1
None,654.0, 363.0, None, None,2016-01-01 02:00:00,-13.1, None, 150.0, None,1
None,654.0, 363.0, None, None,2016-01-01 03:00:00,-12.6, None, 150.0, None,1
None,654.0, 363.0, None, None,2016-01-01 04:00:00,-13.6, None, 150.0, None,1
None,654.0, 363.0, None, None,2016-01-01 05:00:00,-14.5, None, 150.0, None,1
None,654.0, 363.0, None, None,2016-01-01 06:00:00,-14.3, None, 150.0, None,1
None,654.0, 363.0, None, None,2016-01-01 07:00:00,-13.5, None, 150.0, None,1
None,654.0, 363.0, None, None,2016-01-01 08:00:00,-13.4, None, 149.0, None,1
None,654.0, 363.0, None, None,2016-01-01 09:00:00,-13.4, None, 149.0, None,1
None,654.0, 363.0, None, None,2016-01-01 10:00:00,-13.1, None, 149.0, None,1
None,654.0, 363.0, None, None,2016-01-01 11:00:00,-13.1, None, 149.0, None,1
None,654.0, 363.0, None, None,2016-01-01 12:00:00,-12.8, None, 149.0, None,1
None,654.0, 363.0, None, None,2016-01-01 13:00:00,-12.2, None, 149.0, None,1
None,654.0, 363.0, None, None,2016-01-01 14:00:00,-13.2, None, 149.0, None,1
None,654.0, 363.0, None, None,2016-01-01 15:00:00,-13.6, None, 149.0, None,1
None,654.0, 363.0, 728.0, None,2016-01-01 16:00:00,-14.0, None, 149.0, None,1
None,654.0, 363.0, None, None,2016-01-01 17:00:00,-12.4, None, 149.0, None,1
None,654.0, 363.0, None, None,2016-01-01 18:00:00,-12.7, None, 149.0, None,1
None,654.0, 363.0, None, None,2016-01-01 19:00:00,-6.1, None, 148.0, None,1
None,654.0, 363.0, None, None,2016-01-01 20:00:00,-9.7, None, 148.0, None,1
None,654.0, 363.0, None, None,2016-01-01 21:00:00,-10.0, None, 148.0, None,1
None,654.0, 363.0, None, None,2016-01-01 22:00:00,-10.1, None, 148.0, None,1
None,654.0, 363.0, None, None,2016-01-01 23:00:00,-10.9, None, 148.0, None,1
None,654.0, 363.0, None, None,2016-01-02 00:00:00,-10.5, None, 148.0, None,1
None,654.0, 363.0, None, None,2016-01-02 01:00:00,-10.2, None, 147.0, None,1
None,654.0, 363.0, None, None,2016-01-02 02:00:00,-10.3, None, 147.0, None,1
None,654.0, 363.0, None, None,2016-01-02 03:00:00,-9.2, None, 147.0, None,1
None,654.0, 363.0, None, None,2016-01-02 04:00:00,-8.7, None, 147.0, None,1
None,654.0, 363.0, None, None,2016-01-02 05:00:00,-9.3, None, 147.0, None,1
None,654.0, 363.0, None, None,2016-01-02 06:00:00,-9.5, None, 147.0, None,1
None,654.0, 363.0, None, None,2016-01-02 07:00:00,-9.4, None, 146.0, None,1
None,654.0, 363.0, None, None,2016-01-02 08:00:00,-8.4, None, 146.0, None,1
None,654.0, 363.0, None, None,2016-01-02 09:00:00,-8.5, None, 146.0, None,1
None,654.0, 363.0, None, None,2016-01-02 10:00:00,-7.9, None, 146.0, None,1
None,654.0, 363.0, None, None,2016-01-02 11:00:00,-7.9, None, 146.0, None,1
None,654.0, 363.0, None, None,2016-01-02 12:00:00,-8.7, None, 146.0, None,1
None,654.0, 363.0, None, None,2016-01-02 13:00:00,-9.2, None, 146.0, None,1
None,654.0, 363.0, None, None,2016-01-02 14:00:00,-9.4, None, 146.0, None,1
None,654.0, 363.0, None, None,2016-01-02 15:00:00,-9.4, None, 146.0, None,1
None,654.0, 363.0, 728.0, None,2016-01-02 16:00:00,-8.8, None, 146.0, None,1
None,654.0, 363.0, None, None,2016-01-02 17:00:00,-6.6, None, 146.0, None,1
None,654.0, 363.0, None, None,2016-01-02 18:00:00,-6.1, None, 146.0, None,1
None,654.0, 363.0, None, None,2016-01-02 19:00:00,-0.6, None, 145.0, None,1
None,654.0, 363.0, None, None,2016-01-02 20:00:00,-3.6, None, 145.0, None,1
None,654.0, 363.0, None, None,2016-01-02 21:00:00,-4.8, None, 145.0, None,1
None,676.0, 365.0, None, None,2016-01-02 22:00:00,-6.0, None, 145.0, None,1
None,396.0, 364.0, None, None,2016-01-02 23:00:00,-6.9, None, 143.0, None,1
None,396.0, 364.0, None, None,2016-01-03 00:00:00,-7.0, None, 143.0, None,1
None,396.0, 364.0, None, None,2016-01-03 01:00:00,-7.0, None, 143.0, None,1
None,396.0, 364.0, None, None,2016-01-03 02:00:00,-6.8, None, 143.0, None,1
None,396.0, 364.0, None, None,2016-01-03 03:00:00,-7.2, None, 143.0, None,1
None,395.0, 364.0, None, None,2016-01-03 04:00:00,-7.0, None, 143.0, None,1
None,395.0, 364.0, None, None,2016-01-03 05:00:00,-7.4, None, 143.0, None,1
None,395.0, 364.0, None, None,2016-01-03 06:00:00,-7.8, None, 143.0, None,1
None,395.0, 364.0, None, None,2016-01-03 07:00:00,-8.4, None, 143.0, None,1
None,395.0, 364.0, None, None,2016-01-03 08:00:00,-8.2, None, 143.0, None,1
None,395.0, 364.0, None, None,2016-01-03 09:00:00,-8.2, None, 143.0, None,1
None,395.0, 364.0, None, None,2016-01-03 10:00:00,-9.2, None, 143.0, None,1
None,395.0, 364.0, None, None,2016-01-03 11:00:00,-8.3, None, 143.0, None,1
None,395.0, 364.0, None, None,2016-01-03 12:00:00,-8.6, None, 143.0, None,1
None,395.0, 364.0, None, None,2016-01-03 13:00:00,-8.9, None, 142.0, None,1
None,395.0, 364.0, None, None,2016-01-03 14:00:00,-8.7, None, 143.0, None,1
None,395.0, 364.0, None, None,2016-01-03 15:00:00,-9.3, None, 142.0, None,1
None,395.0, 364.0, 728.0, None,2016-01-03 16:00:00,-9.3, None, 142.0, None,1
None,395.0, 364.0, None, None,2016-01-03 17:00:00,-7.8, None, 142.0, None,1
None,395.0, 364.0, None, None,2016-01-03 18:00:00,-6.9, None, 142.0, None,1
None,395.0, 364.0, None, None,2016-01-03 19:00:00,-3.9, None, 142.0, None,1
None,396.0, 364.0, None, None,2016-01-03 20:00:00,-6.1, None, 142.0, None,1
None,395.0, 364.0, None, None,2016-01-03 21:00:00,-6.6, None, 141.0, None,1
None,395.0, 364.0, None, None,2016-01-03 22:00:00,-7.7, None, 141.0, None,1
None,395.0, 364.0, None, None,2016-01-03 23:00:00,-8.8, None, 141.0, None,1
None,395.0, 364.0, None, None,2016-01-04 00:00:00,-9.1, None, 141.0, None,1
None,395.0, 364.0, None, None,2016-01-04 01:00:00,-9.2, None, 141.0, None,1
None,395.0, 364.0, None, None,2016-01-04 02:00:00,-9.8, None, 141.0, None,1
None,395.0, 364.0, None, None,2016-01-04 03:00:00,-10.0, None, 140.0, None,1
None,395.0, 364.0, None, None,2016-01-04 04:00:00,-9.4, None, 140.0, None,1
None,395.0, 364.0, None, None,2016-01-04 05:00:00,-9.5, None, 140.0, None,1
None,395.0, 364.0, None, None,2016-01-04 06:00:00,-10.0, None, 140.0, None,1
None,395.0, 364.0, None, None,2016-01-04 07:00:00,-9.9, None, 140.0, None,1
None,395.0, 364.0, None, None,2016-01-04 08:00:00,-10.0, None, 140.0, None,1
None,395.0, 364.0, None, None,2016-01-04 09:00:00,-10.0, None, 140.0, None,1
None,395.0, 364.0, None, None,2016-01-04 10:00:00,-9.6, None, 139.0, None,1
None,395.0, 364.0, None, None,2016-01-04 11:00:00,-9.3, None, 139.0, None,1
None,395.0, 364.0, None, None,2016-01-04 12:00:00,-9.8, None, 139.0, None,1
None,395.0, 364.0, None, None,2016-01-04 13:00:00,-9.6, None, 139.0, None,1
None,395.0, 364.0, None, None,2016-01-04 14:00:00,-9.0, None, 139.0, None,1
None,395.0, 364.0, None, None,2016-01-04 15:00:00,-8.7, None, 139.0, None,1
None,395.0, 364.0, 731.0, None,2016-01-04 16:00:00,-8.7, None, 139.0, None,1
None,395.0, 364.0, None, None,2016-01-04 17:00:00,-7.1, None, 139.0, None,1
None,396.0, 364.0, None, None,2016-01-04 18:00:00,-6.5, None, 139.0, None,1
None,396.0, 364.0, None, None,2016-01-04 19:00:00,-4.3, None, 139.0, None,1
None,396.0, 364.0, None, None,2016-01-04 20:00:00,-6.4, None, 139.0, None,1
None,396.0, 364.0, None, None,2016-01-04 21:00:00,-5.9, None, 138.0, None,1
None,396.0, 364.0, None, None,2016-01-04 22:00:00,-6.9, None, 138.0, None,1
None,396.0, 364.0, None, None,2016-01-04 23:00:00,-6.4, None, 138.0, None,1
None,396.0, 364.0, None, None,2016-01-05 00:00:00,-6.9, None, 138.0, None,1
None,396.0, 364.0, None, None,2016-01-05 01:00:00,-7.5, None, 138.0, None,1
None,396.0, 364.0, None, None,2016-01-05 02:00:00,-6.7, None, 138.0, None,1
None,396.0, 364.0, None, None,2016-01-05 03:00:00,-6.5, None, 138.0, None,1
None,396.0, 364.0, None, None,2016-01-05 04:00:00,-6.4, None, 138.0, None,1
None,395.0, 364.0, None, None,2016-01-05 05:00:00,-6.8, None, 138.0, None,1
None,396.0, 364.0, None, None,2016-01-05 06:00:00,-6.6, None, 138.0, None,1
None,396.0, 364.0, None, None,2016-01-05 07:00:00,-7.4, None, 138.0, None,1
None,396.0, 364.0, None, None,2016-01-05 08:00:00,-7.1, None, 138.0, None,1
None,396.0, 364.0, None, None,2016-01-05 09:00:00,-8.0, None, 138.0, None,1
None,396.0, 365.0, None, None,2016-01-05 10:00:00,-8.1, None, 138.0, None,1
None,396.0, 364.0, None, None,2016-01-05 11:00:00,-7.6, None, 138.0, None,1
None,396.0, 364.0, None, None,2016-01-05 12:00:00,-7.5, None, 138.0, None,1
None,396.0, 364.0, None, None,2016-01-05 13:00:00,-8.5, None, 137.0, None,1
None,396.0, 365.0, None, None,2016-01-05 14:00:00,-8.4, None, 137.0, None,1
None,396.0, 365.0, None, None,2016-01-05 15:00:00,-8.6, None, 137.0, None,1
None,396.0, 365.0, 731.0, None,2016-01-05 16:00:00,-9.3, None, 137.0, None,1
None,396.0, 365.0, None, None,2016-01-05 17:00:00,-9.4, None, 137.0, None,1
None,396.0, 365.0, None, None,2016-01-05 18:00:00,-9.4, None, 137.0, None,1
None,396.0, 365.0, None, None,2016-01-05 19:00:00,-9.8, None, 137.0, None,1
None,396.0, 365.0, None, None,2016-01-05 20:00:00,-9.1, None, 137.0, None,1
