station_observations
pcpn_amt_pst24hrs, cum_pcpn_amt, ONE_DAY_SNOW, air_temp_2, air_temp_1, snw_dpth, MAX_TEMP, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, MIN_TEMP, time, SNOW_ON_THE_GROUND
None, None, None, None, -9.9, 69.0, None, None, 546.0, 158.0, None, 2019-01-07 22:00:00, None
None, None, None, None, -10.1, 69.0, None, None, 547.0, 158.0, None, 2019-01-07 23:00:00, None
None, None, None, None, -11.3, 69.0, None, None, 547.0, 158.0, None, 2019-01-08 00:00:00, None
None, None, None, None, -11.6, 69.0, None, None, 547.0, 158.0, None, 2019-01-08 01:00:00, None
None, None, None, None, -13.4, 69.0, None, None, 547.0, 158.0, None, 2019-01-08 02:00:00, None
None, None, None, None, -16.0, 69.0, None, None, 547.0, 158.0, None, 2019-01-08 03:00:00, None
None, None, None, None, -15.5, 69.0, None, None, 546.0, 158.0, None, 2019-01-08 04:00:00, None
None, None, None, None, -13.8, 68.0, None, None, 546.0, 158.0, None, 2019-01-08 05:00:00, None
None, None, None, None, -10.8, 68.0, None, None, 547.0, 158.0, None, 2019-01-08 06:00:00, None
None, None, None, None, -10.4, 68.0, None, None, 546.0, 158.0, None, 2019-01-08 07:00:00, None
None, None, None, None, -11.2, 68.0, None, None, 546.0, 158.0, None, 2019-01-08 08:00:00, None
None, None, None, None, -10.2, 68.0, None, None, 546.0, 158.0, None, 2019-01-08 09:00:00, None
None, None, None, None, -11.1, 68.0, None, None, 546.0, 158.0, None, 2019-01-08 10:00:00, None
None, None, None, None, -12.5, 68.0, None, None, 545.0, 158.0, None, 2019-01-08 11:00:00, None
None, None, None, None, -11.7, 68.0, None, None, 547.0, 158.0, None, 2019-01-08 12:00:00, None
None, None, None, None, -10.3, 68.0, None, None, 547.0, 158.0, None, 2019-01-08 13:00:00, None
None, None, None, None, -11.5, 67.0, None, None, 546.0, 158.0, None, 2019-01-08 14:00:00, None
None, None, None, None, -12.6, 67.0, None, None, 546.0, 158.0, None, 2019-01-08 15:00:00, None
None, None, None, None, -13.3, 67.0, None, None, 546.0, 158.0, None, 2019-01-08 16:00:00, None
None, None, None, None, -13.1, 68.0, None, None, 546.0, 158.0, None, 2019-01-08 17:00:00, None
None, None, None, None, -12.5, 68.0, None, None, 546.0, 158.0, None, 2019-01-08 18:00:00, None
None, None, None, None, -11.8, 68.0, None, None, 538.0, 159.0, None, 2019-01-08 19:00:00, None
None, None, None, None, -11.8, 68.0, None, None, 545.0, 160.0, None, 2019-01-08 20:00:00, None
None, None, None, None, -11.6, 68.0, None, None, 546.0, 160.0, None, 2019-01-08 21:00:00, None
None, None, None, None, -12.2, 68.0, None, None, 546.0, 160.0, None, 2019-01-08 22:00:00, None
None, None, None, None, -13.1, 68.0, None, None, 545.0, 161.0, None, 2019-01-08 23:00:00, None
None, None, None, None, -14.3, 68.0, None, None, 545.0, 161.0, None, 2019-01-09 00:00:00, None
None, None, None, None, -14.7, 68.0, None, None, 546.0, 161.0, None, 2019-01-09 01:00:00, None
None, None, None, None, -14.9, 69.0, None, None, 547.0, 162.0, None, 2019-01-09 02:00:00, None
None, None, None, None, -14.7, 68.0, None, None, 546.0, 161.0, None, 2019-01-09 03:00:00, None
None, None, None, None, -14.5, 68.0, None, None, 545.0, 161.0, None, 2019-01-09 04:00:00, None
None, None, None, None, -14.3, 70.0, None, None, 547.0, 162.0, None, 2019-01-09 05:00:00, None
None, None, None, None, -13.8, 71.0, None, None, 548.0, 162.0, None, 2019-01-09 06:00:00, None
None, None, None, None, -13.2, 72.0, None, None, 549.0, 163.0, None, 2019-01-09 07:00:00, None
None, None, None, None, -13.1, 71.0, None, None, 549.0, 163.0, None, 2019-01-09 08:00:00, None
None, None, None, None, -13.1, 75.0, None, None, 549.0, 164.0, None, 2019-01-09 09:00:00, None
None, None, None, None, -12.9, 75.0, None, None, 551.0, 166.0, None, 2019-01-09 10:00:00, None
None, None, None, None, -12.6, 77.0, None, None, 551.0, 166.0, None, 2019-01-09 11:00:00, None
None, None, None, None, -12.2, 77.0, None, None, 551.0, 167.0, None, 2019-01-09 12:00:00, None
None, None, None, None, -12.0, 76.0, None, None, 551.0, 167.0, None, 2019-01-09 13:00:00, None
None, None, None, None, -11.9, 77.0, None, None, 550.0, 168.0, None, 2019-01-09 14:00:00, None
None, None, None, None, -11.8, 77.0, None, None, 550.0, 168.0, None, 2019-01-09 15:00:00, None
None, None, None, None, -11.6, 77.0, None, None, 550.0, 168.0, None, 2019-01-09 16:00:00, None
None, None, None, None, -11.4, 76.0, None, None, 543.0, 168.0, None, 2019-01-09 17:00:00, None
None, None, None, None, -10.8, 76.0, None, None, 542.0, 168.0, None, 2019-01-09 18:00:00, None
None, None, None, None, -10.4, 77.0, None, None, 544.0, 168.0, None, 2019-01-09 19:00:00, None
None, None, None, None, -10.0, 75.0, None, None, 545.0, 170.0, None, 2019-01-09 20:00:00, None
None, None, None, None, -9.3, 78.0, None, None, 549.0, 170.0, None, 2019-01-09 21:00:00, None
None, None, None, None, -9.5, 78.0, None, None, 550.0, 171.0, None, 2019-01-09 22:00:00, None
None, None, None, None, -9.7, 78.0, None, None, 547.0, 171.0, None, 2019-01-09 23:00:00, None
None, None, None, None, -9.8, 78.0, None, None, 551.0, 171.0, None, 2019-01-10 00:00:00, None
None, None, None, None, -9.8, 77.0, None, None, 551.0, 171.0, None, 2019-01-10 01:00:00, None
None, None, None, None, -9.7, 77.0, None, None, 551.0, 171.0, None, 2019-01-10 02:00:00, None
None, None, None, None, -9.6, 77.0, None, None, 554.0, 171.0, None, 2019-01-10 03:00:00, None
None, None, None, None, -9.5, 77.0, None, None, 555.0, 171.0, None, 2019-01-10 04:00:00, None
None, None, None, None, -9.1, 77.0, None, None, 545.0, 172.0, None, 2019-01-10 05:00:00, None
None, None, None, None, -9.3, 77.0, None, None, 552.0, 171.0, None, 2019-01-10 06:00:00, None
None, None, None, None, -8.8, 77.0, None, None, 552.0, 171.0, None, 2019-01-10 07:00:00, None
None, None, None, None, -8.4, 75.0, None, None, 552.0, 171.0, None, 2019-01-10 08:00:00, None
None, None, None, None, -8.1, 78.0, None, None, 552.0, 171.0, None, 2019-01-10 09:00:00, None
None, None, None, None, -6.9, 77.0, None, None, 552.0, 171.0, None, 2019-01-10 10:00:00, None
None, None, None, None, -7.3, 77.0, None, None, 553.0, 171.0, None, 2019-01-10 11:00:00, None
None, None, None, None, -7.2, 77.0, None, None, 553.0, 171.0, None, 2019-01-10 12:00:00, None
None, None, None, None, -6.5, 76.0, None, None, 553.0, 171.0, None, 2019-01-10 13:00:00, None
None, None, None, None, -7.2, 76.0, None, None, 552.0, 171.0, None, 2019-01-10 14:00:00, None
None, None, None, None, -4.4, 77.0, None, None, 552.0, 171.0, None, 2019-01-10 15:00:00, None
None, None, None, None, -3.7, 77.0, None, None, 552.0, 171.0, None, 2019-01-10 16:00:00, None
None, None, None, None, -3.1, 77.0, None, None, 553.0, 170.0, None, 2019-01-10 17:00:00, None
None, None, None, None, -1.9, 76.0, None, None, 553.0, 170.0, None, 2019-01-10 18:00:00, None
None, None, None, None, -1.4, 76.0, None, None, 553.0, 171.0, None, 2019-01-10 19:00:00, None
None, None, None, None, -1.0, 75.0, None, None, 553.0, 171.0, None, 2019-01-10 20:00:00, None
None, None, None, None, -1.1, 76.0, None, None, 552.0, 171.0, None, 2019-01-10 21:00:00, None
None, None, None, None, 0.0, 75.0, None, None, 553.0, 172.0, None, 2019-01-10 22:00:00, None
None, None, None, None, -0.3, 75.0, None, None, 553.0, 172.0, None, 2019-01-10 23:00:00, None
None, None, None, None, -0.3, 75.0, None, None, 554.0, 173.0, None, 2019-01-11 00:00:00, None
None, None, None, None, -0.3, 75.0, None, None, 554.0, 173.0, None, 2019-01-11 01:00:00, None
None, None, None, None, -0.9, 75.0, None, None, 554.0, 173.0, None, 2019-01-11 02:00:00, None
None, None, None, None, -0.7, 75.0, None, None, 554.0, 173.0, None, 2019-01-11 03:00:00, None
None, None, None, None, -0.4, 75.0, None, None, 552.0, 173.0, None, 2019-01-11 04:00:00, None
None, None, None, None, -0.2, 75.0, None, None, 554.0, 173.0, None, 2019-01-11 05:00:00, None
None, None, None, None, 0.0, 75.0, None, None, 555.0, 173.0, None, 2019-01-11 06:00:00, None
None, None, None, None, -0.2, 74.0, None, None, 553.0, 173.0, None, 2019-01-11 07:00:00, None
None, None, None, None, -0.2, 74.0, None, None, 554.0, 173.0, None, 2019-01-11 08:00:00, None
None, None, None, None, -0.3, 74.0, None, None, 554.0, 173.0, None, 2019-01-11 09:00:00, None
None, None, None, None, -0.3, 74.0, None, None, 554.0, 173.0, None, 2019-01-11 10:00:00, None
None, None, None, None, -0.2, 74.0, None, None, 555.0, 173.0, None, 2019-01-11 11:00:00, None
None, None, None, None, -0.2, 74.0, None, None, 555.0, 173.0, None, 2019-01-11 12:00:00, None
None, None, None, None, 0.0, 73.0, None, None, 556.0, 173.0, None, 2019-01-11 13:00:00, None
None, None, None, None, 0.2, 73.0, None, None, 555.0, 173.0, None, 2019-01-11 14:00:00, None
None, None, None, None, 0.2, 73.0, None, None, 555.0, 173.0, None, 2019-01-11 15:00:00, None
None, None, None, None, 0.2, 73.0, None, None, 555.0, 173.0, None, 2019-01-11 16:00:00, None
None, None, None, None, 0.1, 73.0, None, None, 555.0, 173.0, None, 2019-01-11 17:00:00, None
None, None, None, None, -0.1, 73.0, None, None, 556.0, 173.0, None, 2019-01-11 18:00:00, None
None, None, None, None, 0.1, 73.0, None, None, 555.0, 173.0, None, 2019-01-11 19:00:00, None
None, None, None, None, 0.8, 73.0, None, None, 556.0, 173.0, None, 2019-01-11 20:00:00, None
None, None, None, None, 1.1, 72.0, None, None, 556.0, 173.0, None, 2019-01-11 21:00:00, None
None, None, None, None, 1.2, 72.0, None, None, 557.0, 173.0, None, 2019-01-11 22:00:00, None
None, None, None, None, 1.1, 72.0, None, None, 556.0, 173.0, None, 2019-01-11 23:00:00, None
None, None, None, None, 0.9, 72.0, None, None, 557.0, 173.0, None, 2019-01-12 00:00:00, None
None, None, None, None, 1.1, 72.0, None, None, 557.0, 173.0, None, 2019-01-12 01:00:00, None
None, None, None, None, 1.2, 71.0, None, None, 557.0, 174.0, None, 2019-01-12 02:00:00, None
None, None, None, None, 1.2, 71.0, None, None, 556.0, 174.0, None, 2019-01-12 03:00:00, None
None, None, None, None, 1.2, 71.0, None, None, 557.0, 173.0, None, 2019-01-12 04:00:00, None
None, None, None, None, 1.2, 71.0, None, None, 557.0, 173.0, None, 2019-01-12 05:00:00, None
None, None, None, None, 1.2, 71.0, None, None, 557.0, 173.0, None, 2019-01-12 06:00:00, None
None, None, None, None, 0.9, 70.0, None, None, 557.0, 173.0, None, 2019-01-12 07:00:00, None
None, None, None, None, 1.0, 70.0, None, None, 557.0, 173.0, None, 2019-01-12 08:00:00, None
None, None, None, None, 0.8, 70.0, None, None, 557.0, 173.0, None, 2019-01-12 09:00:00, None
