station_observations
ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, SWE, ONE_DAY_SNOW, time, air_temp_1, MIN_TEMP, snw_dpth, MAX_TEMP
None, 311.0, 163.0, None, None, 2017-12-16 14:00:00, -10.2, None, 75.0, None
None, 311.0, 163.0, None, None, 2017-12-16 15:00:00, -10.7, None, 75.0, None
None, 311.0, 163.0, 412.0, None, 2017-12-16 16:00:00, -9.7, None, 75.0, None
None, 311.0, 163.0, None, None, 2017-12-16 17:00:00, -9.8, None, 75.0, None
None, 312.0, 164.0, None, None, 2017-12-16 18:00:00, -9.7, None, 75.0, None
None, 312.0, 165.0, None, None, 2017-12-16 19:00:00, -9.5, None, 75.0, None
None, 312.0, 165.0, None, None, 2017-12-16 20:00:00, -9.3, None, 75.0, None
None, 313.0, 165.0, None, None, 2017-12-16 21:00:00, -9.4, None, 75.0, None
None, 312.0, 165.0, None, None, 2017-12-16 22:00:00, -8.9, None, 75.0, None
None, 313.0, 165.0, None, None, 2017-12-16 23:00:00, -8.4, None, 75.0, None
None, 313.0, 165.0, None, None, 2017-12-17 00:00:00, -8.5, None, 75.0, None
None, 313.0, 166.0, None, None, 2017-12-17 01:00:00, -8.0, None, 75.0, None
None, 314.0, 167.0, None, None, 2017-12-17 02:00:00, -8.4, None, 75.0, None
None, 314.0, 168.0, None, None, 2017-12-17 03:00:00, -7.9, None, 75.0, None
None, 314.0, 168.0, None, None, 2017-12-17 04:00:00, -7.5, None, 75.0, None
None, 315.0, 169.0, None, None, 2017-12-17 05:00:00, -7.6, None, 76.0, None
None, 315.0, 170.0, None, None, 2017-12-17 06:00:00, -7.7, None, 76.0, None
None, 315.0, 170.0, None, None, 2017-12-17 07:00:00, -7.8, None, 76.0, None
None, 316.0, 170.0, None, None, 2017-12-17 08:00:00, -7.7, None, 76.0, None
None, 316.0, 170.0, None, None, 2017-12-17 09:00:00, -7.4, None, 77.0, None
None, 316.0, 170.0, None, None, 2017-12-17 10:00:00, -6.8, None, 77.0, None
None, 316.0, 171.0, None, None, 2017-12-17 11:00:00, -7.3, None, 77.0, None
None, 316.0, 171.0, None, None, 2017-12-17 12:00:00, -7.1, None, 77.0, None
None, 316.0, 171.0, None, None, 2017-12-17 13:00:00, -7.0, None, 77.0, None
None, 317.0, 171.0, None, None, 2017-12-17 14:00:00, -7.8, None, 78.0, None
None, 316.0, 171.0, None, None, 2017-12-17 15:00:00, -8.7, None, 78.0, None
None, 317.0, 171.0, 416.0, None, 2017-12-17 16:00:00, -8.8, None, 78.0, None
None, 317.0, 171.0, None, None, 2017-12-17 17:00:00, -8.4, None, 79.0, None
None, 317.0, 171.0, None, None, 2017-12-17 18:00:00, -8.6, None, 79.0, None
None, 317.0, 171.0, None, None, 2017-12-17 19:00:00, -8.1, None, 80.0, None
None, 317.0, 171.0, None, None, 2017-12-17 20:00:00, -8.2, None, 80.0, None
None, 317.0, 171.0, None, None, 2017-12-17 21:00:00, -7.7, None, 80.0, None
None, 317.0, 171.0, None, None, 2017-12-17 22:00:00, -8.5, None, 80.0, None
None, 317.0, 171.0, None, None, 2017-12-17 23:00:00, -9.0, None, 80.0, None
None, 317.0, 171.0, None, None, 2017-12-18 00:00:00, -9.8, None, 80.0, None
None, 317.0, 171.0, None, None, 2017-12-18 01:00:00, -10.1, None, 80.0, None
None, 316.0, 171.0, None, None, 2017-12-18 02:00:00, -9.3, None, 80.0, None
None, 317.0, 171.0, None, None, 2017-12-18 03:00:00, -9.4, None, 80.0, None
None, 317.0, 171.0, None, None, 2017-12-18 04:00:00, -9.8, None, 80.0, None
None, 317.0, 171.0, None, None, 2017-12-18 05:00:00, -9.6, None, 80.0, None
None, 317.0, 171.0, None, None, 2017-12-18 06:00:00, -9.4, None, 80.0, None
None, 317.0, 171.0, None, None, 2017-12-18 07:00:00, -9.6, None, 80.0, None
None, 317.0, 171.0, None, None, 2017-12-18 08:00:00, -9.5, None, 80.0, None
None, 317.0, 171.0, None, None, 2017-12-18 09:00:00, -9.6, None, 80.0, None
None, 317.0, 171.0, None, None, 2017-12-18 10:00:00, -9.5, None, 80.0, None
None, 317.0, 171.0, None, None, 2017-12-18 11:00:00, -9.7, None, 80.0, None
None, 317.0, 171.0, None, None, 2017-12-18 12:00:00, -9.8, None, 80.0, None
None, 317.0, 171.0, None, None, 2017-12-18 13:00:00, -10.3, None, 80.0, None
None, 317.0, 171.0, None, None, 2017-12-18 14:00:00, -10.1, None, 80.0, None
None, 316.0, 171.0, None, None, 2017-12-18 15:00:00, -10.2, None, 80.0, None
None, 317.0, 171.0, 416.0, None, 2017-12-18 16:00:00, -10.4, None, 80.0, None
None, 317.0, 171.0, None, None, 2017-12-18 17:00:00, -10.2, None, 80.0, None
None, 317.0, 171.0, None, None, 2017-12-18 18:00:00, -10.1, None, 80.0, None
None, 317.0, 171.0, None, None, 2017-12-18 19:00:00, -10.1, None, 80.0, None
None, 316.0, 171.0, None, None, 2017-12-18 20:00:00, -10.1, None, 79.0, None
None, 317.0, 171.0, None, None, 2017-12-18 21:00:00, -10.0, None, 79.0, None
None, 317.0, 171.0, None, None, 2017-12-18 22:00:00, -10.0, None, 79.0, None
None, 317.0, 171.0, None, None, 2017-12-18 23:00:00, -10.3, None, 79.0, None
None, 317.0, 171.0, None, None, 2017-12-19 00:00:00, -10.2, None, 79.0, None
None, 317.0, 171.0, None, None, 2017-12-19 01:00:00, -10.3, None, 79.0, None
None, 317.0, 171.0, None, None, 2017-12-19 02:00:00, -10.3, None, 79.0, None
None, 317.0, 171.0, None, None, 2017-12-19 03:00:00, -10.7, None, 79.0, None
None, 317.0, 171.0, None, None, 2017-12-19 04:00:00, -10.6, None, 79.0, None
None, 317.0, 171.0, None, None, 2017-12-19 05:00:00, -10.8, None, 79.0, None
None, 317.0, 171.0, None, None, 2017-12-19 06:00:00, -11.3, None, 79.0, None
None, 316.0, 171.0, None, None, 2017-12-19 07:00:00, -11.5, None, 79.0, None
None, 317.0, 171.0, None, None, 2017-12-19 08:00:00, -11.5, None, 79.0, None
None, 317.0, 171.0, None, None, 2017-12-19 09:00:00, -11.3, None, 79.0, None
None, 317.0, 171.0, None, None, 2017-12-19 10:00:00, -11.2, None, 79.0, None
None, 317.0, 171.0, None, None, 2017-12-19 11:00:00, -11.5, None, 78.0, None
None, 317.0, 171.0, None, None, 2017-12-19 12:00:00, -12.1, None, 78.0, None
None, 317.0, 171.0, None, None, 2017-12-19 13:00:00, -12.1, None, 78.0, None
None, 317.0, 171.0, None, None, 2017-12-19 14:00:00, -12.7, None, 78.0, None
None, 317.0, 171.0, None, None, 2017-12-19 15:00:00, -13.5, None, None, None
None, 317.0, 171.0, 416.0, None, 2017-12-19 16:00:00, -13.6, None, None, None
None, 317.0, 171.0, None, None, 2017-12-19 17:00:00, -13.0, None, None, None
None, 317.0, 171.0, None, None, 2017-12-19 18:00:00, -12.6, None, None, None
None, 317.0, 171.0, None, None, 2017-12-19 19:00:00, -12.6, None, None, None
None, 317.0, 171.0, None, None, 2017-12-19 20:00:00, -11.8, None, None, None
None, 317.0, 171.0, None, None, 2017-12-19 21:00:00, -12.3, None, None, None
None, 317.0, 172.0, None, None, 2017-12-19 22:00:00, -11.0, None, None, None
None, 317.0, 172.0, None, None, 2017-12-19 23:00:00, -13.8, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 00:00:00, -15.2, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 01:00:00, -15.6, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 02:00:00, -15.6, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 03:00:00, -15.5, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 04:00:00, -15.4, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 05:00:00, -15.5, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 06:00:00, -15.3, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 07:00:00, -15.3, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 08:00:00, -15.7, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 09:00:00, -15.0, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 10:00:00, -15.4, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 11:00:00, -14.9, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 12:00:00, -15.1, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 13:00:00, -15.6, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 14:00:00, -15.5, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 15:00:00, -14.2, None, None, None
None, 317.0, 172.0, 416.0, None, 2017-12-20 16:00:00, -14.3, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 17:00:00, -13.0, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 18:00:00, -12.7, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 19:00:00, -10.2, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 20:00:00, -8.4, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 21:00:00, -8.7, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 22:00:00, -8.5, None, None, None
None, 317.0, 172.0, None, None, 2017-12-20 23:00:00, -8.2, None, 78.0, None
None, 317.0, 172.0, None, None, 2017-12-21 00:00:00, -8.1, None, 78.0, None
None, 317.0, 172.0, None, None, 2017-12-21 01:00:00, -8.1, None, 78.0, None
None, 317.0, 172.0, None, None, 2017-12-21 02:00:00, -9.1, None, 78.0, None
None, 317.0, 172.0, None, None, 2017-12-21 03:00:00, -9.6, None, 78.0, None
None, 317.0, 172.0, None, None, 2017-12-21 04:00:00, -9.7, None, 77.0, None
None, 317.0, 173.0, None, None, 2017-12-21 05:00:00, -10.2, None, 77.0, None
None, 317.0, 173.0, None, None, 2017-12-21 06:00:00, -10.0, None, 77.0, None
None, 317.0, 173.0, None, None, 2017-12-21 07:00:00, -10.4, None, 77.0, None
None, 317.0, 173.0, None, None, 2017-12-21 08:00:00, -11.5, None, 77.0, None
None, 317.0, 173.0, None, None, 2017-12-21 09:00:00, -11.2, None, 77.0, None
None, 317.0, 173.0, None, None, 2017-12-21 10:00:00, -11.3, None, 77.0, None
None, 318.0, 173.0, None, None, 2017-12-21 11:00:00, -12.2, None, None, None
None, 318.0, 173.0, None, None, 2017-12-21 12:00:00, -14.2, None, None, None
None, 318.0, 173.0, None, None, 2017-12-21 13:00:00, -14.3, None, None, None
None, 318.0, 173.0, None, None, 2017-12-21 14:00:00, -14.4, None, None, None
None, 318.0, 173.0, None, None, 2017-12-21 15:00:00, -14.7, None, None, None
None, 318.0, 173.0, 416.0, None, 2017-12-21 16:00:00, -14.9, None, None, None
None, 318.0, 173.0, None, None, 2017-12-21 17:00:00, -15.2, None, None, None
None, 318.0, 173.0, None, None, 2017-12-21 18:00:00, -15.5, None, None, None
None, 318.0, 173.0, None, None, 2017-12-21 19:00:00, -14.6, None, None, None
None, 318.0, 173.0, None, None, 2017-12-21 20:00:00, -14.3, None, None, None
None, 318.0, 173.0, None, None, 2017-12-21 21:00:00, -14.6, None, None, None
None, 318.0, 174.0, None, None, 2017-12-21 22:00:00, -13.8, None, None, None
None, 318.0, 174.0, None, None, 2017-12-21 23:00:00, -15.2, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 00:00:00, -16.3, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 01:00:00, -16.5, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 02:00:00, -16.9, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 03:00:00, -17.2, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 04:00:00, -17.8, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 05:00:00, -17.4, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 06:00:00, -17.3, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 07:00:00, -17.4, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 08:00:00, -17.6, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 09:00:00, -17.2, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 10:00:00, -16.9, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 11:00:00, -17.3, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 12:00:00, -17.5, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 13:00:00, -17.8, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 14:00:00, -17.5, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 15:00:00, -18.0, None, None, None
None, 318.0, 174.0, 431.0, None, 2017-12-22 16:00:00, -17.6, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 17:00:00, -17.6, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 18:00:00, -17.3, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 19:00:00, -16.0, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 20:00:00, -15.1, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 21:00:00, -15.3, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 22:00:00, -14.8, None, None, None
None, 318.0, 174.0, None, None, 2017-12-22 23:00:00, -15.8, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 00:00:00, -16.1, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 01:00:00, -16.2, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 02:00:00, -16.4, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 03:00:00, -16.4, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 04:00:00, -16.4, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 05:00:00, -17.2, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 06:00:00, -16.3, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 07:00:00, -16.5, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 08:00:00, -16.5, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 09:00:00, -16.2, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 10:00:00, -16.6, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 11:00:00, -16.3, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 12:00:00, -16.0, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 13:00:00, -15.5, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 14:00:00, -15.4, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 15:00:00, -15.5, None, None, None
None, 318.0, 174.0, 431.0, None, 2017-12-23 16:00:00, -15.3, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 17:00:00, -14.9, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 18:00:00, -14.0, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 19:00:00, -12.6, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 20:00:00, -11.6, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 21:00:00, -11.7, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 22:00:00, -10.9, None, None, None
None, 318.0, 174.0, None, None, 2017-12-23 23:00:00, -11.5, None, None, None
None, 318.0, 174.0, None, None, 2017-12-24 00:00:00, -13.3, None, None, None
None, 318.0, 174.0, None, None, 2017-12-24 01:00:00, -13.1, None, None, None
None, 318.0, 174.0, None, None, 2017-12-24 02:00:00, -12.9, None, None, None
None, 318.0, 174.0, None, None, 2017-12-24 03:00:00, -13.0, None, None, None
None, 318.0, 174.0, None, None, 2017-12-24 04:00:00, -14.2, None, None, None
None, 318.0, 174.0, None, None, 2017-12-24 05:00:00, -14.8, None, None, None
None, 318.0, 174.0, None, None, 2017-12-24 06:00:00, -15.8, None, None, None
None, 318.0, 174.0, None, None, 2017-12-24 07:00:00, -14.7, None, None, None
None, 318.0, 174.0, None, None, 2017-12-24 08:00:00, -14.8, None, None, None
None, 318.0, 174.0, None, None, 2017-12-24 09:00:00, -14.6, None, None, None
None, 318.0, 174.0, None, None, 2017-12-24 10:00:00, -14.8, None, None, None
None, 318.0, 174.0, None, None, 2017-12-24 11:00:00, -15.3, None, None, None
None, 318.0, 174.0, None, None, 2017-12-24 12:00:00, -15.7, None, None, None
None, 318.0, 174.0, None, None, 2017-12-24 13:00:00, -15.5, None, None, None
None, 318.0, 174.0, None, None, 2017-12-24 14:00:00, -15.7, None, None, None
None, 318.0, 174.0, None, None, 2017-12-24 15:00:00, -15.5, None, None, None
None, 318.0, 174.0, 439.0, None, 2017-12-24 16:00:00, -15.1, None, None, None
None, 318.0, 174.0, None, None, 2017-12-24 17:00:00, -14.9, None, None, None
None, 318.0, 174.0, None, None, 2017-12-24 18:00:00, -14.6, None, None, None
None, 318.0, 174.0, None, None, 2017-12-24 19:00:00, -12.0, None, None, None
None, 318.0, 175.0, None, None, 2017-12-24 20:00:00, -11.3, None, None, None
None, 318.0, 175.0, None, None, 2017-12-24 21:00:00, -11.8, None, None, None
None, 318.0, 175.0, None, None, 2017-12-24 22:00:00, -9.9, None, None, None
None, 318.0, 175.0, None, None, 2017-12-24 23:00:00, -12.4, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 00:00:00, -15.0, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 01:00:00, -14.6, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 02:00:00, -15.4, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 03:00:00, -15.9, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 04:00:00, -16.0, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 05:00:00, -16.9, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 06:00:00, -16.3, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 07:00:00, -16.5, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 08:00:00, -16.9, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 09:00:00, -17.7, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 10:00:00, -16.4, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 11:00:00, -16.9, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 12:00:00, -17.8, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 13:00:00, -18.1, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 14:00:00, -18.0, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 15:00:00, -17.7, None, None, None
None, 318.0, 175.0, 439.0, None, 2017-12-25 16:00:00, -17.3, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 17:00:00, -17.4, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 18:00:00, -16.9, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 19:00:00, -16.5, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 20:00:00, -16.0, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 21:00:00, -15.6, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 22:00:00, -15.0, None, None, None
None, 318.0, 175.0, None, None, 2017-12-25 23:00:00, -17.0, None, None, None
None, 318.0, 175.0, None, None, 2017-12-26 00:00:00, -17.9, None, None, None
None, 318.0, 175.0, None, None, 2017-12-26 01:00:00, -17.9, None, None, None
None, 318.0, 175.0, None, None, 2017-12-26 02:00:00, -17.8, None, None, None
None, 318.0, 175.0, None, None, 2017-12-26 03:00:00, -18.0, None, None, None
None, 318.0, 175.0, None, None, 2017-12-26 04:00:00, -17.6, None, None, None
None, 318.0, 175.0, None, None, 2017-12-26 05:00:00, -17.8, None, None, None
None, 318.0, 175.0, None, None, 2017-12-26 06:00:00, -18.0, None, None, None
None, 318.0, 175.0, None, None, 2017-12-26 07:00:00, -17.8, None, None, None
None, 318.0, 175.0, None, None, 2017-12-26 08:00:00, -18.2, None, None, None
None, 318.0, 175.0, None, None, 2017-12-26 09:00:00, -18.4, None, None, None
None, 318.0, 175.0, None, None, 2017-12-26 10:00:00, -18.4, None, None, None
None, 318.0, 175.0, None, None, 2017-12-26 11:00:00, -18.6, None, None, None
None, 318.0, 175.0, None, None, 2017-12-26 12:00:00, -18.8, None, None, None
None, 318.0, 175.0, None, None, 2017-12-26 13:00:00, -19.5, None, None, None
None, 318.0, 175.0, None, None, 2017-12-26 14:00:00, -19.6, None, None, None
None, 318.0, 175.0, None, None, 2017-12-26 15:00:00, -20.0, None, None, None
None, 318.0, 175.0, 439.0, None, 2017-12-26 16:00:00, -20.3, None, None, None
None, 318.0, 176.0, None, None, 2017-12-26 17:00:00, -20.6, None, None, None
None, 318.0, 176.0, None, None, 2017-12-26 18:00:00, -20.3, None, None, None
None, 318.0, 176.0, None, None, 2017-12-26 19:00:00, -20.0, None, None, None
None, 318.0, 176.0, None, None, 2017-12-26 20:00:00, -19.7, None, None, None
None, 318.0, 176.0, None, None, 2017-12-26 21:00:00, -19.9, None, None, None
None, 319.0, 176.0, None, None, 2017-12-26 22:00:00, -21.0, None, None, None
None, 319.0, 176.0, None, None, 2017-12-26 23:00:00, -22.3, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 00:00:00, -22.0, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 01:00:00, -22.5, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 02:00:00, -22.8, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 03:00:00, -23.0, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 04:00:00, -23.4, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 05:00:00, -23.6, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 06:00:00, -24.3, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 07:00:00, -24.3, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 08:00:00, -24.8, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 09:00:00, -25.3, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 10:00:00, -25.0, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 11:00:00, -25.5, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 12:00:00, -25.7, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 13:00:00, -25.2, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 14:00:00, -25.3, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 15:00:00, -25.7, None, None, None
None, 319.0, 176.0, 435.0, None, 2017-12-27 16:00:00, -25.8, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 17:00:00, -25.7, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 18:00:00, -24.9, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 19:00:00, -23.8, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 20:00:00, -22.8, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 21:00:00, -22.8, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 22:00:00, -22.0, None, None, None
None, 319.0, 176.0, None, None, 2017-12-27 23:00:00, -22.4, None, None, None
