pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,snw_dpth,dwpt_temp,stn_pres,week_of_year
None,-1.3,-1.6, 1006.1, 0.2, 0.0,1.3,92.0,2022-04-02 00:00:00, 169.0,-3.0, 910.0,14
None,-1.4,-1.7, 1007.1, 0.1, 0.0,1.3,89.0,2022-04-02 01:00:00, 168.0,-3.0, 911.0,14
None,-2.0,-1.9, 1007.2, -0.1, 0.0,1.3,88.0,2022-04-02 02:00:00, 168.0,-4.0, 911.0,14
None,-2.3,-2.3, 1008.3, 0.2, 0.0,1.3,87.0,2022-04-02 03:00:00, 168.0,-4.0, 912.0,14
None,-2.6,-2.7, 1008.4, 0.0, 0.0,1.3,88.0,2022-04-02 04:00:00, 168.0,-4.0, 912.0,14
None,-2.6,-2.8, 1008.4, 0.1, 0.0,1.3,86.0,2022-04-02 05:00:00, 168.0,-4.0, 912.0,14
None,-2.9,-3.0, 1008.4, -0.1, 0.0,1.3,84.0,2022-04-02 06:00:00, 168.0,-5.0, 912.0,14
None,-2.8,-3.1, 1008.5, 0.1, 0.0,-2.6,82.0,2022-04-02 07:00:00, 168.0,-5.0, 912.0,14
None,-2.9,-3.4, 1007.4, 0.0, 0.0,-2.6,79.0,2022-04-02 08:00:00, 168.0,-6.0, 911.0,14
None,-2.4,-3.4, 1007.4, 0.1, 0.0,-2.1,73.0,2022-04-02 09:00:00, 168.0,-6.0, 911.0,14
None,-0.6,-3.4, 1007.3, -0.1, 0.0,-0.4,69.0,2022-04-02 10:00:00, 167.0,-5.0, 911.0,14
None,0.4,-3.4, 1006.1, -0.1, 0.0,0.6,65.0,2022-04-02 11:00:00, 167.0,-5.0, 910.0,14
None,1.1,-3.4, 1006.0, 0.0, 0.0,1.1,62.0,2022-04-02 12:00:00, 167.0,-5.0, 910.0,14
None,0.1,-3.4, 1005.0, -0.1, 0.0,1.4,74.0,2022-04-02 13:00:00, 167.0,-4.0, 909.0,14
None,1.6,-3.4, 1005.0, 0.1, 0.0,1.6,64.0,2022-04-02 14:00:00, 167.0,-4.0, 909.0,14
None,2.2,-3.4, 1002.7, -0.2, 0.0,2.4,58.0,2022-04-02 15:00:00, 166.0,-5.0, 907.0,14
None,2.1,-3.4, 1002.8, -0.2, 0.0,2.4,58.0,2022-04-02 16:00:00, 166.0,-6.0, 907.0,14
None,1.7,-3.4, 1001.7, 0.2, 0.0,2.5,66.0,2022-04-02 17:00:00, 166.0,-4.0, 906.0,14
None,1.5,-3.4, 1000.6, -0.1, 0.0,2.5,69.0,2022-04-02 18:00:00, 166.0,-3.0, 905.0,14
None,1.0,0.9, 999.6, 0.0, 0.0,1.6,76.0,2022-04-02 19:00:00, 166.0,-3.0, 904.0,14
None,0.6,0.4, 998.5, 0.1, 0.0,1.6,78.0,2022-04-02 20:00:00, 166.0,-3.0, 903.0,14
None,0.2,0.2, 997.4, 0.0, 0.0,1.6,84.0,2022-04-02 21:00:00, 166.0,-2.0, 902.0,14
None,0.3,0.1, 996.1, 0.1, 0.0,1.6,83.0,2022-04-02 22:00:00, 166.0,-3.0, 901.0,14
None,0.6,0.1, 994.9, 0.1, 0.0,1.6,80.0,2022-04-02 23:00:00, 166.0,-3.0, 900.0,14
None,0.8,0.1, 993.7, 0.0, 0.0,1.6,81.0,2022-04-03 00:00:00, 166.0,-2.0, 899.0,14
None,0.9,0.1, 992.6, 0.0, 0.0,1.6,80.0,2022-04-03 01:00:00, 166.0,-2.0, 898.0,14
None,-1.1,-1.2, 993.8, 0.4, 1.0,1.6,97.0,2022-04-03 02:00:00, 167.0,-2.0, 899.0,14
None,-1.6,-1.8, 994.9, 0.5, 3.0,1.6,97.0,2022-04-03 03:00:00, 169.0,-2.0, 900.0,14
None,-1.6,-2.0, 994.9, 0.3, 1.0,1.6,88.0,2022-04-03 04:00:00, 170.0,-3.0, 900.0,14
None,-2.7,-2.8, 996.2, 0.1, 0.0,1.6,92.0,2022-04-03 05:00:00, 170.0,-4.0, 901.0,14
None,-2.8,-3.1, 995.1, 0.0, 0.0,1.6,89.0,2022-04-03 06:00:00, 169.0,-5.0, 900.0,14
None,-3.2,-3.1, 995.2, 0.0, 1.0,-2.8,85.0,2022-04-03 07:00:00, 170.0,-5.0, 900.0,14
None,-3.2,-3.4, 995.2, 0.1, 1.0,-2.8,85.0,2022-04-03 08:00:00, 170.0,-5.0, 900.0,14
None,-1.8,-3.4, 995.1, 0.0, 0.0,-1.7,80.0,2022-04-03 09:00:00, 170.0,-5.0, 900.0,14
None,-0.6,-3.4, 995.0, 0.0, 0.0,-0.6,77.0,2022-04-03 10:00:00, 170.0,-4.0, 900.0,14
None,-0.4,-3.4, 994.9, -0.5, 0.0,0.0,75.0,2022-04-03 11:00:00, 170.0,-4.0, 900.0,14
None,0.7,-3.4, 994.8, 0.2, 0.0,0.7,70.0,2022-04-03 12:00:00, 169.0,-4.0, 900.0,14
None,1.6,-3.4, 994.7, -0.1, -1.0,1.4,65.0,2022-04-03 13:00:00, 168.0,-5.0, 900.0,14
None,2.1,-3.4, 994.9, -0.2, -1.0,2.5,55.0,2022-04-03 14:00:00, 167.0,-6.0, 900.0,14
None,2.0,-3.4, 994.9, -0.4, -1.0,2.8,52.0,2022-04-03 15:00:00, 167.0,-7.0, 900.0,14
None,1.8,-3.4, 994.9, 0.0, 0.0,2.8,56.0,2022-04-03 16:00:00, 166.0,-6.0, 900.0,14
None,1.6,-3.4, 994.0, 0.2, 0.0,2.8,60.0,2022-04-03 17:00:00, 166.0,-5.0, 899.0,14
None,1.1,-3.4, 994.0, 0.0, 0.0,2.8,61.0,2022-04-03 18:00:00, 166.0,-5.0, 899.0,14
None,0.3,0.3, 994.2, 0.0, 0.0,1.2,69.0,2022-04-03 19:00:00, 166.0,-5.0, 899.0,14
None,-0.3,-0.4, 994.2, 0.0, 0.0,1.2,74.0,2022-04-03 20:00:00, 166.0,-4.0, 899.0,14
None,-1.2,-1.4, 993.1, 0.0, 0.0,1.2,79.0,2022-04-03 21:00:00, 166.0,-4.0, 898.0,14
None,-1.2,-1.4, 992.9, 0.1, 0.0,1.2,80.0,2022-04-03 22:00:00, 166.0,-4.0, 898.0,14
None,-1.2,-1.5, 991.8, 0.1, 0.0,1.2,77.0,2022-04-03 23:00:00, 166.0,-5.0, 897.0,14
None,-1.5,-1.5, 991.7, 0.0, 0.0,1.2,77.0,2022-04-04 00:00:00, 166.0,-4.0, 897.0,14
None,-1.5,-1.8, 990.5, 0.0, 0.0,1.2,75.0,2022-04-04 01:00:00, 166.0,-5.0, 896.0,14
None,-2.2,-2.5, 990.6, 0.1, 0.0,1.2,72.0,2022-04-04 02:00:00, 165.0,-6.0, 896.0,14
None,-2.3,-3.0, 989.5, 0.0, 0.0,1.2,64.0,2022-04-04 03:00:00, 165.0,-8.0, 895.0,14
None,-3.3,-5.7, 988.5, -0.1, 0.0,1.2,67.0,2022-04-04 04:00:00, 166.0,-8.0, 894.0,14
None,-4.4,-5.7, 988.6, 0.0, 0.0,1.2,69.0,2022-04-04 05:00:00, 165.0,-9.0, 894.0,14
None,-6.9,-6.6, 987.8, 0.0, 0.0,1.2,78.0,2022-04-04 06:00:00, 165.0,-10.0, 893.0,14
None,-7.0,-7.5, 987.9, 0.0, 0.0,-6.5,80.0,2022-04-04 07:00:00, 165.0,-10.0, 893.0,14
None,-8.0,-8.7, 987.0, 0.0, 0.0,-6.4,80.0,2022-04-04 08:00:00, 165.0,-11.0, 892.0,14
None,-5.7,-8.7, 986.8, 0.0, 0.0,-5.5,70.0,2022-04-04 09:00:00, 165.0,-10.0, 892.0,14
None,-3.1,-8.7, 987.7, 0.1, 0.0,-3.2,60.0,2022-04-04 10:00:00, 165.0,-8.0, 893.0,14
None,-0.4,-8.7, 986.3, -0.1, 0.0,-0.4,48.0,2022-04-04 11:00:00, 165.0,-9.0, 892.0,14
None,1.5,-8.7, 986.1, -0.1, 0.0,1.4,44.0,2022-04-04 12:00:00, 166.0,-10.0, 892.0,14
None,2.6,-8.7, 986.0, 0.0, 0.0,3.0,38.0,2022-04-04 13:00:00, 165.0,-9.0, 892.0,14
None,3.7,-8.7, 986.0, 0.1, 0.0,4.3,33.0,2022-04-04 14:00:00, 165.0,-12.0, 892.0,14
None,3.7,-8.7, 987.1, -0.4, -1.0,4.6,34.0,2022-04-04 15:00:00, 165.0,-10.0, 893.0,14
None,4.8,-8.7, 987.1, 0.1, 1.0,5.2,24.0,2022-04-04 16:00:00, 165.0,-13.0, 893.0,14
None,5.1,-8.7, 987.2, -0.3, 0.0,5.3,27.0,2022-04-04 17:00:00, 165.0,-13.0, 893.0,14
None,3.7,-8.7, 988.7, -0.1, -1.0,5.8,38.0,2022-04-04 18:00:00, 165.0,-10.0, 894.0,14
None,1.6,1.6, 990.0, -0.1, 0.0,4.2,41.0,2022-04-04 19:00:00, 165.0,-10.0, 895.0,14
None,-0.5,-0.3, 991.4, -0.3, 0.0,4.2,52.0,2022-04-04 20:00:00, 165.0,-8.0, 896.0,14
None,-0.2,-1.7, 992.3, -0.2, 0.0,4.2,48.0,2022-04-04 21:00:00, 165.0,-10.0, 897.0,14
None,-0.8,-1.7, 993.2, 0.0, 0.0,4.2,54.0,2022-04-04 22:00:00, 165.0,-8.0, 898.0,14
None,-1.2,-1.7, 994.0, 0.1, 0.0,4.2,56.0,2022-04-04 23:00:00, 165.0,-8.0, 899.0,14
None,-1.6,-1.8, 995.0, 0.0, 0.0,4.2,61.0,2022-04-05 00:00:00, 165.0,-8.0, 900.0,14
None,-2.1,-2.4, 996.0, 0.0, 0.0,4.2,64.0,2022-04-05 01:00:00, 165.0,-8.0, 901.0,14
None,-2.6,-2.7, 997.1, 0.1, 0.0,4.2,67.0,2022-04-05 02:00:00, 164.0,-7.0, 902.0,14
None,-2.8,-3.0, 999.3, 0.0, 0.0,4.2,66.0,2022-04-05 03:00:00, 164.0,-8.0, 904.0,14
None,-3.4,-3.5, 1000.3, 0.1, 0.0,4.2,69.0,2022-04-05 04:00:00, 164.0,-8.0, 905.0,14
None,-3.5,-3.7, 1001.4, 0.0, 0.0,4.2,69.0,2022-04-05 05:00:00, 164.0,-7.0, 906.0,14
None,-3.1,-3.7, 1002.6, 0.0, 0.0,4.2,70.0,2022-04-05 06:00:00, 164.0,-7.0, 907.0,14
None,-3.0,-3.2, 1004.0, 0.1, 0.0,-2.5,71.0,2022-04-05 07:00:00, 164.0,-7.0, 908.0,14
None,-2.6,-3.2, 1005.2, 0.0, 0.0,-2.5,71.0,2022-04-05 08:00:00, 164.0,-7.0, 909.0,14
None,-2.8,-3.2, 1006.3, -0.1, 0.0,-2.2,82.0,2022-04-05 09:00:00, 164.0,-4.0, 910.0,14
None,-2.6,-3.2, 1008.6, 0.1, 0.0,-2.2,90.0,2022-04-05 10:00:00, 164.0,-4.0, 912.0,14
None,-1.9,-3.2, 1009.7, -0.3, 1.0,-1.9,88.0,2022-04-05 11:00:00, 164.0,-3.0, 913.0,14
None,-0.2,-3.2, 1011.7, 0.0, 0.0,-0.3,75.0,2022-04-05 12:00:00, 164.0,-4.0, 915.0,14
None,1.4,-3.2, 1012.7, 0.1, 0.0,1.3,60.0,2022-04-05 13:00:00, 164.0,-6.0, 916.0,14
None,2.4,-3.2, 1013.8, -0.4, 0.0,2.6,50.0,2022-04-05 14:00:00, 164.0,-7.0, 917.0,14
None,2.4,-3.2, 1014.9, 0.3, 0.0,3.3,48.0,2022-04-05 15:00:00, 164.0,-8.0, 918.0,14
None,2.9,-3.2, 1017.1, -0.1, 0.0,3.6,47.0,2022-04-05 16:00:00, 164.0,-7.0, 920.0,14
None,2.1,-3.2, 1018.3, -0.6, 0.0,3.6,48.0,2022-04-05 17:00:00, 164.0,-7.0, 921.0,14
None,1.7,-3.2, 1019.4, -0.1, 0.0,3.6,48.0,2022-04-05 18:00:00, 164.0,-8.0, 922.0,14
None,0.4,0.3, 1020.7, 0.1, 0.0,1.8,50.0,2022-04-05 19:00:00, 163.0,-9.0, 923.0,14
None,-0.4,-0.6, 1021.8, 0.0, 0.0,1.8,56.0,2022-04-05 20:00:00, 163.0,-8.0, 924.0,14
None,-1.4,-1.4, 1023.1, -0.1, 0.0,1.8,66.0,2022-04-05 21:00:00, 163.0,-6.0, 925.0,14
None,-2.1,-2.2, 1024.2, 0.2, 0.0,1.8,71.0,2022-04-05 22:00:00, 163.0,-6.0, 926.0,14
None,-2.5,-2.6, 1025.3, 0.0, 0.0,1.8,73.0,2022-04-05 23:00:00, 163.0,-6.0, 927.0,14
None,-2.4,-2.7, 1026.2, 0.1, 0.0,1.8,69.0,2022-04-06 00:00:00, 163.0,-7.0, 928.0,14
None,-2.8,-3.0, 1027.2, 0.0, 0.0,1.8,70.0,2022-04-06 01:00:00, 163.0,-7.0, 929.0,14
None,-2.9,-3.2, 1027.1, 0.0, 0.0,1.8,75.0,2022-04-06 02:00:00, 163.0,-7.0, 929.0,14
None,-3.2,-3.9, 1028.2, 0.1, 0.0,1.8,75.0,2022-04-06 03:00:00, 163.0,-6.0, 930.0,14
None,-3.6,-3.9, 1028.2, 0.0, 0.0,1.8,76.0,2022-04-06 04:00:00, 163.0,-7.0, 930.0,14
None,-4.9,-5.0, 1028.4, 0.0, 0.0,1.8,81.0,2022-04-06 05:00:00, 163.0,-8.0, 930.0,14
None,-5.3,-5.9, 1028.5, 0.0, 0.0,1.8,81.0,2022-04-06 06:00:00, 163.0,-8.0, 930.0,14
None,-5.3,-6.0, 1028.7, 0.0, 0.0,-5.1,74.0,2022-04-06 07:00:00, 163.0,-9.0, 930.0,14
None,-6.0,-6.4, 1028.8, 0.1, 0.0,-5.1,72.0,2022-04-06 08:00:00, 163.0,-10.0, 930.0,14
None,-2.8,-7.1, 1028.6, 0.0, 0.0,-2.7,60.0,2022-04-06 09:00:00, 163.0,-8.0, 930.0,14
None,-0.9,-7.1, 1028.5, 0.0, 0.0,-0.6,50.0,2022-04-06 10:00:00, 163.0,-9.0, 930.0,14
None,-0.1,-7.1, 1027.3, -0.1, 0.0,0.2,46.0,2022-04-06 11:00:00, 163.0,-9.0, 929.0,14
None,1.1,-7.1, 1026.1, -0.1, 0.0,1.2,43.0,2022-04-06 12:00:00, 163.0,-11.0, 928.0,14
None,1.5,-7.1, 1026.1, -0.3, 0.0,1.6,38.0,2022-04-06 13:00:00, 163.0,-11.0, 928.0,14
None,1.8,-7.1, 1023.8, -0.1, 0.0,2.1,35.0,2022-04-06 14:00:00, 163.0,-12.0, 926.0,14
None,2.4,-7.1, 1022.7, 0.0, 0.0,2.5,33.0,2022-04-06 15:00:00, 163.0,-12.0, 925.0,14
None,2.5,-7.1, 1022.7, 0.0, 0.0,2.7,35.0,2022-04-06 16:00:00, 163.0,-11.0, 925.0,14
None,1.8,-7.1, 1020.7, -0.2, 0.0,2.7,42.0,2022-04-06 17:00:00, 163.0,-10.0, 923.0,14
None,1.5,-7.1, 1020.8, -0.3, 0.0,2.7,48.0,2022-04-06 18:00:00, 163.0,-8.0, 923.0,14
None,1.0,1.0, 1019.7, 0.2, 0.0,1.7,51.0,2022-04-06 19:00:00, 163.0,-8.0, 922.0,14
None,0.5,0.5, 1018.8, 0.1, 0.0,1.7,55.0,2022-04-06 20:00:00, 163.0,-8.0, 921.0,14
None,0.3,0.1, 1018.4, 0.0, 0.0,1.7,60.0,2022-04-06 21:00:00, 163.0,-6.0, 921.0,14
None,-0.4,-0.5, 1018.3, 0.0, 0.0,1.7,68.0,2022-04-06 22:00:00, 163.0,-5.0, 921.0,14
None,-1.2,-1.6, 1018.3, 0.0, 1.0,1.7,81.0,2022-04-06 23:00:00, 163.0,-4.0, 921.0,14
None,-1.5,-1.6, 1018.2, 0.1, 0.0,1.7,86.0,2022-04-07 00:00:00, 163.0,-3.0, 921.0,14
None,-1.6,-2.0, 1018.2, 0.5, 1.0,1.7,95.0,2022-04-07 01:00:00, 163.0,-2.0, 921.0,14
None,-1.5,-2.0, 1018.1, 0.1, 3.0,1.7,91.0,2022-04-07 02:00:00, 166.0,-3.0, 921.0,14
None,-1.2,-2.0, 1018.1, 0.1, -1.0,1.7,86.0,2022-04-07 03:00:00, 164.0,-3.0, 921.0,14
None,-1.4,-2.0, 1018.1, 0.1, -1.0,1.7,91.0,2022-04-07 04:00:00, 163.0,-2.0, 921.0,14
None,-1.1,-2.0, 1018.1, 0.1, 2.0,1.7,88.0,2022-04-07 05:00:00, 164.0,-2.0, 921.0,14
None,-1.2,-2.0, 1018.1, 0.2, 0.0,1.7,92.0,2022-04-07 06:00:00, 164.0,-2.0, 921.0,14
None,-1.4,-1.8, 1018.2, 0.2, 2.0,-1.1,95.0,2022-04-07 07:00:00, 165.0,-2.0, 921.0,14
None,-1.3,-1.8, 1017.2, 0.0, 0.0,-1.1,96.0,2022-04-07 08:00:00, 165.0,-2.0, 920.0,14
None,-1.1,-1.8, 1017.2, 0.1, 0.0,-0.8,96.0,2022-04-07 09:00:00, 165.0,-2.0, 920.0,14
None,-0.3,-1.8, 1017.1, 0.3, 0.0,-0.3,94.0,2022-04-07 10:00:00, 165.0,0.0, 920.0,14
None,0.2,-1.8, 1017.2, 0.0, 0.0,0.5,89.0,2022-04-07 11:00:00, 166.0,-1.0, 920.0,14
None,1.0,-1.8, 1016.0, 0.1, -1.0,1.1,85.0,2022-04-07 12:00:00, 165.0,-2.0, 919.0,14
None,1.4,-1.8, 1014.9, -0.1, -1.0,1.6,84.0,2022-04-07 13:00:00, 164.0,-1.0, 918.0,14
None,3.4,-1.8, 1014.7, -0.2, -1.0,3.5,70.0,2022-04-07 14:00:00, 163.0,-1.0, 918.0,14
None,4.0,-1.8, 1013.5, -0.1, 0.0,4.7,61.0,2022-04-07 15:00:00, 163.0,-3.0, 917.0,14
None,4.5,-1.8, 1012.3, 0.1, 0.0,4.9,59.0,2022-04-07 16:00:00, 162.0,-3.0, 916.0,14
None,4.6,-1.8, 1012.3, -0.2, 1.0,5.0,60.0,2022-04-07 17:00:00, 163.0,-3.0, 916.0,14
None,5.0,-1.8, 1011.2, 0.0, 0.0,5.6,54.0,2022-04-07 18:00:00, 162.0,-4.0, 915.0,14
None,4.0,3.8, 1011.3, -0.1, 0.0,5.1,60.0,2022-04-07 19:00:00, 162.0,-3.0, 915.0,14
None,3.2,3.2, 1011.3, -0.1, 0.0,5.1,62.0,2022-04-07 20:00:00, 162.0,-4.0, 915.0,14
None,2.4,2.3, 1010.3, 0.0, 0.0,5.1,66.0,2022-04-07 21:00:00, 162.0,-3.0, 914.0,14
None,1.1,1.0, 1010.4, 0.0, 0.0,5.1,73.0,2022-04-07 22:00:00, 162.0,-4.0, 914.0,14
None,-0.1,-0.1, 1010.4, -0.1, 0.0,5.1,79.0,2022-04-07 23:00:00, 162.0,-3.0, 914.0,14
None,-1.9,-1.9, 1009.4, 0.0, 0.0,5.1,85.0,2022-04-08 00:00:00, 162.0,-4.0, 913.0,14
None,-3.0,-3.2, 1009.5, 0.0, 0.0,5.1,90.0,2022-04-08 01:00:00, 162.0,-4.0, 913.0,14
None,-2.7,-3.9, 1009.3, 0.1, 0.0,5.1,85.0,2022-04-08 02:00:00, 162.0,-5.0, 913.0,14
None,-2.2,-4.1, 1008.0, 0.0, 0.0,5.1,76.0,2022-04-08 03:00:00, 162.0,-6.0, 912.0,14
None,-4.3,-4.3, 1008.2, 0.1, 0.0,5.1,87.0,2022-04-08 04:00:00, 162.0,-6.0, 912.0,14
None,-4.5,-5.4, 1008.2, 0.0, 0.0,5.1,90.0,2022-04-08 05:00:00, 162.0,-6.0, 912.0,14
None,-4.4,-5.4, 1008.2, 0.0, 0.0,5.1,87.0,2022-04-08 06:00:00, 162.0,-5.0, 912.0,14
None,-5.8,-6.4, 1008.4, 0.0, 0.0,-4.3,93.0,2022-04-08 07:00:00, 161.0,-7.0, 912.0,14
None,-5.4,-6.8, 1009.6, 0.0, 0.0,-4.3,91.0,2022-04-08 08:00:00, 162.0,-7.0, 913.0,14
None,-2.4,-6.8, 1009.3, 0.2, 0.0,-2.3,70.0,2022-04-08 09:00:00, 162.0,-6.0, 913.0,14
None,-1.1,-6.8, 1010.4, -0.2, 0.0,-0.8,74.0,2022-04-08 10:00:00, 162.0,-4.0, 914.0,14
None,1.1,-6.8, 1010.3, -0.2, 0.0,1.1,67.0,2022-04-08 11:00:00, 161.0,-5.0, 914.0,14
None,1.8,-6.8, 1010.5, -0.1, 0.0,1.8,59.0,2022-04-08 12:00:00, 161.0,-5.0, 914.0,14
None,2.8,-6.8, 1010.5, -0.2, 0.0,3.3,51.0,2022-04-08 13:00:00, 161.0,-6.0, 914.0,14
None,2.9,-6.8, 1011.5, 0.2, 0.0,3.7,43.0,2022-04-08 14:00:00, 161.0,-8.0, 915.0,14
None,3.8,-6.8, 1011.4, -0.1, 0.0,4.3,48.0,2022-04-08 15:00:00, 161.0,-6.0, 915.0,14
None,4.0,-6.8, 1011.6, -0.3, -1.0,4.3,47.0,2022-04-08 16:00:00, 161.0,-6.0, 915.0,14
None,3.1,-6.8, 1012.8, 0.0, 0.0,4.3,45.0,2022-04-08 17:00:00, 160.0,-8.0, 916.0,14
None,2.9,-6.8, 1012.8, -0.1, 1.0,4.3,43.0,2022-04-08 18:00:00, 161.0,-7.0, 916.0,14
None,2.3,2.4, 1013.0, -0.1, 0.0,3.0,49.0,2022-04-08 19:00:00, 160.0,-7.0, 916.0,14
None,1.4,1.4, 1014.2, 0.0, 0.0,3.0,61.0,2022-04-08 20:00:00, 160.0,-5.0, 917.0,14
