pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None,-2.917,89.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-21 16:00:00, None,47
None,-3.422,92.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-21 17:00:00, None,47
None,-3.521,94.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-21 18:00:00, None,47
None,-3.527,96.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-21 19:00:00, None,47
None,-3.339,96.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-21 20:00:00, None,47
None,-3.523,96.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-21 21:00:00, None,47
None,-3.259,95.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-21 22:00:00, None,47
None,-3.726,95.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-21 23:00:00, None,47
None,-3.602,94.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 00:00:00, None,47
None,-3.796,95.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 01:00:00, None,47
None,-4.427,95.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 02:00:00, None,47
None,-4.505,95.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 03:00:00, None,47
None,-5.021,93.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 04:00:00, None,47
None,-4.983,95.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 05:00:00, None,47
None,-4.896,95.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 06:00:00, None,47
None,-4.914,94.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 07:00:00, None,47
None,-5.189,94.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 08:00:00, None,47
None,-5.049,94.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 09:00:00, None,47
None,-4.89,94.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 10:00:00, None,47
None,-4.451,94.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 11:00:00, None,47
None,-4.059,95.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 12:00:00, None,47
None,-3.756,95.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 13:00:00, None,47
None,-3.677,95.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 14:00:00, None,47
None,-3.784,95.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 15:00:00, None,47
None,-3.869,95.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 16:00:00, None,47
None,-3.746,95.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 17:00:00, None,47
None,-3.374,95.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 18:00:00, None,47
None,-2.802,96.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 19:00:00, None,47
None,-2.741,96.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 20:00:00, None,47
None,-2.627,96.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 21:00:00, None,47
None,-0.989,85.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 22:00:00, None,47
None,-1.839,89.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-22 23:00:00, None,47
None,-1.782,89.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 00:00:00, None,47
None,-2.275,91.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 01:00:00, None,47
None,-1.498,88.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 02:00:00, None,47
None,-0.866,87.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 03:00:00, None,47
None,-0.076,83.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 04:00:00, None,47
None,0.006,80.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 05:00:00, None,47
None,-1.276,86.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 06:00:00, None,47
None,-0.963,86.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 07:00:00, None,47
None,-0.587,85.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 08:00:00, None,47
None,-0.359,86.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 09:00:00, None,47
None,-0.214,87.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 10:00:00, None,47
None,0.802,84.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 11:00:00, None,47
None,1.447,80.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 12:00:00, None,47
None,0.698,84.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 13:00:00, None,47
None,2.041,78.85, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 14:00:00, None,47
None,2.601,75.61, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 15:00:00, None,47
None,1.728,80.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 16:00:00, None,47
None,2.229,78.42, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 17:00:00, None,47
None,1.359,83.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 18:00:00, None,47
None,1.991,80.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 19:00:00, None,47
None,1.712,81.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 20:00:00, None,47
None,1.937,81.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 21:00:00, None,47
None,1.901,83.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 22:00:00, None,47
None,2.681,78.95, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-23 23:00:00, None,47
None,4.501,80.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-24 00:00:00, None,47
None,4.018,76.47, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-24 01:00:00, None,47
None,4.003,65.82, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-24 02:00:00, None,47
None,5.121,34.12, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-24 03:00:00, None,47
None,4.904,27.98, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-24 04:00:00, None,47
None,4.783,25.88, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-24 05:00:00, None,47
None,4.235,26.36, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-24 06:00:00, None,47
None,3.222,29.28, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-24 07:00:00, None,47
None,2.882,45.98, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-24 10:00:00, None,47
None,5.086,41.64, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-24 11:00:00, None,47
None,5.726,35.28, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-24 12:00:00, None,47
None,5.796,36.31, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-24 13:00:00, None,47
None,4.982,40.61, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-24 14:00:00, None,47
None,4.071,43.47, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-24 15:00:00, None,47
None,2.18,62.61, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-24 16:00:00, None,47
None,1.816,61.42, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-24 17:00:00, None,47
None,1.968,53.77, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-24 18:00:00, None,47
None,1.754,53.73, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-24 19:00:00, None,47
None,0.378,61.58, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-24 20:00:00, None,47
None,0.714,56.93, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-24 21:00:00, None,47
None,0.381,59.79, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-24 22:00:00, None,47
None,-0.265,67.63, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-24 23:00:00, None,47
None,0.499,63.31, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-25 00:00:00, None,47
None,-0.662,73.04, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-25 01:00:00, None,47
None,-1.984,86.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-25 02:00:00, None,47
None,-2.412,73.15, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-25 03:00:00, None,47
None,-3.73,82.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-25 04:00:00, None,47
None,-3.259,81.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-25 05:00:00, None,47
None,-3.121,79.93, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-25 06:00:00, None,47
None,-3.642,75.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-25 07:00:00, None,47
None,-3.522,75.12, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-25 08:00:00, None,47
None,-2.278,71.05, None, None, None, None, None, None, None, None, None, None, None, None, None,2019-11-25 09:00:00, None,47
