pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,snw_dpth,week_of_year
None,-4.55,80.0, None, None, None, None, None,-7.0, None, None,2019-11-21 16:00:00, None,47
None,-5.13,84.0, None, None, None, None, None,-7.0, None, None,2019-11-21 17:00:00, None,47
None,-5.451,86.5, None, None, None, None, None,-7.0, None, None,2019-11-21 18:00:00, None,47
None,-5.816,87.7, None, None, None, None, None,-7.0, None, None,2019-11-21 19:00:00, None,47
None,-6.183,88.5, None, None, None, None, None,-8.0, None, None,2019-11-21 20:00:00, None,47
None,-6.638,88.7, None, None, None, None, None,-8.0, None, None,2019-11-21 21:00:00, None,47
None,-6.369,88.9, None, None, None, None, None,-8.0, None, None,2019-11-21 22:00:00, None,47
None,-5.501,88.3, None, None, None, None, None,-7.0, None, None,2019-11-21 23:00:00, None,47
None,-6.149,87.7, None, None, None, None, None,-8.0, None, None,2019-11-22 00:00:00, None,47
None,-5.872,87.7, None, None, None, None, None,-7.0, None, None,2019-11-22 01:00:00, None,47
None,-6.002,87.2, None, None, None, None, None,-8.0, None, None,2019-11-22 02:00:00, None,47
None,-6.115,87.2, None, None, None, None, None,-8.0, None, None,2019-11-22 03:00:00, None,47
None,-6.408,87.3, None, None, None, None, None,-8.0, None, None,2019-11-22 04:00:00, None,47
None,-6.699,87.6, None, None, None, None, None,-8.0, None, None,2019-11-22 05:00:00, None,47
None,-5.796,86.7, None, None, None, None, None,-7.0, None, None,2019-11-22 06:00:00, None,47
None,-5.344,85.1, None, None, None, None, None,-7.0, None, None,2019-11-22 07:00:00, None,47
None,-5.431,86.0, None, None, None, None, None,-7.0, None, None,2019-11-22 08:00:00, None,47
None,-3.19,80.3, None, None, None, None, None,-6.0, None, None,2019-11-22 09:00:00, None,47
None,-1.995,74.34, None, None, None, None, None,-6.0, None, None,2019-11-22 10:00:00, None,47
None,-0.65,67.98, None, None, None, None, None,-5.0, None, None,2019-11-22 11:00:00, None,47
None,0.618,61.02, None, None, None, None, None,-6.0, None, None,2019-11-22 12:00:00, None,47
None,1.654,56.94, None, None, None, None, None,-6.0, None, None,2019-11-22 13:00:00, None,47
None,1.645,57.71, None, None, None, None, None,-6.0, None, None,2019-11-22 14:00:00, None,47
None,-0.637,67.4, None, None, None, None, None,-5.0, None, None,2019-11-22 15:00:00, None,47
None,-1.613,71.67, None, None, None, None, None,-5.0, None, None,2019-11-22 16:00:00, None,47
None,-1.661,68.39, None, None, None, None, None,-6.0, None, None,2019-11-22 17:00:00, None,47
None,-4.043,79.06, None, None, None, None, None,-7.0, None, None,2019-11-22 18:00:00, None,47
None,-4.919,83.6, None, None, None, None, None,-7.0, None, None,2019-11-22 19:00:00, None,47
None,-4.552,81.5, None, None, None, None, None,-7.0, None, None,2019-11-22 20:00:00, None,47
None,-5.066,83.8, None, None, None, None, None,-7.0, None, None,2019-11-22 21:00:00, None,47
None,-5.366,85.9, None, None, None, None, None,-7.0, None, None,2019-11-22 22:00:00, None,47
None,-5.205,85.4, None, None, None, None, None,-7.0, None, None,2019-11-22 23:00:00, None,47
None,-5.188,85.5, None, None, None, None, None,-7.0, None, None,2019-11-23 00:00:00, None,47
None,-5.81,85.6, None, None, None, None, None,-8.0, None, None,2019-11-23 01:00:00, None,47
None,-3.856,84.6, None, None, None, None, None,-5.0, None, None,2019-11-23 02:00:00, None,47
None,0.517,56.72, None, None, None, None, None,-7.0, None, None,2019-11-23 03:00:00, None,47
None,0.41,57.51, None, None, None, None, None,-7.0, None, None,2019-11-23 04:00:00, None,47
None,0.475,58.48, None, None, None, None, None,-7.0, None, None,2019-11-23 05:00:00, None,47
None,0.82,60.37, None, None, None, None, None,-6.0, None, None,2019-11-23 06:00:00, None,47
None,1.097,63.3, None, None, None, None, None,-5.0, None, None,2019-11-23 07:00:00, None,47
None,1.462,62.8, None, None, None, None, None,-5.0, None, None,2019-11-23 08:00:00, None,47
None,1.835,64.36, None, None, None, None, None,-4.0, None, None,2019-11-23 09:00:00, None,47
None,2.215,62.93, None, None, None, None, None,-4.0, None, None,2019-11-23 10:00:00, None,47
None,2.527,59.43, None, None, None, None, None,-5.0, None, None,2019-11-23 11:00:00, None,47
None,2.753,60.04, None, None, None, None, None,-4.0, None, None,2019-11-23 12:00:00, None,47
None,2.405,61.98, None, None, None, None, None,-4.0, None, None,2019-11-23 13:00:00, None,47
None,2.46,63.88, None, None, None, None, None,-4.0, None, None,2019-11-23 14:00:00, None,47
None,2.886,64.96, None, None, None, None, None,-3.0, None, None,2019-11-23 15:00:00, None,47
None,3.03,65.22, None, None, None, None, None,-3.0, None, None,2019-11-23 16:00:00, None,47
None,2.852,66.44, None, None, None, None, None,-3.0, None, None,2019-11-23 17:00:00, None,47
None,3.211,63.26, None, None, None, None, None,-3.0, None, None,2019-11-23 18:00:00, None,47
None,2.92,65.85, None, None, None, None, None,-3.0, None, None,2019-11-23 19:00:00, None,47
None,2.832,68.6, None, None, None, None, None,-2.0, None, None,2019-11-23 20:00:00, None,47
None,2.784,67.87, None, None, None, None, None,-3.0, None, None,2019-11-23 21:00:00, None,47
None,3.076,64.9, None, None, None, None, None,-3.0, None, None,2019-11-23 22:00:00, None,47
None,3.112,65.84, None, None, None, None, None,-3.0, None, None,2019-11-23 23:00:00, None,47
None,2.962,63.4, None, None, None, None, None,-3.0, None, None,2019-11-24 00:00:00, None,47
None,3.18,61.12, None, None, None, None, None,-3.0, None, None,2019-11-24 01:00:00, None,47
None,3.324,62.97, None, None, None, None, None,-3.0, None, None,2019-11-24 02:00:00, None,47
None,2.968,68.23, None, None, None, None, None,-2.0, None, None,2019-11-24 03:00:00, None,47
None,2.653,70.85, None, None, None, None, None,-2.0, None, None,2019-11-24 04:00:00, None,47
None,2.917,72.9, None, None, None, None, None,-1.0, None, None,2019-11-24 05:00:00, None,47
None,3.466,62.56, None, None, None, None, None,-3.0, None, None,2019-11-24 06:00:00, None,47
None,3.18,61.35, None, None, None, None, None,-3.0, None, None,2019-11-24 07:00:00, None,47
None,3.153,42.87, None, None, None, None, None,-8.0, None, None,2019-11-24 10:00:00, None,47
None,3.062,41.31, None, None, None, None, None,-9.0, None, None,2019-11-24 11:00:00, None,47
None,2.804,40.44, None, None, None, None, None,-9.0, None, None,2019-11-24 12:00:00, None,47
None,2.996,38.54, None, None, None, None, None,-10.0, None, None,2019-11-24 13:00:00, None,47
None,2.585,41.06, None, None, None, None, None,-9.0, None, None,2019-11-24 14:00:00, None,47
None,2.42,37.91, None, None, None, None, None,-10.0, None, None,2019-11-24 15:00:00, None,47
None,1.643,41.5, None, None, None, None, None,-10.0, None, None,2019-11-24 16:00:00, None,47
None,1.431,39.49, None, None, None, None, None,-11.0, None, None,2019-11-24 17:00:00, None,47
None,0.975,41.1, None, None, None, None, None,-11.0, None, None,2019-11-24 18:00:00, None,47
None,-0.443,45.73, None, None, None, None, None,-10.0, None, None,2019-11-24 19:00:00, None,47
None,-1.969,54.05, None, None, None, None, None,-9.0, None, None,2019-11-24 20:00:00, None,47
None,-2.495,54.54, None, None, None, None, None,-10.0, None, None,2019-11-24 21:00:00, None,47
None,-3.829,61.25, None, None, None, None, None,-9.0, None, None,2019-11-24 22:00:00, None,47
None,-4.687,63.82, None, None, None, None, None,-10.0, None, None,2019-11-24 23:00:00, None,47
None,-6.718,70.5, None, None, None, None, None,-11.0, None, None,2019-11-25 00:00:00, None,47
None,-7.769,73.9, None, None, None, None, None,-11.0, None, None,2019-11-25 01:00:00, None,47
None,-7.887,77.11, None, None, None, None, None,-11.0, None, None,2019-11-25 02:00:00, None,47
None,-8.71,79.66, None, None, None, None, None,-11.0, None, None,2019-11-25 03:00:00, None,47
None,-9.23,82.3, None, None, None, None, None,-11.0, None, None,2019-11-25 04:00:00, None,47
None,-10.1,83.2, None, None, None, None, None,-12.0, None, None,2019-11-25 05:00:00, None,47
None,-10.42,83.7, None, None, None, None, None,-12.0, None, None,2019-11-25 06:00:00, None,47
None,-10.74,84.2, None, None, None, None, None,-13.0, None, None,2019-11-25 07:00:00, None,47
None,-11.27,84.2, None, None, None, None, None,-13.0, None, None,2019-11-25 08:00:00, None,47
None,-8.19,81.4, None, None, None, None, None,-11.0, None, None,2019-11-25 09:00:00, None,47
None,-5.591,71.07, None, None, None, None, None,-9.0, None, None,2019-11-25 10:00:00, None,47
None,-2.989,60.81, None, None, None, None, None,-9.0, None, None,2019-11-25 11:00:00, None,47
None,-2.983,60.47, None, None, None, None, None,-9.0, None, None,2019-11-25 12:00:00, None,47
None,-2.363,60.01, None, None, None, None, None,-8.0, None, None,2019-11-25 13:00:00, None,47
None,-2.279,61.51, None, None, None, None, None,-8.0, None, None,2019-11-25 14:00:00, None,47
None,-2.84,63.66, None, None, None, None, None,-8.0, None, None,2019-11-25 15:00:00, None,47
None,-4.742,70.93, None, None, None, None, None,-9.0, None, None,2019-11-25 16:00:00, None,47
None,-5.85,73.39, None, None, None, None, None,-10.0, None, None,2019-11-25 17:00:00, None,47
None,-7.385,76.68, None, None, None, None, None,-10.0, None, None,2019-11-25 18:00:00, None,47
None,-7.614,80.6, None, None, None, None, None,-10.0, None, None,2019-11-25 19:00:00, None,47
None,-7.418,80.4, None, None, None, None, None,-10.0, None, None,2019-11-25 20:00:00, None,47
None,-7.766,81.6, None, None, None, None, None,-10.0, None, None,2019-11-25 21:00:00, None,47
None,-8.1,82.0, None, None, None, None, None,-10.0, None, None,2019-11-25 22:00:00, None,47
None,-8.22,82.8, None, None, None, None, None,-10.0, None, None,2019-11-25 23:00:00, None,47
