pcpn_amt_pst24hrs,air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,HEIGHT_OF_SNOW,time,snw_dpth,dwpt_temp,week_of_year
None, None,-1.317, None, None, None, None, None, None,2019-11-21 16:00:00, None, None,47
None, None,-2.055, None, None, None, None, None, None,2019-11-21 17:00:00, None, None,47
None, None,-2.516, None, None, None, None, None, None,2019-11-21 18:00:00, None, None,47
None, None,-1.995, None, None, None, None, None, None,2019-11-21 19:00:00, None, None,47
None, None,-1.11, None, None, None, None, None, None,2019-11-21 20:00:00, None, None,47
None, None,-0.955, None, None, None, None, None, None,2019-11-21 21:00:00, None, None,47
None, None,-0.81, None, None, None, None, None, None,2019-11-21 22:00:00, None, None,47
None, None,-0.807, None, None, None, None, None, None,2019-11-21 23:00:00, None, None,47
None, None,-0.843, None, None, None, None, None, None,2019-11-22 00:00:00, None, None,47
None, None,-0.784, None, None, None, None, None, None,2019-11-22 01:00:00, None, None,47
None, None,-0.647, None, None, None, None, None, None,2019-11-22 02:00:00, None, None,47
None, None,-0.39, None, None, None, None, None, None,2019-11-22 03:00:00, None, None,47
None, None,-0.214, None, None, None, None, None, None,2019-11-22 04:00:00, None, None,47
None, None,-0.29, None, None, None, None, None, None,2019-11-22 05:00:00, None, None,47
None, None,-0.232, None, None, None, None, None, None,2019-11-22 06:00:00, None, None,47
None, None,-0.222, None, None, None, None, None, None,2019-11-22 07:00:00, None, None,47
None, None,-0.168, None, None, None, None, None, None,2019-11-22 08:00:00, None, None,47
None, None,0.141, None, None, None, None, None, None,2019-11-22 09:00:00, None, None,47
None, None,0.49, None, None, None, None, None, None,2019-11-22 10:00:00, None, None,47
None, None,0.958, None, None, None, None, None, None,2019-11-22 11:00:00, None, None,47
None, None,1.373, None, None, None, None, None, None,2019-11-22 12:00:00, None, None,47
None, None,1.875, None, None, None, None, None, None,2019-11-22 13:00:00, None, None,47
None, None,1.921, None, None, None, None, None, None,2019-11-22 14:00:00, None, None,47
None, None,1.72, None, None, None, None, None, None,2019-11-22 15:00:00, None, None,47
None, None,1.028, None, None, None, None, None, None,2019-11-22 16:00:00, None, None,47
None, None,0.86, None, None, None, None, None, None,2019-11-22 17:00:00, None, None,47
None, None,0.88, None, None, None, None, None, None,2019-11-22 18:00:00, None, None,47
None, None,0.972, None, None, None, None, None, None,2019-11-22 19:00:00, None, None,47
None, None,0.71, None, None, None, None, None, None,2019-11-22 20:00:00, None, None,47
None, None,0.971, None, None, None, None, None, None,2019-11-22 21:00:00, None, None,47
None, None,2.074, None, None, None, None, None, None,2019-11-22 22:00:00, None, None,47
None, None,2.311, None, None, None, None, None, None,2019-11-22 23:00:00, None, None,47
None, None,2.067, None, None, None, None, None, None,2019-11-23 00:00:00, None, None,47
None, None,0.242, None, None, None, None, None, None,2019-11-23 01:00:00, None, None,47
None, None,0.462, None, None, None, None, None, None,2019-11-23 02:00:00, None, None,47
None, None,0.549, None, None, None, None, None, None,2019-11-23 03:00:00, None, None,47
None, None,0.573, None, None, None, None, None, None,2019-11-23 04:00:00, None, None,47
None, None,0.516, None, None, None, None, None, None,2019-11-23 05:00:00, None, None,47
None, None,0.621, None, None, None, None, None, None,2019-11-23 06:00:00, None, None,47
None, None,0.725, None, None, None, None, None, None,2019-11-23 07:00:00, None, None,47
None, None,0.57, None, None, None, None, None, None,2019-11-23 08:00:00, None, None,47
None, None,0.938, None, None, None, None, None, None,2019-11-23 09:00:00, None, None,47
None, None,1.113, None, None, None, None, None, None,2019-11-23 10:00:00, None, None,47
None, None,1.286, None, None, None, None, None, None,2019-11-23 11:00:00, None, None,47
None, None,1.473, None, None, None, None, None, None,2019-11-23 12:00:00, None, None,47
None, None,1.45, None, None, None, None, None, None,2019-11-23 13:00:00, None, None,47
None, None,1.577, None, None, None, None, None, None,2019-11-23 14:00:00, None, None,47
None, None,1.618, None, None, None, None, None, None,2019-11-23 15:00:00, None, None,47
None, None,0.666, None, None, None, None, None, None,2019-11-23 16:00:00, None, None,47
None, None,0.721, None, None, None, None, None, None,2019-11-23 17:00:00, None, None,47
None, None,0.592, None, None, None, None, None, None,2019-11-23 18:00:00, None, None,47
None, None,0.95, None, None, None, None, None, None,2019-11-23 19:00:00, None, None,47
None, None,0.885, None, None, None, None, None, None,2019-11-23 20:00:00, None, None,47
None, None,1.155, None, None, None, None, None, None,2019-11-23 21:00:00, None, None,47
None, None,1.618, None, None, None, None, None, None,2019-11-23 22:00:00, None, None,47
None, None,1.151, None, None, None, None, None, None,2019-11-23 23:00:00, None, None,47
None, None,1.143, None, None, None, None, None, None,2019-11-24 00:00:00, None, None,47
None, None,1.242, None, None, None, None, None, None,2019-11-24 01:00:00, None, None,47
None, None,1.37, None, None, None, None, None, None,2019-11-24 02:00:00, None, None,47
None, None,1.36, None, None, None, None, None, None,2019-11-24 03:00:00, None, None,47
None, None,1.03, None, None, None, None, None, None,2019-11-24 04:00:00, None, None,47
None, None,0.493, None, None, None, None, None, None,2019-11-24 05:00:00, None, None,47
None, None,0.429, None, None, None, None, None, None,2019-11-24 06:00:00, None, None,47
None, None,1.032, None, None, None, None, None, None,2019-11-24 07:00:00, None, None,47
None, None,2.916, None, None, None, None, None, None,2019-11-24 10:00:00, None, None,47
None, None,4.103, None, None, None, None, None, None,2019-11-24 11:00:00, None, None,47
None, None,7.403, None, None, None, None, None, None,2019-11-24 12:00:00, None, None,47
None, None,4.92, None, None, None, None, None, None,2019-11-24 13:00:00, None, None,47
None, None,3.905, None, None, None, None, None, None,2019-11-24 14:00:00, None, None,47
None, None,3.439, None, None, None, None, None, None,2019-11-24 15:00:00, None, None,47
None, None,1.487, None, None, None, None, None, None,2019-11-24 16:00:00, None, None,47
None, None,0.578, None, None, None, None, None, None,2019-11-24 17:00:00, None, None,47
None, None,0.24, None, None, None, None, None, None,2019-11-24 18:00:00, None, None,47
None, None,-0.928, None, None, None, None, None, None,2019-11-24 19:00:00, None, None,47
None, None,-0.794, None, None, None, None, None, None,2019-11-24 20:00:00, None, None,47
None, None,-0.457, None, None, None, None, None, None,2019-11-24 21:00:00, None, None,47
None, None,0.11, None, None, None, None, None, None,2019-11-24 22:00:00, None, None,47
None, None,-0.052, None, None, None, None, None, None,2019-11-24 23:00:00, None, None,47
None, None,-0.178, None, None, None, None, None, None,2019-11-25 00:00:00, None, None,47
None, None,-0.176, None, None, None, None, None, None,2019-11-25 01:00:00, None, None,47
None, None,-0.184, None, None, None, None, None, None,2019-11-25 02:00:00, None, None,47
None, None,-0.127, None, None, None, None, None, None,2019-11-25 03:00:00, None, None,47
None, None,-0.273, None, None, None, None, None, None,2019-11-25 04:00:00, None, None,47
None, None,-0.29, None, None, None, None, None, None,2019-11-25 05:00:00, None, None,47
None, None,-0.624, None, None, None, None, None, None,2019-11-25 06:00:00, None, None,47
None, None,-1.031, None, None, None, None, None, None,2019-11-25 07:00:00, None, None,47
None, None,-1.638, None, None, None, None, None, None,2019-11-25 08:00:00, None, None,47
None, None,-0.662, None, None, None, None, None, None,2019-11-25 09:00:00, None, None,47
None, None,1.607, None, None, None, None, None, None,2019-11-25 10:00:00, None, None,47
None, None,1.165, None, None, None, None, None, None,2019-11-25 11:00:00, None, None,47
None, None,2.236, None, None, None, None, None, None,2019-11-25 12:00:00, None, None,47
None, None,2.207, None, None, None, None, None, None,2019-11-25 13:00:00, None, None,47
None, None,2.962, None, None, None, None, None, None,2019-11-25 14:00:00, None, None,47
None, None,2.499, None, None, None, None, None, None,2019-11-25 15:00:00, None, None,47
None, None,1.037, None, None, None, None, None, None,2019-11-25 16:00:00, None, None,47
None, None,0.408, None, None, None, None, None, None,2019-11-25 17:00:00, None, None,47
None, None,-0.472, None, None, None, None, None, None,2019-11-25 18:00:00, None, None,47
None, None,-0.75, None, None, None, None, None, None,2019-11-25 19:00:00, None, None,47
None, None,-1.608, None, None, None, None, None, None,2019-11-25 20:00:00, None, None,47
None, None,-2.458, None, None, None, None, None, None,2019-11-25 21:00:00, None, None,47
None, None,-2.754, None, None, None, None, None, None,2019-11-25 22:00:00, None, None,47
None, None,-2.646, None, None, None, None, None, None,2019-11-25 23:00:00, None, None,47
