AirTemperature,Precipitation,Rain,WindSpeed,time,WindDirection,RelativeHumidity,week_of_year
None, None,0.0, None,2019-07-23 13:00:00, None, 3.0,30
None, None,0.0, None,2019-07-23 13:15:00, None, 3.0,30
None, None,0.0, None,2019-07-23 13:30:00, None, 3.0,30
None, None,0.0, None,2019-07-23 13:45:00, None, 3.0,30
None, 0.0,0.0, None,2019-07-23 14:00:00, None, 3.0,30
None, None,0.0, None,2019-07-23 14:15:00, None, 3.0,30
None, None,0.0, None,2019-07-23 14:30:00, None, 3.0,30
None, None,0.0, None,2019-07-23 14:45:00, None, 3.0,30
None, 0.0,0.0, None,2019-07-23 15:00:00, None, 3.0,30
None, None,0.0, None,2019-07-23 15:15:00, None, 3.0,30
None, None,0.0, None,2019-07-23 15:30:00, None, 3.0,30
None, None,0.0, None,2019-07-23 15:45:00, None, 3.0,30
None, 0.0,0.0, None,2019-07-23 16:00:00, None, 3.0,30
None, None,0.0, None,2019-07-23 16:15:00, None, 3.0,30
None, None,0.0, None,2019-07-23 16:30:00, None, 3.0,30
None, None,0.0, None,2019-07-23 16:45:00, None, 3.0,30
None, 0.0,0.0, None,2019-07-23 17:00:00, None, 3.0,30
None, None,0.0, None,2019-07-23 17:15:00, None, 3.0,30
None, None,0.0, None,2019-07-23 17:30:00, None, 3.0,30
None, None,0.0, None,2019-07-23 17:45:00, None, 3.0,30
None, 0.0,0.0, None,2019-07-23 18:00:00, None, 3.0,30
None, None,0.0, None,2019-07-23 18:15:00, None, 3.0,30
None, None,0.0, None,2019-07-23 18:30:00, None, 3.0,30
None, None,0.0, None,2019-07-23 18:45:00, None, 3.0,30
None, 0.0,0.0, None,2019-07-23 19:00:00, None, 3.0,30
None, None,0.0, None,2019-07-23 19:15:00, None, 3.0,30
None, None,0.0, None,2019-07-23 19:30:00, None, 3.0,30
None, None,0.0, None,2019-07-23 19:45:00, None, 3.0,30
None, 0.0,0.0, None,2019-07-23 20:00:00, None, 3.0,30
None, None,0.0, None,2019-07-23 20:15:00, None, 3.0,30
None, None,0.0, None,2019-07-23 20:30:00, None, 3.0,30
None, None,0.0, None,2019-07-23 20:45:00, None, 3.0,30
None, 0.0,0.0, None,2019-07-23 21:00:00, None, 3.0,30
None, None,0.0, None,2019-07-23 21:15:00, None, 3.0,30
None, None,0.0, None,2019-07-23 21:30:00, None, 3.0,30
None, None,0.0, None,2019-07-23 21:45:00, None, 3.0,30
None, 0.0,0.0, None,2019-07-23 22:00:00, None, 3.0,30
None, None,0.0, None,2019-07-23 22:15:00, None, 3.0,30
None, None,0.0, None,2019-07-23 22:30:00, None, 3.0,30
None, None,0.0, None,2019-07-23 22:45:00, None, 3.0,30
None, 0.0,0.0, None,2019-07-23 23:00:00, None, 3.0,30
None, None,0.0, None,2019-07-23 23:15:00, None, 3.0,30
None, None,0.0, None,2019-07-23 23:30:00, None, 3.0,30
None, None,0.0, None,2019-07-23 23:45:00, None, 3.0,30
None, 0.0,0.0, None,2019-07-24 00:00:00, None, 3.0,30
None, None,0.0, None,2019-07-24 00:15:00, None, 3.0,30
None, None,0.0, None,2019-07-24 00:30:00, None, 3.0,30
None, None,0.0, None,2019-07-24 00:45:00, None, 3.0,30
None, 0.0,0.0, None,2019-07-24 01:00:00, None, 3.0,30
None, None,0.0, None,2019-07-24 01:15:00, None, 3.0,30
None, None,0.0, None,2019-07-24 01:30:00, None, 3.0,30
None, None,0.0, None,2019-07-24 01:45:00, None, 3.0,30
None, 0.0,0.0, None,2019-07-24 02:00:00, None, 3.0,30
None, None,0.0, None,2019-07-24 02:15:00, None, 3.0,30
None, None,0.0, None,2019-07-24 02:30:00, None, 3.0,30
None, None,0.0, None,2019-07-24 02:45:00, None, 3.0,30
None, 0.0,0.0, None,2019-07-24 03:00:00, None, 3.0,30
None, None,0.0, None,2019-07-24 03:15:00, None, 3.0,30
None, None,0.0, None,2019-07-24 03:30:00, None, 3.0,30
None, None,0.0, None,2019-07-24 03:45:00, None, 3.0,30
None, 0.0,0.0, None,2019-07-24 04:00:00, None, 3.0,30
None, None,0.0, None,2019-07-24 04:15:00, None, 3.0,30
None, None,0.0, None,2019-07-24 04:30:00, None, 3.0,30
None, None,0.0, None,2019-07-24 04:45:00, None, 3.0,30
None, 0.0,0.0, None,2019-07-24 05:00:00, None, 3.0,30
None, None,0.0, None,2019-07-24 05:15:00, None, 3.0,30
None, None,0.0, None,2019-07-24 05:30:00, None, 3.0,30
None, None,0.0, None,2019-07-24 05:45:00, None, 3.0,30
