air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,HEIGHT_OF_SNOW,time,snw_dpth,dwpt_temp,stn_pres,week_of_year
None,1.117, None, None, None, None, 128.42,2018-01-02 08:00:00, None, None, None,1
None,1.247, None, None, None, None, 128.15,2018-01-02 09:00:00, None, None, None,1
None,0.866, None, None, None, None, 127.85,2018-01-02 10:00:00, None, None, None,1
None,2.059, None, None, None, None, 128.22,2018-01-02 11:00:00, None, None, None,1
None,2.265, None, None, None, None, 128.13,2018-01-02 12:00:00, None, None, None,1
None,2.395, None, None, None, None, 127.82,2018-01-02 13:00:00, None, None, None,1
None,2.488, None, None, None, None, 127.82,2018-01-02 14:00:00, None, None, None,1
None,4.482, None, None, None, None, 127.74,2018-01-02 15:00:00, None, None, None,1
None,4.162, None, None, None, None, 127.64,2018-01-02 16:00:00, None, None, None,1
None,3.124, None, None, None, None, 126.1,2018-01-02 17:00:00, None, None, None,1
None,2.207, None, None, None, None, 125.96,2018-01-02 18:00:00, None, None, None,1
None,3.498, None, None, None, None, 126.17,2018-01-02 19:00:00, None, None, None,1
None,4.095, None, None, None, None, 126.28,2018-01-02 20:00:00, None, None, None,1
None,3.881, None, None, None, None, 127.25,2018-01-02 21:00:00, None, None, None,1
None,4.313, None, None, None, None, 127.97,2018-01-02 22:00:00, None, None, None,1
None,2.592, None, None, None, None, 128.63,2018-01-02 23:00:00, None, None, None,1
None,4.078, None, None, None, None, 128.55,2018-01-03 00:00:00, None, None, None,1
None,2.135, None, None, None, None, 128.22,2018-01-03 01:00:00, None, None, None,1
None,4.078, None, None, None, None, 128.4,2018-01-03 02:00:00, None, None, None,1
None,3.638, None, None, None, None, 128.44,2018-01-03 03:00:00, None, None, None,1
None,4.293, None, None, None, None, 128.45,2018-01-03 04:00:00, None, None, None,1
None,2.741, None, None, None, None, 128.23,2018-01-03 05:00:00, None, None, None,1
None,3.189, None, None, None, None, 128.32,2018-01-03 06:00:00, None, None, None,1
None,4.114, None, None, None, None, 128.04,2018-01-03 07:00:00, None, None, None,1
None,3.563, None, None, None, None, 127.67,2018-01-03 08:00:00, None, None, None,1
None,3.199, None, None, None, None, 128.06,2018-01-03 09:00:00, None, None, None,1
None,4.031, None, None, None, None, 128.01,2018-01-03 10:00:00, None, None, None,1
None,4.575, None, None, None, None, 127.23,2018-01-03 11:00:00, None, None, None,1
None,3.592, None, None, None, None, 126.8,2018-01-03 12:00:00, None, None, None,1
None,5.129, None, None, None, None, 128.17,2018-01-03 13:00:00, None, None, None,1
None,6.43, None, None, None, None, 126.8,2018-01-03 14:00:00, None, None, None,1
None,6.402, None, None, None, None, 125.71,2018-01-03 15:00:00, None, None, None,1
