pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,time,max_air_temp_snc_last_reset,MINIMUM_AIR_TEMPERATURE,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,MAXIMUM_AIR_TEMPERATURE,PRECIPITATION_NEW,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, None,-9.39, None,2018-01-02 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.96,1
None, None,-9.1, None,2018-01-02 09:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.76,1
None, None,-8.51, None,2018-01-02 10:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.84,1
None, None,-8.07, None,2018-01-02 11:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.81,1
None, None,-7.3, None,2018-01-02 12:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.88,1
None, None,-6.591, None,2018-01-02 13:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.93,1
None, None,-6.101, None,2018-01-02 14:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.85,1
None, None,-6.796, None,2018-01-02 15:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.82,1
None, None,-6.805, None,2018-01-02 16:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.74,1
None, None,-6.583, None,2018-01-02 17:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.74,1
None, None,-6.951, None,2018-01-02 18:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.67,1
None, None,-7.04, None,2018-01-02 19:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.65,1
None, None,-6.794, None,2018-01-02 20:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.64,1
None, None,-6.735, None,2018-01-02 21:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.62,1
None, None,-6.649, None,2018-01-02 22:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.63,1
None, None,-6.523, None,2018-01-02 23:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.64,1
None, None,-6.495, None,2018-01-03 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.53,1
None, None,-6.678, None,2018-01-03 01:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.27,1
None, None,-6.891, None,2018-01-03 02:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.25,1
None, None,-6.109, None,2018-01-03 03:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.21,1
None, None,-6.34, None,2018-01-03 04:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.28,1
None, None,-6.11, None,2018-01-03 05:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.24,1
None, None,-6.177, None,2018-01-03 06:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.5,1
None, None,-6.159, None,2018-01-03 07:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.86,1
None, None,-5.995, None,2018-01-03 08:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.73,1
None, None,-5.42, None,2018-01-03 09:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.76,1
None, None,-5.009, None,2018-01-03 10:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.56,1
None, None,-4.927, None,2018-01-03 11:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.52,1
None, None,-4.643, None,2018-01-03 12:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.42,1
None, None,-3.6, None,2018-01-03 13:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.4,1
None, None,-3.629, None,2018-01-03 14:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.43,1
None, None,-3.913, None,2018-01-03 15:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.43,1
None, None,-4.443, None,2018-01-03 16:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.42,1
None, None,-4.225, None,2018-01-03 17:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.36,1
None, None,-4.576, None,2018-01-03 18:00:00, None, None, None, None, None, None, None, None, None, None, None, 29.49,1
None, None,-4.776, None,2018-01-03 19:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.26,1
None, None,-4.377, None,2018-01-03 20:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.26,1
None, None,-4.356, None,2018-01-03 21:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.6,1
None, None,-3.761, None,2018-01-03 22:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.64,1
None, None,-3.742, None,2018-01-03 23:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.55,1
None, None,-3.515, None,2018-01-04 00:00:00, None, None, None, None, None, None, None, None, None, None, None, 30.29,1
None, None,-3.563, None,2018-01-04 01:00:00, None, None, None, None, None, None, None, None, None, None, None, 31.33,1
