CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, 0.45, 59.49, None, None, None, None, 9.45, None, 23.34, 191.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-02 08:00:00, None, None,1
None, 1.584, 59.5, None, None, None, None, 10.3, None, 22.34, 191.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-02 09:00:00, None, None,1
None, 1.868, 58.39, None, None, None, None, 8.58, None, 20.98, 198.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-02 10:00:00, None, None,1
None, 2.775, 54.84, None, None, None, None, 13.2, None, 16.16, 205.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-02 11:00:00, None, None,1
None, 4.529, 53.73, None, None, None, None, 19.45, None, 8.51, 200.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-02 12:00:00, None, None,1
None, 5.987, 52.14, None, None, None, None, 18.56, None, 6.636, 230.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-02 13:00:00, None, None,1
None, 6.346, 51.67, None, None, None, None, 23.58, None, 5.128, 207.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-02 14:00:00, None, None,1
None, 5.55, 53.8, None, None, None, None, 35.06, None, 5.512, 188.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-02 15:00:00, None, None,1
None, 6.286, 51.79, None, None, None, None, 28.08, None, 3.827, 194.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-02 16:00:00, None, None,1
None, 5.107, 53.41, None, None, None, None, 23.0, None, 7.507, 182.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-02 17:00:00, None, None,1
None, 6.193, 51.47, None, None, None, None, 45.32, None, 1.652, 257.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-02 18:00:00, None, None,1
None, 5.586, 47.74, None, None, None, None, 22.1, None, 7.981, 354.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-02 19:00:00, None, None,1
None, 4.904, 47.7, None, None, None, None, 31.26, None, 13.24, 315.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-02 20:00:00, None, None,1
None, 5.15, 48.53, None, None, None, None, 13.68, None, 18.73, 315.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-02 21:00:00, None, None,1
None, 3.943, 51.83, None, None, None, None, 20.96, None, 14.91, 326.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-02 22:00:00, None, None,1
None, 3.762, 52.2, None, None, None, None, 17.82, None, 11.97, 349.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-02 23:00:00, None, None,1
None, 3.946, 55.53, None, None, None, None, 21.0, None, 8.76, 357.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 00:00:00, None, None,1
None, 3.46, 56.9, None, None, None, None, 15.18, None, 9.14, 334.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 01:00:00, None, None,1
None, 3.266, 55.68, None, None, None, None, 21.07, None, 10.61, 25.98, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 02:00:00, None, None,1
None, 3.133, 46.06, None, None, None, None, 3.226, None, 11.02, 39.72, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 03:00:00, None, None,1
None, 3.05, 38.82, None, None, None, None, 5.537, None, 10.62, 42.82, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 04:00:00, None, None,1
None, 3.194, 36.15, None, None, None, None, 6.553, None, 6.367, 23.44, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 05:00:00, None, None,1
None, 3.05, 39.29, None, None, None, None, 7.062, None, 6.24, 36.32, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 06:00:00, None, None,1
None, 3.154, 41.72, None, None, None, None, 16.02, None, 3.68, 18.91, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 07:00:00, None, None,1
None, 3.114, 39.76, None, None, None, None, 64.11, None, 2.485, 253.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 08:00:00, None, None,1
None, 3.715, 40.11, None, None, None, None, 19.39, None, 4.071, 189.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 09:00:00, None, None,1
None, 3.534, 45.07, None, None, None, None, 9.08, None, 10.56, 195.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 10:00:00, None, None,1
None, 2.988, 51.99, None, None, None, None, 8.47, None, 18.39, 209.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 11:00:00, None, None,1
None, 3.055, 54.33, None, None, None, None, 6.135, None, 20.19, 200.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 12:00:00, None, None,1
None, 3.645, 53.31, None, None, None, None, 11.25, None, 15.14, 199.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 13:00:00, None, None,1
None, 3.935, 52.59, None, None, None, None, 8.36, None, 22.36, 207.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 14:00:00, None, None,1
None, 3.788, 52.36, None, None, None, None, 8.93, None, 20.85, 208.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 15:00:00, None, None,1
None, 3.201, 58.86, None, None, None, None, 12.61, None, 16.94, 203.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 16:00:00, None, None,1
None, 3.278, 56.56, None, None, None, None, 8.23, None, 22.69, 208.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 17:00:00, None, None,1
None, 2.231, 60.81, None, None, None, None, 9.03, None, 24.64, 210.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 18:00:00, None, None,1
None, 1.151, 63.45, None, None, None, None, 8.94, None, 23.72, 203.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 19:00:00, None, None,1
None, 1.168, 62.05, None, None, None, None, 12.16, None, 23.13, 205.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 20:00:00, None, None,1
None, 2.157, 57.63, None, None, None, None, 12.04, None, 20.96, 210.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 21:00:00, None, None,1
None, 0.918, 63.6, None, None, None, None, 7.525, None, 22.78, 220.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 22:00:00, None, None,1
None, 0.966, 62.16, None, None, None, None, 8.82, None, 20.21, 214.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-03 23:00:00, None, None,1
None, 1.2, 61.26, None, None, None, None, 8.06, None, 16.5, 202.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 00:00:00, None, None,1
None, 1.363, 59.89, None, None, None, None, 8.29, None, 11.77, 198.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 01:00:00, None, None,1
None, 1.822, 58.97, None, None, None, None, 10.62, None, 7.014, 192.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 02:00:00, None, None,1
None, 2.968, 52.69, None, None, None, None, 13.28, None, 7.646, 191.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 03:00:00, None, None,1
None, 3.207, 51.28, None, None, None, None, 22.66, None, 6.364, 213.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 04:00:00, None, None,1
None, 3.57, 49.02, None, None, None, None, 19.32, None, 4.528, 251.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 05:00:00, None, None,1
None, 4.83, 46.11, None, None, None, None, 16.8, None, 3.488, 271.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 06:00:00, None, None,1
None, 5.178, 46.22, None, None, None, None, 16.7, None, 3.341, 287.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 07:00:00, None, None,1
None, 5.371, 51.1, None, None, None, None, 25.25, None, 3.825, 292.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 08:00:00, None, None,1
None, 5.858, 48.47, None, None, None, None, 17.45, None, 4.46, 274.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 09:00:00, None, None,1
None, 5.337, 53.66, None, None, None, None, 10.09, None, 5.974, 232.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 10:00:00, None, None,1
None, 5.453, 55.9, None, None, None, None, 9.54, None, 8.4, 234.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 11:00:00, None, None,1
None, 6.155, 53.35, None, None, None, None, 23.62, None, 5.023, 245.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 12:00:00, None, None,1
None, 4.452, 62.12, None, None, None, None, 26.6, None, 6.284, 333.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 13:00:00, None, None,1
None, 3.346, 65.96, None, None, None, None, 4.925, None, 14.88, 336.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 14:00:00, None, None,1
None, 3.126, 65.18, None, None, None, None, 9.4, None, 11.78, 339.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 15:00:00, None, None,1
None, 3.803, 58.19, None, None, None, None, 15.87, None, 11.25, 2.057, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 16:00:00, None, None,1
None, 3.478, 59.23, None, None, None, None, 16.66, None, 9.58, 17.44, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 17:00:00, None, None,1
None, 3.472, 64.42, None, None, None, None, 14.11, None, 11.58, 27.23, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 18:00:00, None, None,1
None, 3.197, 70.04, None, None, None, None, 9.36, None, 16.82, 332.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 19:00:00, None, None,1
None, 2.769, 70.29, None, None, None, None, 7.18, None, 15.46, 324.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 20:00:00, None, None,1
None, 2.738, 70.05, None, None, None, None, 6.489, None, 15.17, 325.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-04 21:00:00, None, None,1
