pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, None,0.444, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None, None,2017-04-23 00:00:00, None, None, None, None,17
None, None,0.55, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1.0, None, None, None, None, None,2017-04-23 01:00:00, None, None, None, None,17
None, None,0.166, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None, None,2017-04-23 02:00:00, None, None, None, None,17
None, None,0.015, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None, None,2017-04-23 03:00:00, None, None, None, None,17
None, None,-0.003, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None, None,2017-04-23 04:00:00, None, None, None, None,17
None, None,-0.041, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None, None,2017-04-23 05:00:00, None, None, None, None,17
None, None,-0.05, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None, None,2017-04-23 06:00:00, None, None, None, None,17
None, None,-0.069, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None, None,2017-04-23 07:00:00, None, None, None, None,17
None, None,1.337, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1.0, None, None, None, None, None,2017-04-23 08:00:00, None, None, None, None,17
None, None,2.402, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2.0, None, None, None, None, None,2017-04-23 09:00:00, None, None, None, None,17
