WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,time,avg_air_temp_pst1hr,week_of_year
None, None, 4.685, None,2017-01-01 01:00:00, -8.56,1
None, None, 4.047, None,2017-01-01 02:00:00, -9.57,1
None, None, 4.833, None,2017-01-01 03:00:00, -9.98,1
None, None, 5.094, None,2017-01-01 04:00:00, -10.31,1
None, None, 4.946, None,2017-01-01 05:00:00, -10.58,1
None, None, 4.295, None,2017-01-01 06:00:00, -10.83,1
None, None, 4.428, None,2017-01-01 07:00:00, -11.03,1
None, None, 3.964, None,2017-01-01 08:00:00, -11.38,1
None, None, 4.752, None,2017-01-01 09:00:00, -11.4,1
None, None, 4.147, None,2017-01-01 10:00:00, -11.22,1
None, None, 4.625, None,2017-01-01 11:00:00, -10.38,1
None, None, 3.743, None,2017-01-01 12:00:00, -9.52,1
None, None, 3.574, None,2017-01-01 13:00:00, -8.95,1
None, None, 3.785, None,2017-01-01 14:00:00, -8.36,1
None, None, 3.217, None,2017-01-01 15:00:00, -8.53,1
None, None, 2.152, None,2017-01-01 16:00:00, -9.1,1
None, None, 1.874, None,2017-01-01 17:00:00, -10.62,1
None, None, 0.917999, None,2017-01-01 18:00:00, -11.84,1
None, None, 1.952, None,2017-01-01 19:00:00, -11.92,1
None, None, 1.188, None,2017-01-01 20:00:00, -12.51,1
None, None, 1.328, None,2017-01-01 21:00:00, -12.91,1
None, None, 1.473, None,2017-01-01 22:00:00, -13.95,1
None, None, 1.255, None,2017-01-01 23:00:00, -15.03,1
None, None, 1.463, None,2017-01-02 00:00:00, -15.42,1
None, None, 1.656, None,2017-01-02 01:00:00, -15.86,1
None, None, 1.549, None,2017-01-02 02:00:00, -15.19,1
None, None, 1.109, None,2017-01-02 03:00:00, -14.87,1
None, None, 0.740998, None,2017-01-02 04:00:00, -15.44,1
None, None, 1.076, None,2017-01-02 05:00:00, -16.66,1
None, None, 1.215, None,2017-01-02 06:00:00, -17.47,1
None, None, 0.839999, None,2017-01-02 07:00:00, -18.06,1
None, None, 1.34, None,2017-01-02 08:00:00, -17.57,1
None, None, 1.804, None,2017-01-02 09:00:00, -17.87,1
None, None, 1.532, None,2017-01-02 10:00:00, -16.89,1
None, None, 1.33, None,2017-01-02 11:00:00, -15.41,1
None, None, 1.237, None,2017-01-02 12:00:00, -14.02,1
None, None, 2.056, None,2017-01-02 13:00:00, -12.78,1
None, None, 1.103, None,2017-01-02 14:00:00, -12.09,1
None, None, 1.205, None,2017-01-02 15:00:00, -12.08,1
None, None, 1.013, None,2017-01-02 16:00:00, -12.53,1
None, None, 0.68, None,2017-01-02 17:00:00, -13.91,1
None, None, 0.866998, None,2017-01-02 18:00:00, -14.41,1
None, None, 0.771, None,2017-01-02 19:00:00, -14.64,1
None, None, 0.465, None,2017-01-02 20:00:00, -14.93,1
None, None, 0.474, None,2017-01-02 21:00:00, -15.36,1
None, None, 0.196998, None,2017-01-02 22:00:00, -14.99,1
None, None, 0.279, None,2017-01-02 23:00:00, -16.3,1
None, None, 0.777, None,2017-01-03 00:00:00, -16.75,1
None, None, 1.531, None,2017-01-03 01:00:00, -17.43,1
None, None, 1.718, None,2017-01-03 02:00:00, -17.99,1
None, None, 1.137, None,2017-01-03 03:00:00, -17.42,1
None, None, 1.346, None,2017-01-03 04:00:00, -17.32,1
None, None, 1.247, None,2017-01-03 05:00:00, -17.7,1
None, None, 1.578, None,2017-01-03 06:00:00, -17.83,1
None, None, 1.536, None,2017-01-03 07:00:00, -17.52,1
None, None, 1.434, None,2017-01-03 08:00:00, -17.57,1
None, None, 1.2, None,2017-01-03 09:00:00, -17.65,1
None, None, 0.734, None,2017-01-03 10:00:00, -17.43,1
None, None, 0.855, None,2017-01-03 11:00:00, -16.85,1
None, None, 1.226, None,2017-01-03 12:00:00, -15.73,1
None, None, 1.449, None,2017-01-03 13:00:00, -15.05,1
None, None, 1.75, None,2017-01-03 14:00:00, -14.92,1
None, None, 1.089, None,2017-01-03 15:00:00, -14.63,1
None, None, 0.368999, None,2017-01-03 16:00:00, -14.25,1
None, None, 0.794, None,2017-01-03 17:00:00, -14.78,1
None, None, 0.597, None,2017-01-03 18:00:00, -15.82,1
None, None, 0.762, None,2017-01-03 19:00:00, -16.26,1
None, None, 0.902, None,2017-01-03 20:00:00, -16.32,1
None, None, 1.046, None,2017-01-03 21:00:00, -16.19,1
None, None, 0.749, None,2017-01-03 22:00:00, -16.23,1
None, None, 0.549, None,2017-01-03 23:00:00, -16.13,1
None, None, 0.3, None,2017-01-04 00:00:00, -16.09,1
None, None, 0.574998, None,2017-01-04 01:00:00, -16.01,1
None, None, 0.68, None,2017-01-04 02:00:00, -15.98,1
None, None, 0.665, None,2017-01-04 03:00:00, -15.91,1
None, None, 0.898, None,2017-01-04 04:00:00, -15.85,1
None, None, 0.693, None,2017-01-04 05:00:00, -15.92,1
None, None, 0.361, None,2017-01-04 06:00:00, -15.73,1
None, None, 0.591, None,2017-01-04 07:00:00, -15.59,1
None, None, 0.523998, None,2017-01-04 08:00:00, -15.62,1
None, None, 0.672999, None,2017-01-04 09:00:00, -15.66,1
None, None, 0.748, None,2017-01-04 10:00:00, -15.56,1
None, None, 0.916, None,2017-01-04 11:00:00, -14.62,1
None, None, 0.504, None,2017-01-04 12:00:00, -13.35,1
None, None, 0.486, None,2017-01-04 13:00:00, -12.38,1
None, None, 0.517, None,2017-01-04 14:00:00, -11.94,1
None, None, 0.796998, None,2017-01-04 15:00:00, -12.06,1
None, None, 0.836, None,2017-01-04 16:00:00, -12.54,1
None, None, 0.537, None,2017-01-04 17:00:00, -12.83,1
None, None, 0.531, None,2017-01-04 18:00:00, -12.82,1
None, None, 0.587998, None,2017-01-04 19:00:00, -12.71,1
None, None, 0.634998, None,2017-01-04 20:00:00, -13.0,1
None, None, 0.616998, None,2017-01-04 21:00:00, -12.9,1
None, None, 0.75, None,2017-01-04 22:00:00, -12.76,1
None, None, 1.25, None,2017-01-04 23:00:00, -12.5,1
None, None, 1.058, None,2017-01-05 00:00:00, -12.41,1
None, None, 0.940998, None,2017-01-05 01:00:00, -12.67,1
None, None, 0.913999, None,2017-01-05 02:00:00, -12.54,1
None, None, 1.004, None,2017-01-05 03:00:00, -12.14,1
None, None, 0.754998, None,2017-01-05 04:00:00, -12.25,1
None, None, 0.967998, None,2017-01-05 05:00:00, -12.54,1
None, None, 0.649999, None,2017-01-05 06:00:00, -12.36,1
None, None, 0.898, None,2017-01-05 07:00:00, -12.13,1
None, None, 0.916998, None,2017-01-05 08:00:00, -12.15,1
None, None, 0.699998, None,2017-01-05 09:00:00, -13.25,1
None, None, 0.453, None,2017-01-05 10:00:00, -12.88,1
None, None, 0.742999, None,2017-01-05 11:00:00, -12.37,1
None, None, 0.977998, None,2017-01-05 12:00:00, -12.03,1
None, None, 1.163, None,2017-01-05 13:00:00, -11.82,1
None, None, 1.317, None,2017-01-05 14:00:00, -11.55,1
None, None, 1.139, None,2017-01-05 15:00:00, -11.4,1
None, None, 1.36, None,2017-01-05 16:00:00, -11.41,1
None, None, 1.525, None,2017-01-05 17:00:00, -11.58,1
None, None, 1.475, None,2017-01-05 18:00:00, -11.92,1
None, None, 1.442, None,2017-01-05 19:00:00, -11.99,1
None, None, 1.036, None,2017-01-05 20:00:00, -11.94,1
None, None, 0.836, None,2017-01-05 21:00:00, -11.86,1
None, None, 0.907998, None,2017-01-05 22:00:00, -11.79,1
