ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
None, 666.0, 944.0, None, None,2016-04-01 00:00:00, 10.1, None, None,14
None, 666.0, 944.0, None, None,2016-04-01 01:00:00, 9.0, None, None,14
None, 666.0, 944.0, None, None,2016-04-01 02:00:00, 8.5, None, None,14
None, 666.0, 944.0, None, None,2016-04-01 03:00:00, 7.7, None, None,14
None, 666.0, 944.0, None, None,2016-04-01 04:00:00, 7.5, None, None,14
None, 666.0, 944.0, None, None,2016-04-01 05:00:00, 7.1, None, None,14
None, 666.0, 944.0, None, None,2016-04-01 06:00:00, 6.6, None, None,14
None, 666.0, 944.0, None, None,2016-04-01 07:00:00, 6.2, None, None,14
None, 666.0, 944.0, None, None,2016-04-01 08:00:00, 5.8, None, None,14
None, 666.0, 944.0, None, None,2016-04-01 09:00:00, 5.5, None, None,14
None, 666.0, 944.0, None, None,2016-04-01 10:00:00, 5.3, None, None,14
None, 666.0, 944.0, None, None,2016-04-01 11:00:00, 4.8, None, None,14
None, 666.0, 945.0, None, None,2016-04-01 12:00:00, 4.6, None, None,14
None, 666.0, 945.0, None, None,2016-04-01 13:00:00, 4.2, None, None,14
None, 665.0, 945.0, None, None,2016-04-01 14:00:00, 8.8, None, None,14
None, 665.0, 943.0, None, None,2016-04-01 15:00:00, 10.5, None, None,14
None, 665.0, 941.0, 1009.0, None,2016-04-01 16:00:00, 11.5, None, None,14
None, 665.0, 941.0, None, None,2016-04-01 17:00:00, 12.7, None, None,14
None, 665.0, 941.0, None, None,2016-04-01 18:00:00, 13.3, None, None,14
None, 665.0, 941.0, None, None,2016-04-01 19:00:00, 12.7, None, None,14
None, 665.0, 941.0, None, None,2016-04-01 20:00:00, 12.0, None, None,14
None, 665.0, 941.0, None, None,2016-04-01 21:00:00, 10.9, None, None,14
None, 665.0, 942.0, None, None,2016-04-01 22:00:00, 10.2, None, None,14
None, 664.0, 942.0, None, None,2016-04-01 23:00:00, 10.6, None, None,14
None, 665.0, 942.0, None, None,2016-04-02 00:00:00, 8.4, None, None,14
None, 665.0, 942.0, None, None,2016-04-02 01:00:00, 8.0, None, None,14
None, 665.0, 942.0, None, None,2016-04-02 02:00:00, 6.7, None, None,14
None, 665.0, 942.0, None, None,2016-04-02 03:00:00, 6.4, None, None,14
None, 664.0, 942.0, None, None,2016-04-02 04:00:00, 6.0, None, None,14
None, 664.0, 942.0, None, None,2016-04-02 05:00:00, 6.1, None, None,14
None, 665.0, 942.0, None, None,2016-04-02 06:00:00, 5.5, None, None,14
None, 664.0, 942.0, None, None,2016-04-02 07:00:00, 4.7, None, None,14
None, 665.0, 942.0, None, None,2016-04-02 08:00:00, 4.8, None, None,14
None, 664.0, 941.0, None, None,2016-04-02 09:00:00, 4.2, None, None,14
None, 664.0, 941.0, None, None,2016-04-02 10:00:00, 4.4, None, None,14
None, 665.0, 941.0, None, None,2016-04-02 11:00:00, 4.1, None, None,14
None, 664.0, 941.0, None, None,2016-04-02 12:00:00, 4.2, None, None,14
None, 664.0, 942.0, None, None,2016-04-02 13:00:00, 4.1, None, None,14
None, 664.0, 941.0, None, None,2016-04-02 14:00:00, 4.3, None, None,14
None, 664.0, 941.0, None, None,2016-04-02 15:00:00, 6.6, None, None,14
None, 664.0, 941.0, 1003.0, None,2016-04-02 16:00:00, 6.3, None, None,14
None, 664.0, 941.0, None, None,2016-04-02 17:00:00, 8.2, None, None,14
None, 664.0, 941.0, None, None,2016-04-02 18:00:00, 8.5, None, None,14
None, 664.0, 941.0, None, None,2016-04-02 19:00:00, 8.3, None, None,14
None, 663.0, 941.0, None, None,2016-04-02 20:00:00, 9.8, None, None,14
None, 664.0, 941.0, None, None,2016-04-02 21:00:00, 8.4, None, None,14
None, 664.0, 941.0, None, None,2016-04-02 22:00:00, 7.3, None, None,14
None, 664.0, 942.0, None, None,2016-04-02 23:00:00, 6.5, None, None,14
None, 664.0, 942.0, None, None,2016-04-03 00:00:00, 5.9, None, None,14
None, 664.0, 941.0, None, None,2016-04-03 01:00:00, 5.6, None, None,14
None, 664.0, 941.0, None, None,2016-04-03 02:00:00, 5.0, None, None,14
None, 664.0, 942.0, None, None,2016-04-03 03:00:00, 3.1, None, None,14
None, 664.0, 942.0, None, None,2016-04-03 04:00:00, 3.2, None, None,14
None, 664.0, 941.0, None, None,2016-04-03 05:00:00, 3.0, None, None,14
None, 664.0, 941.0, None, None,2016-04-03 06:00:00, 3.0, None, None,14
None, 664.0, 941.0, None, None,2016-04-03 07:00:00, 2.4, None, None,14
None, 664.0, 941.0, None, None,2016-04-03 08:00:00, 2.5, None, None,14
None, 664.0, 941.0, None, None,2016-04-03 09:00:00, 2.1, None, None,14
None, 664.0, 941.0, None, None,2016-04-03 10:00:00, 2.2, None, None,14
None, 664.0, 941.0, None, None,2016-04-03 11:00:00, 0.9, None, None,14
None, 664.0, 941.0, None, None,2016-04-03 12:00:00, 0.8, None, None,14
None, 664.0, 941.0, None, None,2016-04-03 13:00:00, 0.6, None, None,14
None, 664.0, 941.0, None, None,2016-04-03 14:00:00, 2.8, None, None,14
None, 663.0, 941.0, None, None,2016-04-03 15:00:00, 4.2, None, None,14
None, 664.0, 941.0, 997.0, None,2016-04-03 16:00:00, 4.8, None, None,14
None, 664.0, 941.0, None, None,2016-04-03 17:00:00, 6.0, None, None,14
None, 664.0, 941.0, None, None,2016-04-03 18:00:00, 5.7, None, None,14
