RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, 44.2, 24.58, 50.34, -54.0, -6.9, None, None, 50.0, None, None, -6999.0, None, None, None, None, -6.872, None, -5.9, -6999.0, None, 11.68, 24.6, -6.9, 0.0, -6999.0,2020-12-02 00:00:00, -6999.0,49
None, None, None, 38.2, 21.54, 44.21, -54.0, -7.1, None, None, 44.0, None, None, -6999.0, None, None, None, None, -7.08, None, -5.9, -6999.0, None, 15.18, 21.5, -7.1, 0.2, -6999.0,2020-12-02 01:00:00, -6999.0,49
None, None, None, 36.2, 20.41, 51.37, -54.0, -7.3, None, None, 51.0, None, None, -6999.0, None, None, None, None, -7.27, None, -5.9, -6999.0, None, 14.25, 20.4, -7.3, 0.0, -6999.0,2020-12-02 02:00:00, -6999.0,49
None, None, None, 38.6, 24.67, 49.75, -54.0, -7.4, None, None, 50.0, None, None, -6999.0, None, None, None, None, -7.44, None, -5.9, -6999.0, None, 12.41, 24.7, -7.4, 0.0, -6999.0,2020-12-02 03:00:00, -6999.0,49
None, None, None, 36.3, 20.93, 49.29, -54.0, -7.6, None, None, 49.0, None, None, -6999.0, None, None, None, None, -7.62, None, -5.9, -6999.0, None, 14.37, 20.9, -7.6, 0.0, -6999.0,2020-12-02 04:00:00, -6999.0,49
None, None, None, 42.0, 23.28, 51.15, -54.0, -7.8, None, None, 51.0, None, None, -6999.0, None, None, None, None, -7.76, None, -5.9, -6999.0, None, 13.61, 23.3, -7.8, 0.0, -6999.0,2020-12-02 05:00:00, -6999.0,49
None, None, None, 38.4, 20.81, 51.16, -55.0, -7.9, None, None, 51.0, None, None, -6999.0, None, None, None, None, -7.92, None, -5.9, -6999.0, None, 15.23, 20.8, -7.9, 0.1, -6999.0,2020-12-02 06:00:00, -6999.0,49
None, None, None, 40.4, 26.31, 56.42, -55.0, -8.1, None, None, 56.0, None, None, -6999.0, None, None, None, None, -8.01, None, -7.9, -6999.0, None, 10.2, 26.3, -8.0, 0.0, -6999.0,2020-12-02 07:00:00, -6999.0,49
None, None, None, 51.7, 30.59, 53.01, -55.0, -8.3, None, None, 53.0, None, None, -6999.0, None, None, None, None, -8.28, None, -7.9, -6999.0, None, 12.08, 30.6, -8.3, 0.1, -6999.0,2020-12-02 08:00:00, -6999.0,49
None, None, None, 48.3, 33.97, 54.24, -55.0, -8.4, None, None, 54.0, None, None, -6999.0, None, None, None, None, -8.34, None, -7.9, -6999.0, None, 10.0, 34.0, -8.3, 0.0, -6999.0,2020-12-02 09:00:00, -6999.0,49
None, None, None, 51.1, 31.99, 54.02, -55.0, -8.4, None, None, 54.0, None, None, -6999.0, None, None, None, None, -8.18, None, -7.9, -6999.0, None, 11.47, 32.0, -8.2, 0.1, -6999.0,2020-12-02 10:00:00, -6999.0,49
None, None, None, 51.9, 34.95, 54.52, -55.0, -8.4, None, None, 55.0, None, None, -6999.0, None, None, None, None, -7.96, None, -7.9, -6999.0, None, 9.85, 35.0, -8.0, 0.0, -6999.0,2020-12-02 11:00:00, -6999.0,49
None, None, None, 51.1, 34.81, 57.1, -54.0, -8.4, None, None, 57.0, None, None, -6999.0, None, None, None, None, -7.72, None, -7.7, -6999.0, None, 9.75, 34.8, -7.7, 0.1, -6999.0,2020-12-02 12:00:00, -6999.0,49
None, None, None, 49.2, 32.59, 59.13, -54.0, -8.4, None, None, 59.0, None, None, -6999.0, None, None, None, None, -7.41, None, -7.4, -6999.0, None, 10.66, 32.6, -7.4, 0.1, -6999.0,2020-12-02 13:00:00, -6999.0,49
None, None, None, 55.1, 33.98, 58.24, -54.0, -8.4, None, None, 58.0, None, None, -6999.0, None, None, None, None, -7.38, None, -7.4, -6999.0, None, 9.43, 34.0, -7.4, 0.0, -6999.0,2020-12-02 14:00:00, -6999.0,49
None, None, None, 43.5, 28.0, 55.6, -54.0, -8.4, None, None, 56.0, None, None, -6999.0, None, None, None, None, -7.24, None, -7.2, -6999.0, None, 11.13, 28.0, -7.2, 0.0, -6999.0,2020-12-02 15:00:00, -6999.0,49
None, None, None, 47.1, 29.69, 54.13, -54.0, -8.4, None, None, 54.0, None, None, -6999.0, None, None, None, None, -7.19, None, -7.0, -6999.0, None, 12.44, 29.7, -7.2, 0.0, -6999.0,2020-12-02 16:00:00, -6999.0,49
None, None, None, 53.6, 32.31, 59.39, -54.0, -8.4, None, None, 59.0, None, None, -6999.0, None, None, None, None, -7.69, None, -7.0, -6999.0, None, 9.86, 32.3, -7.7, 0.0, -6999.0,2020-12-02 17:00:00, -6999.0,49
None, None, None, 48.9, 30.95, 59.94, -54.0, -8.6, None, None, 60.0, None, None, -6999.0, None, None, None, None, -7.73, None, -7.0, -6999.0, None, 10.14, 31.0, -7.7, 0.2, -6999.0,2020-12-02 18:00:00, -6999.0,49
None, None, None, 44.4, 27.24, 57.87, -54.0, -7.8, None, None, 58.0, None, None, -6999.0, None, None, None, None, -7.79, None, -7.7, -6999.0, None, 11.79, 27.2, -7.8, 0.0, -6999.0,2020-12-02 19:00:00, -6999.0,49
None, None, None, 40.7, 26.96, 59.82, -55.0, -8.1, None, None, 60.0, None, None, -6999.0, None, None, None, None, -8.07, None, -7.4, -6999.0, None, 11.03, 27.0, -8.1, 0.0, -6999.0,2020-12-02 20:00:00, -6999.0,49
None, None, None, 44.2, 27.4, 58.77, -54.0, -8.1, None, None, 59.0, None, None, -6999.0, None, None, 0.4, None, -7.28, None, -6.9, -6999.0, None, 10.99, 27.4, -7.3, 0.0, -6999.0,2020-12-02 21:00:00, -6999.0,49
None, None, None, 43.8, 28.7, 58.17, -54.0, -8.1, None, None, 58.0, None, None, -6999.0, None, None, 0.4, None, -6.931, None, -6.4, -6999.0, None, 10.56, 28.7, -6.9, 0.0, -6999.0,2020-12-02 22:00:00, -6999.0,49
None, None, None, 45.0, 28.21, 59.24, -54.0, -8.1, None, None, 59.0, None, None, -6999.0, None, None, 0.4, None, -7.71, None, -6.4, -6999.0, None, 9.99, 28.2, -7.7, 0.0, -6999.0,2020-12-02 23:00:00, -6999.0,49
