pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
None,5.549, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-05-21 00:00:00, None, None, None, None,21
None,4.92, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-05-21 01:00:00, None, None, None, None,21
None,4.568, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-05-21 02:00:00, None, None, None, None,21
None,4.834, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-05-21 03:00:00, None, None, None, None,21
None,5.063, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-05-21 04:00:00, None, None, None, None,21
None,4.511, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-05-21 05:00:00, None, None, None, None,21
None,5.196, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-05-21 06:00:00, None, None, None, None,21
None,5.301, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-05-21 07:00:00, None, None, None, None,21
None,5.748, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-05-21 08:00:00, None, None, None, None,21
None,6.551, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-05-21 09:00:00, None, None, None, None,21
None,7.29, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-05-21 10:00:00, None, None, None, None,21
None,8.1, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-05-21 11:00:00, None, None, None, None,21
None,9.5, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-05-21 12:00:00, None, None, None, None,21
