RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,7.65, None, None, None, None, None, None, None, None, None,2018-05-07 00:00:00, None,19
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,7.85, None, None, None, None, None, None, None, None, None,2018-05-07 01:00:00, None,19
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,7.18, None, None, None, None, None, None, None, None, None,2018-05-07 02:00:00, None,19
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,7.07, None, None, None, None, None, None, None, None, None,2018-05-07 03:00:00, None,19
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,5.968, None, None, None, None, None, None, None, None, None,2018-05-07 04:00:00, None,19
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,5.354, None, None, None, None, None, None, None, None, None,2018-05-07 05:00:00, None,19
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,5.506, None, None, None, None, None, None, None, None, None,2018-05-07 06:00:00, None,19
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,5.804, None, None, None, None, None, None, None, None, None,2018-05-07 07:00:00, None,19
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,6.755, None, None, None, None, None, None, None, None, None,2018-05-07 08:00:00, None,19
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,7.88, None, None, None, None, None, None, None, None, None,2018-05-07 09:00:00, None,19
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,9.96, None, None, None, None, None, None, None, None, None,2018-05-07 10:00:00, None,19
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,11.16, None, None, None, None, None, None, None, None, None,2018-05-07 11:00:00, None,19
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,13.34, None, None, None, None, None, None, None, None, None,2018-05-07 12:00:00, None,19
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,16.32, None, None, None, None, None, None, None, None, None,2018-05-07 13:00:00, None,19
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,17.73, None, None, None, None, None, None, None, None, None,2018-05-07 14:00:00, None,19
