pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, -18.48, 87.5, -18.5, 88.0, -20.0, -18.5, -20.3, 1008.8, -0.2, -20.0, 909.0, 0.0,2022-02-05 00:00:00, 89.0, 89.4, 909.0,6
None, -17.95, 86.6, -17.8, 87.0, -19.0, -18.0, -20.3, 1010.9, 0.7, -19.0, 911.0, 0.0,2022-02-05 01:00:00, 89.0, 89.4, 911.0,6
None, -17.49, 88.3, -17.5, 88.0, -19.0, -17.5, -20.3, 1012.0, 0.3, -19.0, 912.0, 0.0,2022-02-05 02:00:00, 89.0, 89.2, 912.0,6
None, -14.52, 88.4, -13.6, 88.0, -16.0, -14.5, -20.3, 1012.8, 0.0, -16.0, 913.0, 0.0,2022-02-05 03:00:00, 89.0, 89.2, 913.0,6
None, -9.63, 97.6, -9.7, 98.0, -10.0, -9.6, -20.3, 1013.4, 0.0, -10.0, 914.0, 1.0,2022-02-05 04:00:00, 90.0, 89.5, 914.0,6
None, -6.456, 97.5, -6.5, 98.0, -7.0, -6.5, -20.3, 1014.1, 0.0, -7.0, 915.0, 0.0,2022-02-05 05:00:00, 89.0, 89.4, 915.0,6
None, -6.257, 95.6, -5.7, 96.0, -7.0, -6.3, -20.3, 1015.3, 0.0, -7.0, 916.0, -1.0,2022-02-05 06:00:00, 89.0, 88.9, 916.0,6
None, -6.006, 95.5, -4.8, 96.0, -7.0, -6.0, -6.3, 1016.3, 0.0, -7.0, 917.0, -1.0,2022-02-05 07:00:00, 88.0, 87.9, 917.0,6
None, -5.353, 96.5, -4.8, 97.0, -6.0, -5.4, -6.3, 1017.4, 0.0, -6.0, 918.0, 0.0,2022-02-05 08:00:00, 88.0, 87.9, 918.0,6
None, -6.057, 96.0, -4.8, 96.0, -7.0, -6.1, -6.3, 1017.4, 0.0, -7.0, 918.0, 0.0,2022-02-05 09:00:00, 88.0, 87.9, 918.0,6
None, -5.527, 96.8, -4.8, 97.0, -6.0, -5.5, -6.3, 1017.3, 0.0, -6.0, 918.0, 0.0,2022-02-05 10:00:00, 88.0, 87.8, 918.0,6
None, -5.144, 96.7, -4.8, 97.0, -6.0, -5.1, -6.3, 1017.2, 0.0, -6.0, 918.0, 0.0,2022-02-05 11:00:00, 88.0, 87.7, 918.0,6
